synthetic_block_id,stacks_block_height,stacks_block_hash,self_wall_ms,wall_ms,call_count,sample_count,avg_self_wall_us
8567,5009566,e502faf8fc5a1323bc7bd25aa5089b4ebf265b830b037a783e2f4db4c1aebd58,28.168,28.168,2,2,14084.0
8566,5009565,606ee963267ae35ee9179291954711a4895c2e2cdc39f98d1a569c4bee66005c,25.432,25.432,2,2,12716.0
2200,5003199,8ebb5953af8825f4d143bd11b7e52dd110ee9b34e55835a4f9aa9c47cd805dd1,25.155,25.155,2,2,12577.5
8477,5009476,675f575b1e4d6ad925d159cbca8f749f1f432378e6a4527d2d0bc4412637e47c,23.8,23.811,2,2,11900.0
633,5001632,2196eaf46b5be22362505947a8c9de5664f525d31907195a95d8dc3249273563,23.071,23.079,2,2,11535.5
828,5001827,038cf1363a6a23fc5712357c5e5e547c45d26ea343f2201bd946479fcca4e2a0,23.0,23.0,2,2,11500.0
8478,5009477,e4e0c3c82373987c589859c100f41253217b033edc94819522cd7353811a9695,22.847,22.847,2,2,11423.5
8571,5009570,231df4d3151d9ed712a9a5f075df8c4338de816d78545907de2872a4320a86bf,22.767,22.767,2,2,11383.5
8612,5009611,b5c26c999feef00c0031b7247178f2b1907909e93e58586605f30ce8a195e8f1,22.459,22.459,2,2,11229.5
663,5001662,2b802da3084a0d90f0e33b81f0e94174108751ad87fda2d1d16e77f2fc4b459c,21.928,21.928,2,2,10964.0
8009,5009008,263020b887a4a64c0347ada73c7a4abf43c4b3aaa9cc587560ca0850f8bb1df9,21.163,21.171,2,2,10581.5
8533,5009532,ec985815634b6e02874f84c2a0c4ef18f016ed084676022a2e5f90936092574e,21.004,21.013,2,2,10502.0
7959,5008958,ee8a60b6195ef9c6d71e6e963a63003a568ec4bc40b47f02123c0282361f98b4,20.93,20.93,2,2,10465.0
7441,5008440,152fe6d07bbbf27d96a4b9919b9962de5d2ff48689b94d3ab6bd13710ef150c9,20.842,20.849,2,2,10421.0
8561,5009560,651485c82735c3a9541f112f789237f76cc22d7470db9a038b9bd394c9c7b5d3,20.712,20.72,2,2,10356.0
8479,5009478,b00cf0576078bf988f3eedf95be4c251f7577be194911340b42a76db169d6f8e,20.661,20.661,2,2,10330.5
8623,5009622,679154d3e15872dd3906b69a3dfd40f3e0d34241cdb78f68675890316eba52db,20.497,20.497,2,2,10248.5
8447,5009446,9e95599c03eff77a8db8538282ffed962ffc8a499dd96419ddf6a2d91c52ee90,20.439,20.439,2,2,10219.5
634,5001633,411dce5ffe71f0d117ed5a3a132f44f9d3707b4cc75f25c81741faf87e49997e,20.25,20.25,2,2,10125.0
2529,5003528,1ccd4c0fbffe17d4183bdaec9dbe01bb993702a91072b4e1c1b53d0944a1696f,20.181,20.186,2,2,10090.5
