synthetic_block_id,stacks_block_height,stacks_block_hash,self_wall_ms,wall_ms,call_count,sample_count,avg_self_wall_us
2368,5003367,c613f8cb0006d1963f1bd891c7992da0d5db44091ab48e225e92ebbae09df024,85.052,275.986,1416,1416,60.065
2395,5003394,a636ba8ad97f366ff6bdb4a50f25fd3c116e5aafd758336c4f21b4edcb257ef6,80.741,261.242,1497,1497,53.9352
2182,5003181,1d89e0480357303e5f6ac2e90ca9973e2bef038438e7594fabf90873b51df4af,78.348,254.314,1489,1489,52.6179
2294,5003293,41a2093cc795e49934ff25268f62e8c7a7cc13e904a4d45030e3a8ac72bfb729,77.615,252.09,1477,1477,52.5491
2452,5003451,e93cf098a806c42ec1631d138c54e5f234513e9926a48270f04cfb307c507f8f,60.254,179.755,61,61,987.7705
4084,5005083,86b4ac8caaf60e6c785b86dfcdc87d749831ea5565153587b5d24d409d3d92be,57.195,171.092,64,64,893.6719
633,5001632,2196eaf46b5be22362505947a8c9de5664f525d31907195a95d8dc3249273563,49.127,158.977,806,806,60.9516
631,5001630,518161f64b540d854141f40bdf88f5ab0bd6ed84a7a04b91ad2e5a54bbee08d2,48.456,156.366,779,779,62.2028
662,5001661,eae41198338e87ade82e2d97fef9ba412d97edd0694f7912aa672d5c915d89cd,48.178,154.688,800,800,60.2225
674,5001673,7bf58223dd6de2a56478dc94458a33dad88f264cbbda0d0827983739ff9a10a6,48.145,154.295,798,798,60.3321
663,5001662,2b802da3084a0d90f0e33b81f0e94174108751ad87fda2d1d16e77f2fc4b459c,47.831,154.239,855,855,55.9427
699,5001698,1e57e348e8dd1029306f91ae82a1283f7b3fe1085145e835c2db9af3a297b9f7,47.462,152.671,863,863,54.9965
2199,5003198,2dae96dc0c24e9df4b7ddca7f18be6bd96f22c6449860b9d92473e12abe6006a,46.935,147.826,1438,1438,32.6391
632,5001631,2a7af9210e2ff66d1b5990630dca952210496a04ed4a5e6d24ba4ef56f91e51f,46.556,150.391,824,824,56.5
664,5001663,519735254032003aaed0290ecbb6d7a91d7caf9159767a589ccf29ed8c427f24,46.46,149.514,842,842,55.1781
675,5001674,4421e03804bc8113f5f4ca9cb822fc40f5ebb5d04d80041bb5fba0e1ca871ee4,45.311,145.321,824,824,54.9891
2200,5003199,8ebb5953af8825f4d143bd11b7e52dd110ee9b34e55835a4f9aa9c47cd805dd1,45.279,144.73,775,775,58.4245
326,5001325,3c20130bcff731fa229d75cc6d787a649f1ab6440c7f730fd43a4b7ce3b1dd72,27.939,83.65,63,63,443.4762
700,5001699,4b1e661ce6ec772a5bf8c7d691613db1c6cbade5994cd2503718211bcc47b240,22.608,71.711,440,440,51.3818
2271,5003270,ada57b9f9c06fe1ea2a96f1fae109a038f7aeeba8888fed93120b2dc3d5191ea,17.026,45.875,1445,1445,11.7827
