synthetic_block_id,stacks_block_height,stacks_block_hash,self_wall_ms,wall_ms,call_count,sample_count,avg_self_wall_us
2182,5003181,1d89e0480357303e5f6ac2e90ca9973e2bef038438e7594fabf90873b51df4af,2450.358,2452.136,75281,75281,32.5495
2294,5003293,41a2093cc795e49934ff25268f62e8c7a7cc13e904a4d45030e3a8ac72bfb729,2425.54,2427.144,75158,75158,32.2725
2395,5003394,a636ba8ad97f366ff6bdb4a50f25fd3c116e5aafd758336c4f21b4edcb257ef6,2408.846,2410.517,78309,78309,30.7608
2368,5003367,c613f8cb0006d1963f1bd891c7992da0d5db44091ab48e225e92ebbae09df024,2198.392,2199.976,69605,69605,31.5838
2199,5003198,2dae96dc0c24e9df4b7ddca7f18be6bd96f22c6449860b9d92473e12abe6006a,1115.463,1115.869,48907,48907,22.8078
2271,5003270,ada57b9f9c06fe1ea2a96f1fae109a038f7aeeba8888fed93120b2dc3d5191ea,1055.398,1055.432,41629,41629,25.3525
800,5001799,7f1283eb4d933bee201d9d8e1d45ab148f14fa975c4b93faafdf5d509833a9e5,1006.52,1006.624,38462,38462,26.1692
631,5001630,518161f64b540d854141f40bdf88f5ab0bd6ed84a7a04b91ad2e5a54bbee08d2,895.474,896.405,38561,38561,23.2223
633,5001632,2196eaf46b5be22362505947a8c9de5664f525d31907195a95d8dc3249273563,870.171,870.968,38725,38725,22.4705
662,5001661,eae41198338e87ade82e2d97fef9ba412d97edd0694f7912aa672d5c915d89cd,851.066,851.825,40305,40305,21.1156
699,5001698,1e57e348e8dd1029306f91ae82a1283f7b3fe1085145e835c2db9af3a297b9f7,842.117,842.79,38527,38527,21.8578
632,5001631,2a7af9210e2ff66d1b5990630dca952210496a04ed4a5e6d24ba4ef56f91e51f,836.72,837.471,38591,38591,21.6817
4242,5005241,875a8ebf8b3d8941e059bedf5ba1f9ab60782b3bf31e4f07c89dc8048d113717,781.972,782.864,28847,28847,27.1076
4296,5005295,84550b5e4902e545a36587b262c5f4ac4fcedf8623c1715c9921512c8d27d708,767.043,767.465,28850,28850,26.5873
2220,5003219,3e57641564523a130ac8f4ae46a0501bf0ff75a1ba86d6d323dc1952eef37d27,757.656,757.69,37915,37915,19.983
771,5001770,7c86591d52b6a6decd5eb965d8be1bd2433bd72522358d5812e4a1b1a3e59d11,757.538,758.1,37452,37452,20.2269
2221,5003220,5c47cb7489bc5390b9a96d1c1ccb0079253e86b6777a03ea54bd5498f69b27c9,753.574,753.613,38082,38082,19.7882
5089,5006088,acf4d5737b42cdf9fa1edc075bd9d7f0ea2d7ff6615b5dc386b9e127dbfd176e,751.036,751.941,28853,28853,26.0297
2245,5003244,e2e23e9bca4f6b79297bf9f05c9dea62b46e7bac1e7162c6cea18b00a777a8cc,743.23,743.271,39890,39890,18.632
4498,5005497,237c50c72f8b00314e6518d7aa81ec8f39d088c3ffff365cb0858020d2037c13,742.21,742.649,28787,28787,25.7828
