tx_hash,issuer,contract,function,calls,wall_ms,self_ms,duration_ms,clarity_runtime
bade8c4792b3d2ad2716b38b91f984f69c267fb4b924bcdb4a746710403fd7b4,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,609,120.529,1.84,116.683,771714137
cf790fc50607d6f8054ed80e33493f14c2d133d397185a40b6af6f96646b11f3,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,609,119.381,1.845,111.141,771714341
192d2260432993e9eedec61edbbc01c8ad61b39e65d47504f23c1e21343d3a59,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,609,118.902,2.078,137.466,772987146
f395f97d7bd6a91f9ff17e4c36f0701e14df53be331393bc00c9f2fc92370e25,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,609,117.622,1.922,90.432,771765785
3c04e09826d4da63acb09bc3154b298ceeab7a8dbce1216dd3e1008170d1f63f,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,609,117.479,1.869,112.238,771765581
dfe19dd6608633cf439017e20d02e8d018c7f83a19d6f41faea115b21a546640,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,609,116.686,1.927,122.201,771764261
3e172a881c54862ac7c7280a474f9fe0679834c0908235365857f1b935e6295b,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,609,115.968,1.842,120.162,772929171
44ed544e0aaf1d17006ff6c346b2e0493fc288543118ee0b52df073639e98387,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,609,115.703,1.89,126.395,773002704
7473315ed705fe8980ecbb699919a863e78901477fe80c8a2698891f6d0f7434,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,609,114.763,1.909,125.876,773003106
9879a47453c313345148827a9ff512e199817cc87df898b51f66f9533677079f,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,609,114.111,1.857,125.143,772920588
d73e5e658a0b599671c3fc501f7751e92df2865cfef677d45026c103c9bbb47d,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,close,609,113.193,1.915,116.059,772929171
3b66dcc3ab15d595b4428e8d4bfb2f6ffaefa41d12272a1b120376bfa3a5c7cd,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K,gl-api,open,609,112.861,1.799,89.795,771712301
