tx_hash,tx_type,issuer,contract,function,records,calls,self_ms,duration_ms
dc657eda50e87123e4c2c10f8b3c42d6cfaac0d6ad2886aede8ec5f834283a56,"Contract Call",SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,40,8732,1.866,3931.584
c79d1f26e6974ee250410d3acfdb815716b42c9c6342c11109e25b32ea465671,"Contract Call",SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,40,8709,1.846,3763.681
ebaa3d7288f90b335bf9e42f5ecb46b1b769f22771b151a1c492a191a97e30b7,"Contract Call",SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,40,8730,1.845,3873.966
cd1ac6cc6ee922f81abb6fd050576718442b6193320ad2cc176dae98b1d65551,"Contract Call",SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,40,8518,1.841,3515.867
d1d35c5444e83a239addc5303ad92ec5c16f5208ee2d5eb879cddf168fffcfc1,"Contract Call",SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,uvas,ri,174,15432,1.765,848.232
c188df4273d2c0c4c5c8f0039b1e1f268f396706e6cfdaac9d922c64f405901e,"Contract Call",SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,hong,rs,175,12766,1.506,712.935
22112d903028b2ffc6530a8c7bf49115e9900c8c24a14443a8f90cf5e2a91eb3,"Contract Call",SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,psis,ry,175,12766,1.496,735.831
e09979af8e48bf5f23e428e9a33e3f926861eaf30826209a5a3b9ff696a23e0c,"Contract Call",SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,nabs,rt,161,12700,1.474,762.58
427ce0919912f67e3a4f766ee4174dbdb6930bd911e503450f3e42853dc57f0f,"Contract Call",SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,awls,rg,132,10174,1.229,640.783
55f5b5ff422edf138bd91349d3d906e9a9bf1b78bbbf8be33a554a944f1ac076,"Contract Call",SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,hong,rp,132,10144,1.216,558.472
e403c3341a2d99607b1166bd4d54ae698e8416c032f02f9ca84ca3205400a6f2,"Contract Call",SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,21,5424,1.186,1494.312
5d771550737575664eb8e2d4516fd3d03d06407d0036373b18a58cad6ac255d1,"Contract Call",SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,hong,r9,123,10106,1.184,568.053
