record_id,parent_record_id,depth,span,context,location,tag,tx_hash,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
8422080,,0,Segment,stacks_bench::replay,stacks-bench/src/replay.rs:343,,"",1,1,776.716,1.371,1.369
8422331,8422080,1,"Segment: Tx Execution",stacks_bench::replay,stacks-bench/src/replay.rs:610,,"",1,1,719.339,0.066,0.068
8422333,8422331,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:634,,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,94.912,0.001,0.0
8422334,8422333,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,94.911,0.039,0.04
8422383,8422334,4,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,92.108,0.008,0.008
8422384,8422383,5,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX.w.r,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,92.1,0.019,0.019
8422438,8422384,6,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX.w:r,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.741,0.021,0.022
8422441,8422438,7,exec,clarity::user::private,clarity/src/vm/mod.rs:344,SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX.w:exec,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.716,0.003,0.002
8422443,8422441,8,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.713,0.004,0.004
8422450,8422443,9,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.705,0.016,0.016
8422493,8422450,10,as-contract,clarity::builtin,clarity/src/vm/mod.rs:380,special_as-contract,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.111,0.008,0.007
8422497,8422493,11,dispatch,clarity::user::private,clarity/src/vm/mod.rs:344,SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX.w:dispatch,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.101,0.002,0.002
8422499,8422497,12,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.099,0.005,0.005
8422504,8422499,13,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.093,0.004,0.004
8422507,8422504,14,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX.fuck-kim-jong-un-40.dispatch,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,91.089,0.077,0.077
8422561,8422507,15,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX.fuck-kim-jong-un-40:dispatch,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.259,0.007,0.007
8422563,8422561,16,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.252,0.002,0.002
8422568,8422563,17,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.248,0.003,0.003
8422573,8422568,18,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.244,0.002,0.002
8422578,8422573,19,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.241,0.002,0.002
8422583,8422578,20,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.238,0.003,0.003
8422588,8422583,21,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.234,0.006,0.006
8422594,8422588,22,ue25738a,clarity::user::private,clarity/src/vm/mod.rs:344,SP06ARSREC0N9AKZABRP23SXS62TWJ6KWPVDQHVX.fuck-kim-jong-un-40:ue25738a,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.224,0.007,0.007
8422598,8422594,23,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,90.217,0.004,0.004
8422600,8422598,24,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,15.569,0.005,0.005
8422603,8422600,25,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,15.563,0.018,0.018
8422606,8422603,26,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,7.116,0.003,0.003
8422608,8422606,27,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-core-v-1-2.swap-x-for-y,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,7.113,0.061,0.061
8422662,8422608,28,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-core-v-1-2:swap-x-for-y,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,6.428,0.008,0.007
8422664,8422662,29,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,6.42,0.056,0.056
8423660,8422603,26,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-router.swap-exact-tokens-for-tokens,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,8.429,0.014,0.014
8423714,8423660,27,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-router:swap-exact-tokens-for-tokens,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,8.06,0.008,0.008
8423716,8423714,28,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,8.052,0.014,0.014
8423718,8423716,29,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,3,3,7.394,0.036,0.036
8423989,8423718,30,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-core.swap,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,5.886,0.047,0.047
8424043,8423989,31,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.univ2-core:swap,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,5.389,0.006,0.006
8424045,8424043,32,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,5.383,0.053,0.053
8425230,8422598,24,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4.swap-y-for-x,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,74.644,0.157,0.157
8425284,8425230,25,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:swap-y-for-x,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,73.318,0.007,0.007
8425286,8425284,26,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,73.311,0.111,0.11
8426411,8425286,27,get-x,clarity::user::read-only,clarity/src/vm/mod.rs:344,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:get-x,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,38.382,0.0,0.0
8426412,8426411,28,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:get-x,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,38.382,0.004,0.004
8426414,8426412,29,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,38.378,0.022,0.022
8426426,8426414,30,get-d,clarity::user::read-only,clarity/src/vm/mod.rs:344,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:get-d,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,24.229,0.001,0.001
8426427,8426426,31,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:get-d,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,24.228,0.004,0.004
8426429,8426427,32,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,24.224,0.002,0.002
8426431,8426429,33,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,24.222,0.204,0.203
8426445,8426431,34,fold-d-for-loop,clarity::user::private,clarity/src/vm/mod.rs:344,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:fold-d-for-loop,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,384,384,23.98,0.795,0.795
8426447,8426445,35,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,384,384,23.033,6.152,6.132
8426507,8426414,30,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,14.109,0.001,0.002
8426509,8426507,31,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,14.107,0.193,0.193
8426518,8426509,32,fold-x-for-loop,clarity::user::private,clarity/src/vm/mod.rs:344,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:fold-x-for-loop,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,384,384,13.884,0.783,0.782
8426520,8426518,33,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,384,384,12.95,3.126,3.121
8426759,8425286,27,get-d,clarity::user::read-only,clarity/src/vm/mod.rs:344,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:get-d,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,23.752,0.001,0.0
8426760,8426759,28,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:get-d,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,23.751,0.004,0.005
8426762,8426760,29,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,23.747,0.002,0.002
8426764,8426762,30,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,1,1,23.745,0.189,0.19
8426778,8426764,31,fold-d-for-loop,clarity::user::private,clarity/src/vm/mod.rs:344,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-core-v-1-4:fold-d-for-loop,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,384,384,23.516,0.781,0.781
8426780,8426778,32,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,4c388fe2bda8043baf887eba135d03970fc09f9f5a3c37d70b5ba337d559854b,384,384,22.587,6.033,6.024
8427002,8422331,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:634,,edf1d2ca511f8ebb705b99f745c45ad39d69573f205a3da690a05812ea3a726e,1,1,175.835,0.001,0.0
8427003,8427002,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,edf1d2ca511f8ebb705b99f745c45ad39d69573f205a3da690a05812ea3a726e,1,1,175.834,0.043,0.044
8427052,8427003,4,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,edf1d2ca511f8ebb705b99f745c45ad39d69573f205a3da690a05812ea3a726e,1,1,158.818,0.013,0.013
8427053,8427052,5,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV.drap.rt,edf1d2ca511f8ebb705b99f745c45ad39d69573f205a3da690a05812ea3a726e,1,1,158.805,0.016,0.015
8427108,8427053,6,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV.drap:rt,edf1d2ca511f8ebb705b99f745c45ad39d69573f205a3da690a05812ea3a726e,1,1,155.389,0.011,0.011
8427112,8427108,7,r,clarity::user::public,clarity/src/vm/mod.rs:344,SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV.drap:r,edf1d2ca511f8ebb705b99f745c45ad39d69573f205a3da690a05812ea3a726e,1,1,155.377,0.0,0.001
