record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
4370911,4370754,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:634,,1,1,1275.204,0.001,0.0
4370912,4370911,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1275.203,0.066,0.067
4370962,4370912,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1270.032,0.014,0.014
4370963,4370962,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP9B1S44NK7SHZX4KX3HW1DXJXZFM4QJH9YHV746.rewards-dual-stacking-bitflow-v1.compute-current-snapshot-balances,1,1,1270.009,0.074,0.073
4371017,4370963,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP9B1S44NK7SHZX4KX3HW1DXJXZFM4QJH9YHV746.rewards-dual-stacking-bitflow-v1:compute-current-snapshot-balances,1,1,1269.407,0.019,0.019
4371059,4371017,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1269.159,0.008,0.008
4371061,4371059,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,1269.037,0.104,0.103
4371064,4371061,7,compute-and-update-balances-one-user,clarity::user::private,clarity/src/vm/mod.rs:344,SP9B1S44NK7SHZX4KX3HW1DXJXZFM4QJH9YHV746.rewards-dual-stacking-bitflow-v1:compute-and-update-balances-one-user,35,35,1268.925,0.125,0.125
4371066,4371064,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,35,35,1268.779,0.381,0.379
4371068,4371066,9,at-block,clarity::builtin,clarity/src/vm/mod.rs:380,special_at_block,35,35,1242.551,0.077,0.079
4371083,4371068,10,evaluate_at_block,clarity::vm::contexts::ExecutionState,clarity/src/vm/contexts.rs:1318,,35,35,1240.135,0.169,0.167
4371098,4371083,11,get-user-total-sBTC-balance,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP9B1S44NK7SHZX4KX3HW1DXJXZFM4QJH9YHV746.rewards-dual-stacking-bitflow-v1:get-user-total-sBTC-balance,35,35,1236.907,0.019,0.02
4371099,4371098,12,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP9B1S44NK7SHZX4KX3HW1DXJXZFM4QJH9YHV746.rewards-dual-stacking-bitflow-v1:get-user-total-sBTC-balance,35,35,1236.888,0.307,0.307
4371103,4371099,13,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,140,140,1236.249,0.584,0.569
4371105,4371103,14,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M.xyk-sbtc-reader-pool-21-v-1-2.get-user-sbtc-balance,35,35,307.107,0.574,0.577
4371159,4371105,15,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M.xyk-sbtc-reader-pool-21-v-1-2:get-user-sbtc-balance,35,35,285.304,0.101,0.101
4371161,4371159,16,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,35,35,285.179,1.218,1.219
4371164,4371161,17,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,140,140,281.357,0.962,0.932
4371165,4371164,18,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-sbtc-stx-v-1-1.get-pool,35,35,79.841,0.858,0.861
4371219,4371165,19,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-sbtc-stx-v-1-1:get-pool,35,35,51.353,0.144,0.131
4371222,4371219,20,tuple,clarity::builtin,clarity/src/vm/mod.rs:380,special_tuple,35,35,51.111,0.691,0.691
4371224,4371222,21,var-get,clarity::builtin,clarity/src/vm/mod.rs:380,special_var-get,560,560,47.757,0.496,0.478
4371225,4371224,22,lookup_variable_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1652,,560,560,47.261,0.466,0.463
4371226,4371225,23,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,560,560,46.795,0.122,0.123
4371227,4371226,24,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,560,560,46.673,0.265,0.26
4371228,4371227,25,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,560,560,46.126,0.261,0.256
4371229,4371228,26,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,560,560,42.689,0.137,0.129
4371230,4371229,27,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,560,560,42.552,0.228,0.229
4371231,4371230,28,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,560,560,42.324,0.395,0.391
4371232,4371231,29,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,560,560,41.929,11.453,11.4
4371233,4371232,30,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,1925,1925,30.476,0.458,0.434
4371234,4371233,31,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,1925,1925,30.018,30.018,20.856
4371254,4371164,18,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-sbtc-stx-v-1-1.get-balance,35,35,68.551,0.911,0.913
4371308,4371254,19,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.xyk-pool-sbtc-stx-v-1-1:get-balance,35,35,39.693,0.199,0.199
4371311,4371308,20,ft-get-balance,clarity::builtin,clarity/src/vm/mod.rs:380,special_get_balance,35,35,39.367,0.087,0.087
4371313,4371311,21,get_ft_balance,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:2164,,35,35,39.243,0.082,0.082
4371314,4371313,22,get_data,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:517,,35,35,39.161,0.01,0.01
4371315,4371314,23,get_data,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:388,,35,35,39.151,0.023,0.023
4371316,4371315,24,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,35,35,39.128,0.031,0.03
4371317,4371316,25,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,35,35,38.694,0.015,0.015
4371318,4371317,26,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,35,35,38.679,0.03,0.03
4371319,4371318,27,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,35,35,38.649,0.053,0.053
4371320,4371319,28,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,35,35,38.596,1.418,0.915
4371321,4371320,29,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,108,108,37.178,0.038,0.033
4371322,4371321,30,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,108,108,37.14,37.041,5.317
4371326,4371164,18,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M.xyk-staking-sbtc-stx-v-1-1.get-user,35,35,68.121,1.598,1.578
4371380,4371326,19,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M.xyk-staking-sbtc-stx-v-1-1:get-user,35,35,34.859,0.197,0.198
4371383,4371380,20,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,35,35,34.559,0.108,0.108
4371385,4371383,21,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,35,35,34.412,0.107,0.108
4371397,4371385,22,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,35,35,31.79,0.009,0.009
4371398,4371397,23,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,35,35,31.781,0.014,0.013
4371399,4371398,24,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,35,35,31.767,0.011,0.011
4371400,4371399,25,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,35,35,31.756,0.011,0.011
4371401,4371400,26,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,35,35,31.745,0.022,0.022
4371402,4371401,27,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,35,35,31.723,0.012,0.012
4371403,4371402,28,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,35,35,31.711,4.97,0.732
4371404,4371403,29,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,99,99,26.741,0.033,0.029
4371405,4371404,30,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,99,99,26.708,26.606,3.632
