record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
1086859,1086767,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:634,,1,1,14.636,0.0,0.0
1086860,1086859,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,14.636,0.043,0.042
1086909,1086860,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,9.766,0.005,0.006
1086910,1086909,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2.blocksurvey-proof-of-submission.proof-of-submission,1,1,9.76,0.024,0.024
1086911,1086910,4,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,1,1,2.876,0.001,0.0
1086912,1086911,5,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,2,2,2.875,0.001,0.001
1086913,1086912,6,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,2,2,2.874,0.001,0.001
1086914,1086913,7,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,2,2,2.873,0.003,0.003
1086915,1086914,8,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,2,2,2.853,0.003,0.003
1086916,1086915,9,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,2,2,1.25,0.002,0.002
1086917,1086916,10,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,2,2,1.237,0.0,0.001
1086918,1086917,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,2,2,1.237,0.001,0.001
1086919,1086918,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,2,2,1.236,0.002,0.001
1086920,1086919,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,2,2,1.234,0.005,0.005
1086921,1086920,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,8,8,1.229,0.002,0.002
1086922,1086921,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,8,8,1.227,1.227,0.123
1086924,1086915,9,get_block_at_height,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:970,,2,2,1.6,0.0,0.0
1086925,1086924,10,get_block_at_height,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1362,,2,2,1.6,0.002,0.002
1086926,1086925,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,4,4,1.598,0.001,0.001
1086927,1086926,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,4,4,1.597,0.002,0.002
1086928,1086927,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,4,4,1.595,0.01,0.011
1086929,1086928,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,6,6,1.585,0.002,0.001
1086930,1086929,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,6,6,1.583,1.583,0.101
1086964,1086910,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2.blocksurvey-proof-of-submission:proof-of-submission,1,1,6.708,0.022,0.021
1086967,1086964,5,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,4,4,3.607,0.016,0.016
1086976,1086967,6,is-response-already-submitted,clarity::user::private,clarity/src/vm/mod.rs:344,SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2.blocksurvey-proof-of-submission:is-response-already-submitted,1,1,1.451,0.011,0.012
1086982,1086976,7,get-response-by-id,clarity::user::private,clarity/src/vm/mod.rs:344,SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2.blocksurvey-proof-of-submission:get-response-by-id,1,1,1.438,0.006,0.005
1086985,1086982,8,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,1,1,1.432,0.002,0.002
1086987,1086985,9,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,1,1,1.43,0.004,0.004
1086991,1086987,10,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,1,1,1.423,0.002,0.003
1087004,1086991,11,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,1.38,0.0,0.0
1087005,1087004,12,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,1.38,0.001,0.0
1087006,1087005,13,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1,1,1.379,0.0,0.001
