record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
7566872,7566869,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:634,,1,1,137.466,0.001,0.001
7566873,7566872,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,137.465,0.057,0.057
7566923,7566873,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,127.949,0.017,0.017
7566924,7566923,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-api.close,1,1,127.929,0.033,0.033
7566978,7566924,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-api:close,1,1,127.51,0.014,0.014
7566980,7566978,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,127.495,0.019,0.019
7566988,7566980,6,CONTEXT,clarity::user::private,clarity/src/vm/mod.rs:344,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-api:CONTEXT,1,1,81.086,0.006,0.006
7566990,7566988,7,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,81.08,0.02,0.02
7567153,7566990,8,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,1,1,74.482,0.016,0.016
7567192,7567153,9,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-oracle.price,1,1,74.279,0.017,0.017
7567246,7567192,10,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-oracle:price,1,1,73.943,0.006,0.006
7567248,7567246,11,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,73.937,0.031,0.031
7567254,7567248,12,extract-price,clarity::user::public,clarity/src/vm/mod.rs:344,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-oracle:extract-price,1,1,72.665,0.0,0.0
7567255,7567254,13,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1SATBEBG20HT1J9YNEXN2SPT7Q82H29P8AXKF0K.gl-oracle:extract-price,1,1,72.665,0.005,0.005
7567257,7567255,14,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,72.66,0.033,0.033
7567260,7567257,15,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,1,1,70.187,0.011,0.011
7567264,7567260,16,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.pyth-oracle-v3.verify-and-update-price-feeds,1,1,70.174,0.02,0.02
7567318,7567264,17,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.pyth-oracle-v3:verify-and-update-price-feeds,1,1,69.879,0.012,0.012
7567582,7567318,18,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,68.224,0.024,0.024
7567589,7567582,19,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,3,3,67.315,0.046,0.047
7567624,7567589,20,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.pyth-pnau-decoder-v2.decode-and-verify-price-feeds,1,1,64.068,0.039,0.038
7567678,7567624,21,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.pyth-pnau-decoder-v2:decode-and-verify-price-feeds,1,1,63.618,0.019,0.02
7567796,7567678,22,decode-pnau-price-update,clarity::user::private,clarity/src/vm/mod.rs:344,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.pyth-pnau-decoder-v2:decode-pnau-price-update,1,1,63.025,0.005,0.005
7567798,7567796,23,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,63.02,0.052,0.054
7568056,7567798,24,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,5,5,20.672,0.072,0.072
7568298,7568056,25,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.wormhole-core-v3.parse-and-verify-vaa,1,1,18.461,0.055,0.055
7568352,7568298,26,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.wormhole-core-v3:parse-and-verify-vaa,1,1,17.937,0.003,0.003
7568354,7568352,27,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,17.934,0.022,0.021
7568358,7568354,28,parse-vaa,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.wormhole-core-v3:parse-vaa,1,1,16.847,0.001,0.001
7568359,7568358,29,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.wormhole-core-v3:parse-vaa,1,1,16.846,0.002,0.002
7568361,7568359,30,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,16.844,0.053,0.053
7568986,7568361,31,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,2,2,11.899,0.054,0.054
7568998,7568986,32,batch-read-signatures,clarity::user::private,clarity/src/vm/mod.rs:344,SP3R4F6C1J3JQWWCVZ3S7FRRYPMYG6ZW6RZK31FXY.wormhole-core-v3:batch-read-signatures,19,19,11.056,0.077,0.078
7569000,7568998,33,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,19,19,10.97,0.04,0.038
7569008,7569000,34,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,13,13,10.783,0.055,0.055
7569011,7569008,35,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,26,26,10.365,0.102,0.1
7569016,7569011,36,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP2J933XB2CP2JQ1A4FGN8JA968BBG3NK3EKZ7Q9F.hk-cursor-v2.read-uint-8,13,13,5.187,0.213,0.215
