record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
707052,706985,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:634,,1,1,2243.254,0.001,0.001
707053,707052,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,2243.253,0.109,0.109
707103,707053,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,2060.607,0.011,0.012
707104,707103,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53.rewards-dual-stacking-zest-v1.compute-current-snapshot-balances,1,1,2060.556,0.069,0.069
707158,707104,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53.rewards-dual-stacking-zest-v1:compute-current-snapshot-balances,1,1,2057.719,0.02,0.019
707200,707158,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,2055.8,0.007,0.008
707202,707200,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,2055.214,0.134,0.134
707205,707202,7,compute-and-update-balances-one-user,clarity::user::private,clarity/src/vm/mod.rs:344,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53.rewards-dual-stacking-zest-v1:compute-and-update-balances-one-user,200,200,2055.074,0.351,0.349
707207,707205,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,200,200,2054.64,1.06,1.04
707209,707207,9,at-block,clarity::builtin,clarity/src/vm/mod.rs:380,special_at_block,200,200,1851.601,0.211,0.212
707224,707209,10,evaluate_at_block,clarity::vm::contexts::ExecutionState,clarity/src/vm/contexts.rs:1318,,200,200,1845.915,0.322,0.321
707239,707224,11,get-user-total-sBTC-balance,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53.rewards-dual-stacking-zest-v1:get-user-total-sBTC-balance,200,200,1831.27,0.064,0.064
707240,707239,12,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53.rewards-dual-stacking-zest-v1:get-user-total-sBTC-balance,200,200,1831.206,0.395,0.394
707243,707240,13,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,200,200,1830.543,0.389,0.383
