stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
5182,494317bcaf4d3bdcb223ba24d403858fdf8640c4d32964a22a972ca9fb41388e,5089,5006088,1275.204,17923659,5329,9325488,71,5303
6254,4897a2b374c168c8e061cb8b9de8f8d85cb3e212295e0b8dfb17bee81952d394,4242,5005241,1247.216,18389710,5329,9439899,71,5303
6188,ff5499c94da1779d0e1e485e2da4fe7739877f87c52d1479ccc0cccea25ee0fa,4296,5005295,1187.782,18067906,5329,9355455,71,5303
5248,868bd20e54bf40144281646b8843722dc2995fada2b81e95e27c2b963c6f9fdf,5039,5006038,1182.298,17932186,5329,9327151,71,5303
5264,bf972387f157e2a772418fc8a4b14ceb602c7de0c20185df173d058c5927fbfb,5029,5006028,1171.888,17910109,5329,9322730,71,5303
6220,4c703ebe0b969c859a8141944bb6ed3ff2d66f14d4c047c71af8c8e63da8d927,4268,5005267,1153.808,18188501,5329,9389522,71,5303
5109,6ca420c20e202c94bfb4eadc165198dbd0aad3e3003d3f2fa770c11b3dec53dc,5145,5006144,1145.24,17972518,5329,9334667,71,5303
6249,adb5e18113a94bbddc74f59e0276aeaa2a368b854f2745fafb6ca3809645c038,4244,5005243,1135.204,18244787,5329,9396744,71,5303
6252,1e418dd7ca3ed8722f5e0d393e974c60c6be830e1e1b1d0b4935ac9a6cbc678a,4243,5005242,1124.031,18456872,5329,9453485,71,5303
6185,3541e8c4f3edb7ac982b8b9a04d909ecb2a229c7c3b86d8b9cb8f539266b76fa,4297,5005296,1113.988,18088470,5329,9360111,71,5328
5104,0c758681b60cb34ffeeaff90f5bec59e45b7d51734f6831e4f50ece45b4397a4,5146,5006145,1113.285,18109999,5329,9367468,71,5303
5906,2a921891371406fffc4c1e7ee3562861090f55c4f726c55b5f4201b40a531ea5,4498,5005497,1109.345,17910109,5329,9322730,71,5303
6222,b53b8f5fe60aebfa90ebc1434dec94485d74fda19bf90b8540957230c80535dd,4269,5005268,1064.851,18245637,5329,9406754,71,5303
6154,8f73dc18876ea9a5250928d9410a3a72ad55ddebb90986ceb716e41b57c8ef04,4321,5005320,1064.085,18077205,5329,9358258,71,5353
5183,de9bbc87740fdc2634977fe356a93147026c1eb71db9b43b6c8f3f67940ceaf2,5090,5006089,1061.811,17974649,5329,9336054,71,5303
6157,3e6c35db603c9a0b8b26fc8f0ccf1ec506298cd1341d5d55983773a89d6c7393,4322,5005321,1060.903,17934710,5329,9327379,71,5303
5263,f2eb4d8d76ddbe7fb9e55165fe45465b245529720d5aec6bb837901ecc6f2778,5030,5006029,1048.496,17910109,5329,9322730,71,5303
5145,853ad620c24144c0ec6b736bbd52a7f5c03592137d62d2c6139d612ee7006e39,5116,5006115,1038.124,18182645,5329,9388138,71,5303
5147,519459a3c30f74aa44a3124780b2c4bc30f0619415fbe7dcc5f6439ded924d2f,5115,5006114,1036.022,18079765,5329,9358274,71,5303
6116,67b1e68d54313e8c7501041aa1ab8b83ee131ba2a30befbdc2916e9ca1a2f859,4349,5005348,1024.361,17921086,5329,9325243,71,5303
