stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
10473,fc9e08d8f83e79446ffd9a631be301cbd30cd76ccd145cde3e2ac2118506e7c6,1049,5002048,14.636,47833,15,7395,5,300
11542,b67e8548dbf6ea59980a7ef9d5e279435893889630a23a988d8bfa447691ce28,327,5001326,14.385,47833,15,7395,5,300
11092,4c673c509161a8f2c4a95a828ee305f7526e2458ad8400ab14c734933b6bc902,635,5001634,14.295,47833,15,7395,5,300
10826,9675cca187a4ec53e192bde1a7898b1f55ff6b676019536bb88321279178303e,803,5001802,14.197,47833,15,7395,5,300
10339,1c7f65f899e58802b4ba22703f8860d11f21abccdd4c0d30c66482cdaaf47d25,1152,5002151,14.164,47833,15,7395,5,300
4046,cfe89996c32147bf3056d249e51048b822dac40a1c6a79dee09272b02f040ae6,6030,5007029,13.844,47833,15,7395,5,300
8762,437a6a5a3124da38b96a7f3b6dd5dbbc86e24605ba197682bb1f1d66d66484e5,2297,5003296,13.77,47833,15,7395,5,300
8296,d44cf47ef9c6380627d64136ed58ddfa279f4ad495f451f40e166ab77c74f5dd,2637,5003636,13.707,47833,15,7395,5,300
8830,47dfeee0bf5de3c8cf111d6749ae8b68baebcd730de44d879aab20da75040713,2248,5003247,13.63,47833,15,7395,5,300
9364,9d3cbc6f3cf88d8d44d9187f8c9f296e4417b33916cd09719c440a273847e9ff,1873,5002872,13.545,47833,15,7395,5,300
7944,cdd9f9b1849b1ffda78a7503fe5903e7b8c0029eb9b079605caf5b3e7640655a,2918,5003917,13.442,47833,15,7395,5,300
6929,f7e22c7f6a3b885c3b6c424430e98c20a1ebc298853724913caae7b051e74218,3698,5004697,13.365,47833,15,7395,5,300
11385,4a58525d6641fb7e365327856b268065d4b146a56430000c07593e9df3e68c22,434,5001433,13.218,47833,15,7395,5,300
8534,da1298143d640db0f858286789453aa8ebbb1b1f389c23002de96e3a9ecd68f6,2448,5003447,13.18,47833,15,7395,5,300
10759,6d60c9ccce6b90b4fa0bb382423f0e72b5221a96f528075090e88dccb787c8a2,854,5001853,13.122,47833,15,7395,5,300
8625,0636d366a0eab783bfc271d108fb2048c0f99f7c0fbe39426622bfd90faf969d,2396,5003395,12.957,47833,15,7395,5,300
11834,384222923d5500be914a469f1fe906e66134301301fe6530a5ed3543db17dccd,118,5001117,12.881,47833,15,7395,5,300
10867,8ac6f3155e20608b8d1b81086aadcf7903b0b7a70fa0493fbb98dedf773d03a8,773,5001772,12.824,47833,15,7395,5,300
11039,57b2f495afe3f215fce9a6180c4bc4dccba8aa250bce8ace47c67fbf53e444e9,664,5001663,12.823,47833,15,7395,5,300
7377,f282db3ec7026896f67250d08bb2274f976cc3af0e02182f69020b9ddc967419,3338,5004337,12.716,47833,15,7395,5,300
11711,da77b791bcdf660f016494862248f6210434c34ab3dcc2ac3759c38f4e14522c,211,5001210,12.669,47833,15,7395,5,300
8866,5e6acb45c49ac72dc50d2a575f65cfff64c7d8a3db0739026bc8b277b805167a,2221,5003220,12.591,47833,15,7395,5,300
6827,d9e159a495976edda9a9a5ffcde49c2f28714fd841714dce01ea384a9211b7fc,3779,5004778,12.493,47833,15,7395,5,300
4225,f2c783618a76cc3ed9fcfcf627f77c75dba2d9c8640e0aafe463a8db891f1f2d,5878,5006877,12.418,47833,15,7395,5,300
8798,db0d8567f86e4f3de56690d8d133e96a664089c2ccd8245361d43ed00485166b,2272,5003271,12.401,47833,15,7395,5,300
8664,b877a133b9dc7e2e1c10ef445b2599e332d67ecf7844d4679aa8994fd36ff4c2,2372,5003371,12.347,47833,15,7395,5,300
10996,4e7ff71d3b47cb1fe3b2469d92b06c7f8e287339317ebea7069b2db85ed88816,689,5001688,12.274,47833,15,7395,5,300
10956,1c3e0bf5ed3ee5b5d53222a4e1efe941c02fcde100e08a00378398abc3b8b89d,711,5001710,12.085,47833,15,7395,5,300
6240,d99e3d9da10dcf259063f4918ad1d6212627c233d4b051c698ea2a88bea36bdf,4250,5005249,12.078,47833,15,7395,5,300
6383,217989905618b7d58f8d6841cff2acd05e144c6c7fdfef1000624fa1d6869153,4143,5005142,12.059,47833,15,7395,5,300
