stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
1265,192d2260432993e9eedec61edbbc01c8ad61b39e65d47504f23c1e21343d3a59,8169,5009168,137.466,772987146,501,1150783,11,1586
10973,a05536283b5788f7c933f3bbc6f098fc84d9bd689e76b2c00f6b73511b5406b5,701,5001700,126.71,772920588,498,1144145,11,1586
4725,44ed544e0aaf1d17006ff6c346b2e0493fc288543118ee0b52df073639e98387,5484,5006483,126.395,773002704,505,1152583,11,1586
2872,7473315ed705fe8980ecbb699919a863e78901477fe80c8a2698891f6d0f7434,7015,5008014,125.876,773003106,505,1152583,11,1586
4660,9879a47453c313345148827a9ff512e199817cc87df898b51f66f9533677079f,5532,5006531,125.143,772920588,498,1144145,11,1586
2172,3e172a881c54862ac7c7280a474f9fe0679834c0908235365857f1b935e6295b,7566,5008565,120.162,772929171,500,1145045,11,1586
11037,f9dc0d2de301a9d06d8d11b2ca46f1898f07b1e76964b0cce6385b02dc42ac28,664,5001663,120.126,773002704,505,1152583,11,1586
4263,1aee2ce4ae47739aa8fa219dfc3c892bde9749b13389d0af40104c8f0aac1a9b,5853,5006852,117.77,773002704,505,1152583,11,1586
1508,d73e5e658a0b599671c3fc501f7751e92df2865cfef677d45026c103c9bbb47d,8028,5009027,116.059,772929171,500,1145045,11,1586
3197,4123735cd63e295b72f57fc9d8a16f72d13d1f4f550a0acf56beda64d0653487,6727,5007726,99.973,772929171,500,1145045,11,1586
1464,40c5bfcf5b196e346beb35e1ff9703b6be54456e273cc293659ba4ffa7cba816,8054,5009053,95.811,772995327,503,1151683,11,1586
4185,34ee3d394c250a8c165c943451522594b9d4c0dc1ecebb6cfd00317aef2dd16e,5909,5006908,95.414,772920588,498,1144145,11,1586
2132,a20df9da0ba674e3da8a972216d7fde4d8cede1d3d9c6917f58f9d8372bfe27b,7594,5008593,95.015,772995327,503,1151683,11,1586
2850,d6810786a8475c7ee86a59dcdab76d6a85103a992e97aaa3a8e4be9b8d744cf0,7035,5008034,94.743,772921392,498,1144145,11,1586
2428,78696d942d1eff8e612df69ce1793c7a0f6852c96bf06e7090a36e74cccfc8f1,7390,5008389,94.638,772929171,500,1145045,11,1586
987,b13f11fbe2793259207ec05619f7226ef6dc776fce2e8fba398958267187d702,8371,5009370,93.567,772929171,500,1145045,11,1586
2413,6e8320b782ecd25d5767f9c6cfd0ef7f52ecbc0e38097cbb69bf3046271f73df,7404,5008403,93.54,772995327,503,1151683,11,1586
348,1022a37d14ec9e33cbea26dd9b412b2798a51c673b07ca88b64fb0e46ac7c435,8722,5009721,93.315,772994925,503,1151683,11,1586
3170,ef91e54edb29d321877a18a666c322488a4001e2577a7b7ec00cf9d3a0f12fa7,6752,5007751,93.237,772995327,503,1151683,11,1586
3759,d3f7c139c150321601b289779ed34f463c958bd6079a6bd8cc4a0b54a7c3022f,6256,5007255,93.068,772994925,503,1151683,11,1586
