stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
4053,dfe19dd6608633cf439017e20d02e8d018c7f83a19d6f41faea115b21a546640,6023,5007022,122.201,771764261,444,992310,15,2110
10313,060a13a470dec03d5aa0063b5d9d7b2ff734c8c8f4bef17d17dec85f5d98ccd9,1170,5002169,121.4,771714443,440,993698,15,2144
4427,bade8c4792b3d2ad2716b38b91f984f69c267fb4b924bcdb4a746710403fd7b4,5719,5006718,116.683,771714137,440,993596,15,2093
10449,a8a149da510d747b9c17566b2912f2eb4353af0f8e7f7056cbbb309d3ae3efd4,1068,5002067,115.677,771764057,444,992242,15,2076
1840,3c04e09826d4da63acb09bc3154b298ceeab7a8dbce1216dd3e1008170d1f63f,7786,5008785,112.238,771765581,444,992616,15,2263
209,167e97bd6134836578dfb6a88b8ed8b935bf2ecb019e41c15867d52f0192f16d,8831,5009830,112.184,771765077,444,992582,15,2246
1056,58c21cfdbd649568cc4fc298b388e46c87a519af513ea25f74fd353cbb36a748,8318,5009317,112.021,771764873,444,992514,15,2212
3338,cf790fc50607d6f8054ed80e33493f14c2d133d397185a40b6af6f96646b11f3,6602,5007601,111.141,771714341,440,993664,15,2127
2585,8b2af227f1a107523c02f3b765ef44d460290a2a74b368e19b76f7bc15a82a12,7263,5008262,110.61,771714545,440,993732,15,2161
703,f395f97d7bd6a91f9ff17e4c36f0701e14df53be331393bc00c9f2fc92370e25,8533,5009532,90.432,771765785,444,992684,15,2297
3309,3b66dcc3ab15d595b4428e8d4bfb2f6ffaefa41d12272a1b120376bfa3a5c7cd,6630,5007629,89.795,771712301,440,992984,15,1787
1830,d7883e7ca8de1d951f8db268c0c75124afca1da2d23b72e3c2d45b70c89c314e,7794,5008793,88.592,771714749,440,993800,15,2195
4413,49902b23fba79e9304611a5f8e3f05802810c752e012ab316bfbb35f127bc075,5731,5006730,88.005,771764969,444,992412,15,2161
2560,d9700a14608d876617a1b4eb22d67388ea3048a6350ed4ff2d42128f8bbc6e67,7283,5008282,87.969,771765377,444,992548,15,2229
2297,777768b7b60db6f31bcdaa62a35b83fa54f7a19443e0024fd2cdf562a4fb900c,7489,5008488,87.625,771765071,444,992446,15,2178
2341,46e737632aafacb0188be0cb31818afbcbba18dda408ac33d4833a72b047a078,7461,5008460,86.855,771715055,440,993902,15,2246
4043,a8e26abbc72421aa47a504d2ea039d09271fde09a96023da3b145ef52ceabf29,6033,5007032,86.272,771714647,440,993766,15,2178
3044,933f77fa88f885701d7d4e76e27709b803bc7c101475b2058502eaa2365b884d,6862,5007861,86.271,771714851,440,993834,15,2212
177,72ee4e4bfda3e5d2b8e4c172d7ce62d44f590d0189f9d64b4a710197dd9e2aa6,8860,5009859,84.819,771715463,440,994038,15,2314
1029,e1083b4f40ada9f3d31ab693f2197a5456a11bfa5afa8fbd813f87890055e745,8338,5009337,84.65,771715259,440,993970,15,2280
