span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
13,blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,282472.49,282092.32,7679280,9000,100.0,11995,100.0
96,blockstack_lib::chainstate::stacks::index::file::TrieFile,append_trie_blob,66992.99,66978.99,18000,9000,100.0,0,0.0
10,blockstack_lib::chainstate::stacks::index::marf::MARF,walk,301554.15,54294.37,3325849,9000,100.0,11995,100.0
60,clarity::vm::database::sqlite::SqliteConnection,put,28303.62,28303.62,98584,9000,100.0,11995,100.0
84,blockstack_lib::chainstate::stacks::index::storage::TrieRAM,calculate_node_hashes,58811.4,20653.91,677524,9000,100.0,0,0.0
16,clarity::vm::database::clarity_db::ClarityDatabase,fetch_metadata,65998.09,14355.92,393206,9000,100.0,2948,24.6
1,stacks_bench::replay,Segment,568089.66,11599.23,9000,9000,100.0,0,0.0
102,blockstack_lib::chainstate::nakamoto::NakamotoChainState,advance_tip,96766.17,10806.51,9000,9000,100.0,0,0.0
14,clarity::vm::database::sqlite::SqliteConnection,get,8590.03,8590.03,1513808,9000,100.0,11995,100.0
99,blockstack_lib::chainstate::stacks::index::trie_sql,inner_write_external_trie_blob,7742.26,7742.26,18000,9000,100.0,0,0.0
110,clarity::vm,lookup_variable,7471.75,7471.75,10372089,2363,26.3,2935,24.5
136,clarity::builtin,let,613736.53,5722.8,460901,859,9.5,1206,10.1
24,clarity::vm,lookup_function,4344.06,4344.06,11212856,9000,100.0,2948,24.6
9,blockstack_lib::chainstate::stacks::index::marf::MARF,get_path,305929.22,4061.5,3325849,9000,100.0,11995,100.0
33,blockstack_lib::chainstate::nakamoto::NakamotoChainState,inner_setup_block,38567.55,2948.75,9000,9000,100.0,0,0.0
85,blockstack_lib::chainstate::stacks::index::trie::Trie,inner_get_trie_ancestor_hashes_bytes,158275.5,2632.54,18000,9000,100.0,0,0.0
22,clarity::vm::database::sqlite::SqliteConnection,get_metadata,2241.78,2241.78,393355,9000,100.0,2948,24.6
105,clarity::dispatch,execute-contract,481851.57,2002.34,105707,2363,26.3,2935,24.5
114,clarity::builtin,get,51074.54,1833.67,2696498,2292,25.5,2836,23.6
12,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,284222.12,1749.63,7679280,9000,100.0,11995,100.0
93,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,commit_to,55110.27,1521.68,9000,9000,100.0,0,0.0
8,blockstack_lib::chainstate::stacks::index::marf::MARF,get_by_key,307367.03,1419.85,3325849,9000,100.0,11995,100.0
104,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,commit,23106.86,1349.59,9000,9000,100.0,0,0.0
11,blockstack_lib::chainstate::stacks::index::trie_sql,get_external_trie_offset_length,1325.07,1325.07,519477,9000,100.0,2002,16.7
62,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_hash,1319.91,1319.91,472146,9000,100.0,230,1.9
37,blockstack_lib::chainstate::stacks::index::marf::MARF,extend_trie,1434.11,1189.38,273429,9000,100.0,11995,100.0
87,blockstack_lib::chainstate::stacks::index::file::TrieFile,get_node_hash_bytes,984.11,982.51,414000,9000,100.0,0,0.0
158,clarity::builtin,*,946.19,946.19,2497447,681,7.6,1010,8.4
31,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_identifier,926.03,926.03,133139,9000,100.0,6,0.1
63,blockstack_lib::chainstate::stacks::index::trie_sql,read_node_type,907.23,907.23,63014,9000,100.0,1,0.0
138,clarity::builtin,if,491123.13,877.96,557062,765,8.5,1081,9.0
61,blockstack_lib::chainstate::stacks::index::trie_sql,read_node_type_nohash,836.57,836.57,162457,9000,100.0,5,0.0
49,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_data,120990.08,818.39,1529823,9000,100.0,11995,100.0
68,clarity::vm::database::clarity_db::ClarityDatabase,get_current_burnchain_block_height,2334.6,758.15,40475,9000,100.0,11995,100.0
23,clarity::vm::callables::DefinedFunction,canonicalize_types,709.29,709.29,4933881,9000,100.0,2935,24.5
46,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_cow,38616.64,658.04,255429,9000,100.0,11995,100.0
15,clarity::vm::database::clarity_db::ClarityDatabase,get_contract,44878.8,634.17,163595,9000,100.0,2948,24.6
45,blockstack_lib::chainstate::stacks::index::marf::MARF,do_insert_leaf,39192.1,575.46,255429,9000,100.0,11995,100.0
21,blockstack_lib::chainstate::stacks::index::marf::MARF,get_block_at_height,185104.16,562.83,833193,9000,100.0,2948,24.6
121,clarity::builtin,contract-call?,336598.41,540.47,102772,2006,22.3,2472,20.6
115,clarity::builtin,tuple,22777.5,515.57,180777,2180,24.2,2707,22.6
131,clarity::builtin,+,513.53,513.53,1328042,2100,23.3,2590,21.6
48,blockstack_lib::clarity_vm::clarity::ClarityInstance,get_epoch_of,496.31,496.31,9000,9000,100.0,0,0.0
175,clarity::dispatch,begin-read-only-tx,374448.02,450.56,168482,764,8.5,1110,9.3
53,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_contract_hash,46393.37,427.89,384518,9000,100.0,2948,24.6
66,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,try_mine_tx_with_len,209288.55,420.99,11995,9000,100.0,11995,100.0
38,blockstack_lib::chainstate::stacks::index::trie_sql,count_blocks,409.85,409.85,273429,9000,100.0,11995,100.0
421,clarity::user::private,D-for-loop,19019.27,405.1,195072,145,1.6,193,1.6
52,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_metadata,48938.81,393.68,384518,9000,100.0,2948,24.6
7,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,get,121201.74,377.88,1611733,9000,100.0,11995,100.0
