span_id,context,name,call_count,sample_count,sampling_rate,wall_ms,self_wall_ms,self_cpu_ms,self_wait_ms,avg_self_wall_us
13,blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,7679280,7679280,1.0,282472.49,282092.32,77560.41,204531.91,36.734
96,blockstack_lib::chainstate::stacks::index::file::TrieFile,append_trie_blob,18000,18000,1.0,66992.99,66978.99,1053.55,65925.44,3721.055
10,blockstack_lib::chainstate::stacks::index::marf::MARF,walk,3325849,3325849,1.0,301554.15,54294.37,33658.13,20636.24,16.325
60,clarity::vm::database::sqlite::SqliteConnection,put,98584,98584,1.0,28303.62,28303.62,2115.19,26188.44,287.102
84,blockstack_lib::chainstate::stacks::index::storage::TrieRAM,calculate_node_hashes,677524,677524,1.0,58811.4,20653.91,20284.77,369.14,30.484
16,clarity::vm::database::clarity_db::ClarityDatabase,fetch_metadata,393206,393206,1.0,65998.09,14355.92,14346.18,9.74,36.51
1,stacks_bench::replay,Segment,9000,9000,1.0,568089.66,11599.23,11450.71,148.53,1288.804
102,blockstack_lib::chainstate::nakamoto::NakamotoChainState,advance_tip,9000,9000,1.0,96766.17,10806.51,1271.52,9535.0,1200.724
14,clarity::vm::database::sqlite::SqliteConnection,get,1513808,1513808,1.0,8590.03,8590.03,4406.98,4183.05,5.674
99,blockstack_lib::chainstate::stacks::index::trie_sql,inner_write_external_trie_blob,18000,18000,1.0,7742.26,7742.26,761.61,6980.64,430.125
110,clarity::vm,lookup_variable,10372089,10372089,1.0,7471.75,7471.75,7470.33,1.42,0.72
136,clarity::builtin,let,460901,460901,1.0,613736.53,5722.8,5703.91,18.9,12.417
31,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_identifier,133139,16642,0.125,4393.75,4393.75,690.83,3702.92,33.001
24,clarity::vm,lookup_function,11212856,11212856,1.0,4344.06,4344.06,4349.41,-5.35,0.387
9,blockstack_lib::chainstate::stacks::index::marf::MARF,get_path,3325849,3325849,1.0,305929.22,4061.5,2101.43,1960.07,1.221
33,blockstack_lib::chainstate::nakamoto::NakamotoChainState,inner_setup_block,9000,9000,1.0,38567.55,2948.75,2679.91,268.84,327.639
85,blockstack_lib::chainstate::stacks::index::trie::Trie,inner_get_trie_ancestor_hashes_bytes,18000,18000,1.0,158275.5,2632.54,807.47,1825.07,146.252
22,clarity::vm::database::sqlite::SqliteConnection,get_metadata,393355,393355,1.0,2241.78,2241.78,1924.92,316.85,5.699
105,clarity::dispatch,execute-contract,105707,105707,1.0,481851.57,2002.34,1999.41,2.93,18.942
114,clarity::builtin,get,2696498,2696498,1.0,51074.54,1833.67,1832.18,1.49,0.68
