stacks_tx_id,tx_hash,tx_type,synthetic_block_id,stacks_block_height,contract_issuer,contract,function,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
8934,dc657eda50e87123e4c2c10f8b3c42d6cfaac0d6ad2886aede8ec5f834283a56,"Contract Call",2182,5003181,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,3931.584,38311763,12290,14375306,602,55656
8767,ebaa3d7288f90b335bf9e42f5ecb46b1b769f22771b151a1c492a191a97e30b7,"Contract Call",2294,5003293,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,3873.966,38243979,12253,14341537,602,55656
8632,c79d1f26e6974ee250410d3acfdb815716b42c9c6342c11109e25b32ea465671,"Contract Call",2395,5003394,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,3763.681,37735403,12016,14080067,602,55831
8670,cd1ac6cc6ee922f81abb6fd050576718442b6193320ad2cc176dae98b1d65551,"Contract Call",2368,5003367,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v1,capture-snapshot-balances,3515.867,35915865,11442,13144667,592,55263
11046,05bb7eea2f1ba90be59c5b5b1005ead7d554dd3707e326c0fe635fedb4dc20b5,"Contract Call",662,5001661,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,2243.254,37774975,6369,22735827,401,30218
11101,510793e07753b08d05f9182d11addf0ecdda2948d536089c16ceca36cf0e2c76,"Contract Call",633,5001632,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,2172.597,35745941,6124,21254991,401,30218
11102,c3c0a8e4a6cea62e58020edf4733a8edbb1d418466397a34ca2771d1cad761bb,"Contract Call",631,5001630,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,2162.843,35745941,6124,21254991,401,30218
11098,94eb0ed0df66ccfb2055447bb27247bd64578430a5812f9e0d9a5a1f2310810e,"Contract Call",632,5001631,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,2119.615,35456079,6089,21043443,401,30218
10986,bc7e281c3fefdfab13225e7056f91c3a5fac6cc892741a7d5f5b63fcc9a1c5a0,"Contract Call",699,5001698,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,1957.376,32848129,5774,19139743,401,30362
8837,1027da2f6abb04aecab9dcd14efc5221b0445cac4cd6e643315eaa1d7c44688e,"Contract Call",2245,5003244,SP28WXEA1SKAX69TKEE6ZQS57DRDB2A6FCF8D5F53,rewards-dual-stacking-zest-v1,compute-current-snapshot-balances,1505.041,37774975,6369,22735827,401,30218
