span_id,context,name,call_count,sample_count,sampling_rate,wall_ms,self_wall_ms,self_cpu_ms,self_wait_ms,avg_self_wall_us
13,blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,48440451,48440451,1.0,935426.91,932669.18,409601.02,523068.16,19.254
84,blockstack_lib::chainstate::stacks::index::storage::TrieRAM,calculate_node_hashes,2132356,2132356,1.0,1272836.45,381328.36,76846.14,304482.22,178.83
16,clarity::vm::database::clarity_db::ClarityDatabase,fetch_metadata,3792413,3792413,1.0,657164.44,352025.16,352027.88,-2.71,92.824
60,clarity::vm::database::sqlite::SqliteConnection,put,1038880,1038880,1.0,297586.64,297586.64,23511.32,274075.32,286.449
10,blockstack_lib::chainstate::stacks::index::marf::MARF,walk,20524177,20524177,1.0,999944.13,151420.84,87823.03,63597.81,7.378
96,blockstack_lib::chainstate::stacks::index::file::TrieFile,append_trie_blob,30000,30000,1.0,129163.99,129136.38,2015.91,127120.47,4304.546
93,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,commit_to,15000,15000,1.0,198695.87,92728.18,29787.33,62940.86,6181.879
62,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_hash,973529,973529,1.0,49185.11,49185.11,5326.98,43858.14,50.522
14,clarity::vm::database::sqlite::SqliteConnection,get,11256501,11256501,1.0,42445.87,42445.87,30504.64,11941.23,3.771
110,clarity::vm,lookup_variable,47062823,47062823,1.0,36918.12,36918.12,36848.12,70.0,0.784
105,clarity::dispatch,execute-contract,839689,839689,1.0,3079077.99,35194.96,35195.04,-0.08,41.914
102,blockstack_lib::chainstate::nakamoto::NakamotoChainState,advance_tip,15000,15000,1.0,426161.51,26944.23,2657.34,24286.89,1796.282
22,clarity::vm::database::sqlite::SqliteConnection,get_metadata,3792731,3792731,1.0,25393.26,25393.26,23740.79,1652.46,6.695
24,clarity::vm,lookup_function,52253962,52253962,1.0,22840.77,22840.77,22807.94,32.83,0.437
136,clarity::builtin,let,2578820,2578820,1.0,4296076.98,22203.42,22153.86,49.56,8.61
1,stacks_bench::replay,Segment,15000,15000,1.0,2865003.75,22056.96,21748.81,308.15,1470.464
121,clarity::builtin,contract-call?,824198,824198,1.0,2082237.06,18163.89,18145.24,18.65,22.038
99,blockstack_lib::chainstate::stacks::index::trie_sql,inner_write_external_trie_blob,30000,30000,1.0,16482.36,16482.36,1602.6,14879.76,549.412
9,blockstack_lib::chainstate::stacks::index::marf::MARF,get_path,20524177,20524177,1.0,1016379.47,15649.74,10830.43,4819.31,0.763
11,blockstack_lib::chainstate::stacks::index::trie_sql,get_external_trie_offset_length,887133,110891,0.125,15036.57,15036.57,3309.64,11726.93,16.95
27,"clarity_types::types::serialization::<impl clarity_types::types::Value>",serialize_write,72790720,72790720,1.0,29676.27,14379.95,14372.34,7.62,0.198
12,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,48440451,48440451,1.0,946592.38,11165.47,10536.78,628.69,0.23
23,clarity::vm::callables::DefinedFunction,canonicalize_types,70010062,70010062,1.0,11109.8,11109.8,11109.68,0.12,0.159
31,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_identifier,223423,27928,0.125,10191.51,10191.51,1345.37,8846.14,45.615
15,clarity::vm::database::clarity_db::ClarityDatabase,get_contract,2038919,2038919,1.0,613176.14,8343.87,8168.63,175.24,4.092
8,blockstack_lib::chainstate::stacks::index::marf::MARF,get_by_key,20524177,20524177,1.0,1024243.73,7833.39,7848.57,-15.18,0.382
114,clarity::builtin,get,9616884,9616884,1.0,96329.94,6922.53,6908.73,13.8,0.72
85,blockstack_lib::chainstate::stacks::index::trie::Trie,inner_get_trie_ancestor_hashes_bytes,30000,30000,1.0,393945.45,5900.83,1636.73,4264.1,196.694
30,"clarity_types::types::serialization::<impl clarity_types::types::Value>",deserialize_read_count,2478299,2478299,1.0,5891.35,5891.35,5894.15,-2.8,2.377
33,blockstack_lib::chainstate::nakamoto::NakamotoChainState,inner_setup_block,15000,15000,1.0,89234.94,5810.96,4830.28,980.68,387.397
49,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_data,11318323,11318323,1.0,531004.89,5517.7,5384.13,133.57,0.488
115,clarity::builtin,tuple,2439553,2439553,1.0,63139.99,5493.53,5485.56,7.97,2.252
182,clarity::builtin,contract-of,429856,429856,1.0,96838.28,5251.58,5261.68,-10.1,12.217
63,blockstack_lib::chainstate::stacks::index::trie_sql,read_node_type,159030,19879,0.125,4604.25,4604.25,4522.07,82.17,28.952
37,blockstack_lib::chainstate::stacks::index::marf::MARF,extend_trie,1341986,1341986,1.0,4641.12,3974.27,3986.51,-12.24,2.961
53,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_contract_hash,3777950,3777950,1.0,267131.59,3834.63,3831.31,3.32,1.015
52,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_metadata,3777950,3777950,1.0,295927.04,3575.25,3440.87,134.38,0.946
38,blockstack_lib::chainstate::stacks::index::trie_sql,count_blocks,1341986,167749,0.125,3377.75,3377.75,3396.05,-18.3,2.517
21,blockstack_lib::chainstate::stacks::index::marf::MARF,get_block_at_height,4508435,4508435,1.0,520035.41,3006.56,3000.11,6.45,0.667
138,clarity::builtin,if,2105982,2105982,1.0,1101026.42,3004.24,2998.29,5.95,1.427
29,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_value,2592785,2592785,1.0,184368.74,2979.66,2971.96,7.69,1.149
175,clarity::dispatch,begin-read-only-tx,1002211,1002211,1.0,641173.33,2922.84,2914.0,8.84,2.916
107,clarity::dispatch,begin-public-tx,515621,515621,1.0,2743702.66,2862.66,2849.43,13.23,5.552
46,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_cow,1311986,1311986,1.0,104695.02,2801.04,2790.66,10.38,2.135
87,blockstack_lib::chainstate::stacks::index::file::TrieFile,get_node_hash_bytes,690000,690000,1.0,2748.73,2746.63,770.27,1976.36,3.981
48,blockstack_lib::clarity_vm::clarity::ClarityInstance,get_epoch_of,15000,15000,1.0,2734.55,2734.55,459.54,2275.01,182.303
45,blockstack_lib::chainstate::stacks::index::marf::MARF,do_insert_leaf,1311986,1311986,1.0,107383.12,2688.1,2689.28,-1.18,2.049
108,clarity::builtin,asserts!,2233900,2233900,1.0,80329.3,2674.23,2658.66,15.57,1.197
7,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,get,11454892,11454892,1.0,507010.35,2622.17,2616.3,5.86,0.229
61,blockstack_lib::chainstate::stacks::index::trie_sql,read_node_type_nohash,282011,35252,0.125,2410.29,2410.29,2273.37,136.93,8.547
104,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,commit,15000,15000,1.0,43659.53,2316.98,1937.09,379.89,154.465
68,clarity::vm::database::clarity_db::ClarityDatabase,get_current_burnchain_block_height,116068,116068,1.0,6511.16,2256.2,2196.89,59.31,19.439
158,clarity::builtin,*,5283805,5283805,1.0,1999.2,1999.2,1997.18,2.02,0.378
80,clarity::vm::database::clarity_db::ClarityDatabase,put_value_with_size,628834,628834,1.0,8919.85,1809.61,1810.36,-0.76,2.878
5,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_data,5838744,5838744,1.0,225517.25,1808.74,1803.4,5.34,0.31
111,clarity::builtin,is-eq,2406288,2406288,1.0,2148.95,1615.93,1615.22,0.71,0.672
66,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,try_mine_tx_with_len,30901,30901,1.0,1567846.17,1579.54,1570.77,8.77,51.116
4,clarity::vm::database::clarity_db::ClarityDatabase,get_data,5838744,5838744,1.0,226889.39,1372.14,1366.37,5.77,0.235
131,clarity::builtin,+,3305404,3305404,1.0,1334.68,1334.68,1333.4,1.28,0.404
26,clarity::vm::database::clarity_db::ClarityDatabase,fetch_entry_with_size,851815,851815,1.0,109605.53,1316.21,1316.79,-0.58,1.545
197,clarity::builtin,fold,46539,46539,1.0,1080488.17,1274.73,1274.5,0.23,27.391
94,blockstack_lib::chainstate::stacks::index::storage::TrieStorageTransaction,flush_to,15000,15000,1.0,105967.69,1210.85,1209.85,1.0,80.723
130,clarity::vm::database::clarity_db::ClarityDatabase,lookup_variable_with_size,1392548,1392548,1.0,75078.58,1180.99,1180.89,0.1,0.848
17,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_metadata,3792964,3792964,1.0,305389.17,1142.81,1139.16,3.65,0.301
132,clarity::builtin,map-set,393146,393146,1.0,67406.32,1093.81,1092.47,1.33,2.782
129,clarity::builtin,var-get,1392548,1392548,1.0,76116.11,1037.53,1037.14,0.39,0.745
149,clarity::builtin,>,1210318,1210318,1.0,2785.31,1009.46,1007.95,1.51,0.834
25,clarity::builtin,map-get?,851815,851815,1.0,112236.23,965.87,965.45,0.42,1.134
975,clarity::user::private,fold-withdraw-liquidity-multi,140215,140215,1.0,384694.73,945.86,945.96,-0.11,6.746
135,clarity::builtin,ok,1773753,1773753,1.0,912.82,912.82,912.21,0.61,0.515
54,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_block_at_height,3781124,3781124,1.0,126070.04,886.43,887.6,-1.17,0.234
160,clarity::builtin,/,2195096,2195096,1.0,871.74,871.74,871.26,0.48,0.397
59,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,put_all_data,61461,61461,1.0,324458.18,851.26,803.63,47.63,13.85
3,blockstack_lib::clarity_vm::clarity::ClarityInstance,eval_read_only,15000,15000,1.0,15645.73,847.77,379.38,468.39,56.518
88,stacks_bench::replay,"Segment: Clarity State Commit",15000,15000,1.0,199841.17,808.19,808.41,-0.22,53.879
172,clarity::builtin,print,490008,490008,1.0,7486.06,783.56,781.0,2.56,1.599
122,clarity::builtin,and,482598,482598,1.0,49953.32,762.53,761.01,1.52,1.58
134,clarity::vm::database::clarity_db::ClarityDatabase,inner_set_entry,393201,393201,1.0,36754.8,676.24,675.68,0.56,1.72
340,clarity::builtin,slice?,112438,112438,1.0,1172.38,675.22,674.48,0.74,6.005
127,clarity::builtin,try!,1230296,1230296,1.0,645.95,645.95,643.32,2.63,0.525
64,stacks_bench::replay,"Segment: Tx Execution",15000,15000,1.0,1569248.25,570.58,570.57,0.01,38.038
28,clarity::vm::database::clarity_db::ClarityDatabase,get_value,2592785,2592785,1.0,184933.23,564.5,561.2,3.29,0.218
137,clarity::builtin,unwrap!,1185211,1185211,1.0,534.42,534.42,534.28,0.14,0.451
142,clarity::builtin,-,1242568,1242568,1.0,530.52,530.52,530.51,0.01,0.427
152,clarity::builtin,or,321969,321969,1.0,3802.97,517.07,516.36,0.71,1.606
421,clarity::user::private,D-for-loop,230784,230784,1.0,21631.96,477.34,475.71,1.63,2.068
