record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
37172768,37172764,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,1991.634,0.001,0.001
37172769,37172768,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1991.633,0.893,0.89
37172773,37172769,2,with_clarity_db_readonly_owned,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2041,,3,3,1.222,0.012,0.012
37172774,37172773,3,get_data,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:517,,6,6,1.131,0.002,0.002
37172775,37172774,4,get_data,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:388,,6,6,1.129,0.003,0.003
37172776,37172775,5,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,5,5,1.126,0.004,0.003
37172820,37172769,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1423.491,0.088,0.087
37172821,37172820,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.add-liquidity-multi,1,1,1423.03,0.688,0.689
37172822,37172821,4,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,1,1,4.001,0.001,0.001
37172823,37172822,5,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,2,2,4.0,0.002,0.002
37172824,37172823,6,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,2,2,3.998,0.001,0.001
37172825,37172824,7,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,2,2,3.997,0.005,0.005
37172826,37172825,8,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,2,2,3.967,0.004,0.005
37172827,37172826,9,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,2,2,1.802,0.003,0.002
37172828,37172827,10,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,2,2,1.758,0.0,0.0
37172829,37172828,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,2,2,1.758,0.002,0.001
37172830,37172829,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,2,2,1.756,0.002,0.002
37172831,37172830,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,2,2,1.754,0.009,0.01
37172832,37172831,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,6,6,1.745,0.002,0.002
37172833,37172832,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,6,6,1.743,1.743,0.164
37172835,37172826,9,get_block_at_height,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:970,,2,2,2.161,0.001,0.001
37172836,37172835,10,get_block_at_height,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1362,,2,2,2.16,0.004,0.003
37172837,37172836,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,4,4,2.156,0.002,0.002
37172838,37172837,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,4,4,2.154,0.003,0.003
37172839,37172838,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,4,4,2.151,0.286,0.023
37172840,37172839,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,6,6,1.865,0.002,0.002
37172841,37172840,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,6,6,1.863,1.863,0.225
37172875,37172821,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:add-liquidity-multi,1,1,1417.877,0.238,0.237
37172877,37172875,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1417.638,0.011,0.012
37172880,37172877,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,1417.438,0.495,0.496
37172887,37172880,7,fold-add-liquidity-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:fold-add-liquidity-multi,150,150,1416.831,1.227,1.226
37172889,37172887,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,150,150,1415.517,1.488,1.491
37172898,37172889,9,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,150,150,1.467,0.151,0.15
37172900,37172898,10,and,clarity::builtin,clarity/src/vm/mod.rs:380,special_and,150,150,1.242,0.229,0.23
37172911,37172889,9,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,150,150,1409.063,1.067,1.053
37172913,37172911,10,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,1200,1200,2.288,1.042,1.044
37172914,37172913,11,lookup_variable,clarity::vm,clarity/src/vm/mod.rs:209,position,1200,1200,1.246,1.246,1.246
37172916,37172911,10,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.add-liquidity,150,150,1405.094,31.864,31.824
37172917,37172916,11,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,150,150,22.984,0.1,0.1
37172918,37172917,12,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,300,300,22.884,0.107,0.105
37172919,37172918,13,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,300,300,22.777,0.105,0.105
37172920,37172919,14,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,300,300,22.672,0.323,0.315
37172921,37172920,15,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,300,300,20.892,0.336,0.336
37172922,37172921,16,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,300,300,9.827,0.165,0.15
37172923,37172922,17,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,300,300,8.226,0.076,0.077
37172924,37172923,18,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,300,300,8.15,0.115,0.114
37172925,37172924,19,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,300,300,8.035,0.145,0.144
37172926,37172925,20,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,300,300,7.89,1.055,1.062
37172927,37172926,21,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,900,900,6.835,0.214,0.197
