record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
37637813,37636114,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,2243.021,0.001,0.001
37637814,37637813,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,2243.02,0.298,0.298
37637865,37637814,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,2241.08,0.038,0.037
37637866,37637865,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.add-liquidity-multi,1,1,2240.721,0.619,0.619
37637920,37637866,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:add-liquidity-multi,1,1,2239.464,1.085,1.086
37637922,37637920,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,2238.378,0.008,0.007
37637925,37637922,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,2238.242,0.293,0.295
37637932,37637925,7,fold-add-liquidity-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:fold-add-liquidity-multi,150,150,2237.879,0.895,0.895
37637934,37637932,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,150,150,2236.916,1.259,1.102
37637943,37637934,9,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,150,150,1.173,0.128,0.129
37637956,37637934,9,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,150,150,2231.865,0.853,0.842
37637958,37637956,10,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,1200,1200,2.048,0.926,0.925
37637959,37637958,11,lookup_variable,clarity::vm,clarity/src/vm/mod.rs:209,position,1200,1200,1.122,1.122,1.124
37637961,37637956,10,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.add-liquidity,150,150,2228.434,23.422,23.435
37637962,37637961,11,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,150,150,16.759,0.081,0.082
37637963,37637962,12,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,300,300,16.678,0.081,0.08
37637964,37637963,13,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,300,300,16.597,0.089,0.09
37637965,37637964,14,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,300,300,16.508,0.27,0.264
37637966,37637965,15,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,300,300,15.196,0.288,0.29
37637967,37637966,16,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,300,300,10.842,0.131,0.128
37637968,37637967,17,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,300,300,9.759,0.066,0.065
