record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
18543956,18543952,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,2016.339,0.002,0.002
18543957,18543956,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,2016.337,0.563,0.564
18544008,18543957,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1223.376,0.075,0.076
18544009,18544008,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.add-liquidity-multi,1,1,1222.97,0.56,0.56
18544010,18544009,4,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,1,1,4.569,0.001,0.0
18544011,18544010,5,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,2,2,4.568,0.0,0.001
18544012,18544011,6,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,2,2,4.568,0.001,0.001
18544013,18544012,7,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,2,2,4.567,0.003,0.002
18544014,18544013,8,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,2,2,4.55,0.002,0.003
18544015,18544014,9,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,2,2,2.882,0.002,0.001
18544016,18544015,10,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,2,2,2.866,0.001,0.001
18544017,18544016,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,2,2,2.865,0.0,0.001
18544018,18544017,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,2,2,2.865,0.002,0.001
18544019,18544018,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,2,2,2.863,0.007,0.007
18544020,18544019,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,6,6,2.856,0.001,0.002
18544021,18544020,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,6,6,2.855,2.855,0.176
18544023,18544014,9,get_block_at_height,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:970,,2,2,1.666,0.001,0.001
18544024,18544023,10,get_block_at_height,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1362,,2,2,1.665,0.001,0.002
18544025,18544024,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,4,4,1.664,0.001,0.001
18544026,18544025,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,4,4,1.663,0.003,0.002
18544027,18544026,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,4,4,1.66,0.278,0.017
18544028,18544027,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,6,6,1.382,0.001,0.001
18544029,18544028,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,6,6,1.381,1.381,0.099
18544063,18544009,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:add-liquidity-multi,1,1,1217.488,0.128,0.128
18544065,18544063,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1217.359,0.012,0.012
18544068,18544065,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,1217.214,0.218,0.219
18544075,18544068,7,fold-add-liquidity-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:fold-add-liquidity-multi,150,150,1216.953,0.794,0.795
18544077,18544075,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,150,150,1216.089,0.988,0.989
18544086,18544077,9,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,150,150,1.15,0.127,0.127
18544099,18544077,9,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,150,150,1211.421,0.815,0.807
18544101,18544099,10,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,1200,1200,2.079,0.923,0.921
18544102,18544101,11,lookup_variable,clarity::vm,clarity/src/vm/mod.rs:209,position,1200,1200,1.156,1.156,1.157
18544104,18544099,10,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.add-liquidity,150,150,1207.982,18.667,18.682
18544105,18544104,11,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,150,150,21.265,0.077,0.077
18544106,18544105,12,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,300,300,21.188,0.082,0.081
18544107,18544106,13,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,300,300,21.106,0.089,0.089
18544108,18544107,14,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,300,300,21.017,0.27,0.266
18544109,18544108,15,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,300,300,19.846,0.287,0.285
