record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
36944155,36944151,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,2005.66,0.001,0.001
36944156,36944155,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,2005.659,0.665,0.666
36944207,36944156,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1462.8,0.069,0.069
36944208,36944207,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.add-liquidity-multi,1,1,1462.409,0.642,0.642
36944262,36944208,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:add-liquidity-multi,1,1,1461.214,0.157,0.157
36944264,36944262,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1461.056,0.009,0.009
36944267,36944264,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,1460.85,0.346,0.346
36944274,36944267,7,fold-add-liquidity-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:fold-add-liquidity-multi,150,150,1460.394,0.995,0.997
36944276,36944274,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,150,150,1459.322,1.199,1.202
36944285,36944276,9,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,150,150,1.259,0.134,0.135
36944287,36944285,10,and,clarity::builtin,clarity/src/vm/mod.rs:380,special_and,150,150,1.062,0.195,0.196
36944298,36944276,9,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,150,150,1453.864,0.908,0.895
36944300,36944298,10,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,1200,1200,2.207,0.966,0.965
36944301,36944300,11,lookup_variable,clarity::vm,clarity/src/vm/mod.rs:209,position,1200,1200,1.241,1.241,1.243
36944303,36944298,10,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.add-liquidity,150,150,1450.168,24.015,24.007
36944304,36944303,11,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,150,150,23.664,0.086,0.085
36944305,36944304,12,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,300,300,23.578,0.091,0.092
36944306,36944305,13,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,300,300,23.487,0.094,0.093
36944307,36944306,14,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,300,300,23.393,0.285,0.28
36944308,36944307,15,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,300,300,21.974,0.303,0.302
36944309,36944308,16,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,300,300,14.091,0.146,0.142
36944310,36944309,17,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,300,300,12.87,0.073,0.074
36944311,36944310,18,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,300,300,12.797,0.11,0.11
36944312,36944311,19,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,300,300,12.687,0.173,0.172
36944313,36944312,20,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,300,300,12.514,1.202,1.048
36944314,36944313,21,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,900,900,11.312,0.21,0.194
36944315,36944314,22,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,900,900,11.102,11.102,10.264
36944316,36944309,17,get,clarity::vm::database::sqlite::SqliteConnection,clarity/src/vm/database/sqlite.rs:138,,300,300,1.075,1.075,1.061
36944317,36944308,16,get_block_at_height,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:970,,300,300,7.58,0.07,0.071
36944318,36944317,17,get_block_at_height,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1362,,300,300,7.51,0.229,0.228
36944319,36944318,18,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,600,600,7.281,0.218,0.218
36944320,36944319,19,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,600,600,7.063,0.264,0.263
36944321,36944320,20,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,600,600,6.799,0.806,0.807
