marf_key,c,txs,records
__MARF_BLOCK_HEIGHT_SELF,10059,5,595
vm-epoch::epoch-version,5893,5,452
clarity-contract::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-market-vault,1080,5,30
_stx-data::clarity_storage::block_time,1080,5,45
__MARF_BLOCK_HEIGHT_TO_HASH::6162076,1080,5,30
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc::1::index,840,5,35
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::1::index,840,5,35
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc::1::index,840,5,35
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc::1::principal-scaled,720,5,30
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::1::principal-scaled,720,5,30
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc::1::principal-scaled,720,5,30
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc::1::total-borrowed,600,5,25
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc::1::assets,600,5,25
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::1::total-borrowed,600,5,25
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::1::assets,600,5,25
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc::1::total-borrowed,600,5,25
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc::1::assets,600,5,25
clarity-contract::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc,540,5,20
clarity-contract::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx,540,5,20
clarity-contract::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc,540,5,20
clarity-contract::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-assets,540,5,30
__MARF_BLOCK_HEIGHT_TO_HASH::6162074,540,5,20
__MARF_BLOCK_HEIGHT_TO_HASH::6162066,540,5,20
__MARF_BLOCK_HEIGHT_TO_HASH::6162063,540,5,20
__MARF_BLOCK_HEIGHT_TO_HASH::6162053,540,5,30
__MARF_BLOCK_HEIGHT_TO_HASH::132118,540,5,30
__MARF_BLOCK_HEIGHT_TO_HASH::7306058,425,5,35
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc::1::points-ir,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc::1::pause-states,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststxbtc::1::last-update,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::1::points-ir,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::1::pause-states,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::1::last-update,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc::1::points-ir,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc::1::pause-states,360,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc::1::last-update,360,5,15
clarity-contract::SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststxbtc-token-v2,360,5,20
clarity-contract::SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.ststx-token,360,5,20
clarity-contract::SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.curve-lp-token-v1_0_0_ststx-0001,360,5,20
clarity-contract::SP1Y5YSTAHZ88XYK1VPDH24GY0HPX5J4JECTMY4A1.ststx-aeusdc,360,5,20
clarity-contract::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.balances,360,5,20
__MARF_BLOCK_HEIGHT_TO_HASH::6816268,360,5,20
__MARF_BLOCK_HEIGHT_TO_HASH::243045,360,5,20
__MARF_BLOCK_HEIGHT_TO_HASH::1491293,360,5,20
__MARF_BLOCK_HEIGHT_TO_HASH::143599,360,5,20
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.math-v2-0,348,5,40
__MARF_BLOCK_HEIGHT_TO_HASH::343031,348,5,40
__MARF_BLOCK_HASH_TO_HEIGHT::386c7f2647e752420a6ad57720613736b216afde343e6e7b6c2f60f16d4aa3a3,300,5,20
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-reserve-data,261,5,30
__MARF_BLOCK_HEIGHT_TO_HASH::140093,261,5,30
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-ststx::3::zft,240,5,10
clarity-contract::SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR.stableswap-pool-stx-ststx-v-1-4,222,5,26
__MARF_BLOCK_HEIGHT_TO_HASH::1024298,222,5,26
clarity-contract::SM3VDXK3WZZSA84XXFKAFAF15NNZX32CTSG82JFQ4.sbtc-token,209,5,15
__MARF_BLOCK_HEIGHT_TO_HASH::328228,209,5,15
vm::SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-assets::1::bitmap,180,5,15
clarity-contract::SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.reserve-v1,180,5,10
clarity-contract::SP4SZE494VC2YC5JYG7AYFQ44F5Q4PYV7DVMDPBG.block-info-nakamoto-ststx-ratio-v2,180,5,10
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zststxbtc-v2-token,180,5,10
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zststx-token,180,5,10
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0,180,5,10
clarity-contract::SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-token,180,5,10
clarity-contract::SP2C2YFP12AJZB4MABJBAJ55XECVS7E4PMMZ89YZR.arkadiko-vaults-data-v1-1,180,5,10
clarity-contract::SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.curve-pool-v1_0_0_ststx-0001,180,5,10
clarity-contract::SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY.curve-farming-core-v1_1_1_ststx-0001,180,5,10
