issuer,contract,function,call_count,total_ms,avg_ms
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,592,520604.73,879.4
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,765,493538.67,645.149
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,158,145011.58,917.795
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v2_1_0,capture-snapshot-balances-optimizer,59,83449.53,1414.399
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,85,25954.0,305.341
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,buy-option,1898,19272.86,10.154
SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2,blocksurvey-proof-of-submission,proof-of-submission,2373,18227.86,7.681
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-1,swap-simple-multi,287,8145.18,28.38
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-a,39,6281.48,161.063
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-a,38,5392.35,141.904
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,batch-create-listings,20,5329.93,266.497
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-d,19,5179.65,272.613
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N,borrow-helper-v2-1-7,withdraw,15,4496.55,299.77
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-1,swap-y-for-x-simple-multi,59,4260.36,72.21
SPQC38PW542EQJ5M11CR25P7BS1CA6QT4TBXGB3M,stableswap-stx-ststx-v-1-2,swap-x-for-y,32,3998.55,124.955
SP2QEZ06AGJ3RKJPBV14SY1V5BBFNAW33D96YPGZF,BNS-V2,name-claim-fast,253,3675.63,14.528
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-swap-helper-v-1-3,swap-helper-a,70,3566.82,50.955
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-xyk-multihop-v-1-2,swap-helper-b,20,3514.28,175.714
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-1,withdraw-relative-liquidity-same-multi,32,3091.25,96.602
SP20X3DC5R091J8B6YPQT638J8NR1W83KN6TN5BJY,path-apply_staging,apply,71,2679.14,37.734
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,stableswap-swap-helper-v-1-5,swap-helper-b,12,2663.78,221.982
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,borrow,15,2651.44,176.763
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,quickpulse,dispatch-relay,324,2643.28,8.158
SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N,borrow-helper-v2-1-7,supply,20,2581.7,129.085
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-1,add-relative-liquidity-same-multi,58,2487.84,42.894
SPGDS0Y17973EN5TCHNHGJJ9B31XWQ5YX8A36C9B,bradley-coin-v2,mint,228,2318.37,10.168
SPGDS0Y17973EN5TCHNHGJJ9B31XWQ5YX8A36C9B,hermes-token,mint,244,2296.05,9.41
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,migration-stx-ststx-v-1-2,migrate,1,2289.2,2289.2
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,pulsewatch,emit-signal,551,2153.08,3.908
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-core-v-1-2,swap-y-for-x,106,2145.28,20.238
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-core-v-1-2,swap-x-for-y,94,2060.03,21.915
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,collateral-remove-redeem,21,2038.83,97.087
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-transfer,withdraw-deposit-all,3,2020.62,673.54
SPN6QHTXYKBNYNS6765BTECXRSPYKC7B0M5KADMW,tip-ledger,reward-tip,190,2002.41,10.539
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,shim,r2,3,1961.5,653.834
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,psis,ry,3,1880.6,626.866
SP1T53V1V82N9Q5HCMQBHMXT1ZVP2YRSDDTYYYY07,rankforge,post-tally,549,1842.07,3.355
SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7,v0-4-market,supply-collateral-add,22,1758.18,79.917
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,more,r1,4,1750.03,437.507
SP2H674PRTZV6YW56K0FMR7GDGZE4ZC5HMYZ3CDEV,ramp,rr,15,1669.46,111.298
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,router-stableswap-velar-v-1-5,swap-helper-a,11,1656.82,150.62
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,wrapper-velar-path-v-1-2,swap-univ2v2,40,1651.7,41.293
SP29VJHHXFPRQMW6W1VDE9NVR4AZ04V44H3T1X01Y,tip,tip,221,1420.36,6.427
SM1793C4R5PZ4NS4VQ4WMP7SKKYVH8JZEWSZ9HCCR,xyk-swap-helper-v-1-3,swap-helper-b,16,1381.9,86.369
