record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
28402040,28401544,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,1605.459,0.0,0.0
28402041,28402040,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1605.459,0.07,0.069
28402045,28402041,2,with_clarity_db_readonly_owned,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2041,,3,3,1.83,0.004,0.004
28402046,28402045,3,get_data,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:517,,6,6,1.772,0.001,0.002
28402047,28402046,4,get_data,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:388,,6,6,1.771,0.002,0.001
28402048,28402047,5,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,5,5,1.769,0.003,0.003
28402049,28402048,6,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,5,5,1.742,0.001,0.001
28402050,28402049,7,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,5,5,1.741,0.002,0.002
28402051,28402050,8,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,5,5,1.739,0.003,0.003
28402052,28402051,9,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,5,5,1.736,1.057,0.07
28402092,28402041,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1579.771,0.008,0.008
28402093,28402092,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0.capture-snapshot-balances-optimizer,1,1,1579.738,0.29,0.29
28402147,28402093,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-snapshot-balances-optimizer,1,1,1578.37,0.013,0.014
28402149,28402147,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1578.357,0.012,0.012
28402178,28402149,6,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,2,2,1.096,0.005,0.005
28402195,28402178,7,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,1,1,1.062,0.002,0.002
28402198,28402195,8,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,1,1,1.059,0.003,0.003
28402211,28402198,9,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,1.02,0.0,0.0
28402212,28402211,10,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,1.02,0.001,0.001
28402213,28402212,11,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1,1,1.018,0.0,0.0
28402214,28402213,12,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,1,1,1.011,0.001,0.0
28402215,28402214,13,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,1,1,1.01,0.0,0.001
28402216,28402215,14,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,1,1,1.01,0.001,0.0
28402217,28402216,15,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,1,1,1.009,0.003,0.004
28402218,28402217,16,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,3,3,1.006,0.001,0.001
28402219,28402218,17,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,3,3,1.005,1.005,0.051
