record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
28575632,28575474,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,1615.264,0.001,0.001
28575633,28575632,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1615.263,0.064,0.064
28575684,28575633,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1586.675,0.009,0.009
28575685,28575684,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0.capture-snapshot-balances-optimizer,1,1,1586.643,0.22,0.22
28575686,28575685,4,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,1,1,1.708,0.001,0.001
28575687,28575686,5,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,2,2,1.707,0.0,0.001
28575688,28575687,6,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,2,2,1.707,0.001,0.0
28575689,28575688,7,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,2,2,1.706,0.003,0.003
28575690,28575689,8,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,2,2,1.686,0.003,0.003
28575691,28575690,9,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,2,2,1.037,0.001,0.002
28575692,28575691,10,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,2,2,1.02,0.001,0.0
28575693,28575692,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,2,2,1.019,0.001,0.001
28575694,28575693,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,2,2,1.018,0.001,0.001
28575695,28575694,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,2,2,1.017,0.007,0.008
28575696,28575695,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,4,4,1.01,0.001,0.001
28575697,28575696,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,4,4,1.009,1.009,0.059
28575739,28575685,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-snapshot-balances-optimizer,1,1,1583.833,0.016,0.016
28575741,28575739,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1583.816,0.017,0.016
28575744,28575741,6,get-stacks-block-info?,clarity::builtin,clarity/src/vm/mod.rs:380,special_get_stacks_block_info,1,1,1.365,0.004,0.004
28575770,28575741,6,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,2,2,3.453,0.006,0.007
28575772,28575770,7,var-get,clarity::builtin,clarity/src/vm/mod.rs:380,special_var-get,1,1,1.202,0.002,0.001
28575773,28575772,8,lookup_variable_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1652,,1,1,1.2,0.001,0.002
28575774,28575773,9,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,1.199,0.001,0.0
28575775,28575774,10,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,1.198,0.001,0.001
28575776,28575775,11,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1,1,1.197,0.002,0.002
28575777,28575776,12,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,1,1,1.188,0.0,0.0
28575778,28575777,13,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,1,1,1.188,0.0,0.001
28575779,28575778,14,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,1,1,1.188,0.001,0.001
28575780,28575779,15,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,1,1,1.187,0.005,0.004
28575781,28575780,16,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,3,3,1.182,0.001,0.001
28575782,28575781,17,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,3,3,1.181,1.181,0.066
28575787,28575770,7,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,1,1,2.244,0.003,0.003
28575790,28575787,8,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,1,1,2.237,0.004,0.004
28575803,28575790,9,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,2.194,0.0,0.0
28575804,28575803,10,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,2.194,0.001,0.001
