key,name,value,c
clarity:costs:fn,String,cost_lookup_function,115836
clarity:costs:fn_input,String,cost_lookup_function(0),115836
clarity:costs:fn,String,cost_lookup_variable_depth,111207
clarity:costs:fn,String,cost_lookup_variable_size,111207
clarity:costs:fn_input,String,cost_lookup_variable_depth(1),87064
clarity:costs:fn_input,String,cost_lookup_variable_size(16),72809
clarity:costs:fn,String,cost_inner_type_check_cost,42811
clarity:costs:fn_input,String,cost_inner_type_check_cost(16),29405
clarity:costs:fn,String,cost_tuple_get,21870
clarity:costs:fn,String,cost_user_function_application,21331
clarity:costs:fn_input,String,cost_lookup_variable_depth(0),19587
clarity:costs:fn,String,cost_let,14082
clarity:costs:fn_input,String,cost_user_function_application(2),13924
clarity:costs:fn_input,String,cost_lookup_variable_size(1114),11634
clarity:costs:fn_input,String,cost_tuple_get(2),9388
clarity:costs:fn,String,cost_if,8314
clarity:costs:fn_input,String,cost_if(0),8314
clarity:costs:fn_input,String,cost_tuple_get(3),8114
clarity:costs:fn,String,cost_tuple_cons,7599
clarity:costs:fn,String,cost_pow,7378
clarity:costs:fn_input,String,cost_pow(2),7378
clarity:costs:fn_input,String,cost_lookup_variable_size(185),7344
clarity:costs:fn_input,String,cost_tuple_cons(2),6432
clarity:costs:fn_input,String,cost_let(2),5394
clarity:costs:fn,String,cost_mul,5293
clarity:costs:fn_input,String,cost_mul(2),5267
clarity:costs:fn,String,cost_div,5098
clarity:costs:fn_input,String,cost_div(2),5072
clarity:costs:fn_input,String,cost_lookup_variable_size(166),4968
clarity:costs:fn_input,String,cost_lookup_variable_depth(2),4556
clarity:costs:fn_input,String,cost_user_function_application(3),4174
clarity:costs:fn,String,cost_ge,4159
clarity:costs:fn_input,String,cost_ge(16),4159
clarity:costs:fn,String,cost_unwrap,3930
clarity:costs:fn_input,String,cost_unwrap(1),3930
clarity:costs:fn,String,cost_bitwise_and,3894
clarity:costs:fn_input,String,cost_bitwise_and(2),3894
clarity:costs:fn_input,String,cost_let(3),3800
clarity:costs:fn_input,String,cost_inner_type_check_cost(1114),3726
clarity:costs:fn_input,String,cost_tuple_get(4),3684
