record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
28642719,28642561,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,1610.986,0.001,0.001
28642720,28642719,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1610.985,0.071,0.071
28642771,28642720,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1581.51,0.011,0.011
28642772,28642771,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0.capture-snapshot-balances-optimizer,1,1,1581.477,0.25,0.249
28642794,28642772,4,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,1,1,1.032,0.013,0.013
28642826,28642772,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-snapshot-balances-optimizer,1,1,1579.991,0.017,0.017
28642828,28642826,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1579.973,0.013,0.014
28642857,28642828,6,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,2,2,1.162,0.006,0.006
28642874,28642857,7,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,1,1,1.117,0.004,0.004
28642877,28642874,8,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,1,1,1.112,0.003,0.003
28642890,28642877,9,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,1.072,0.0,0.0
28642891,28642890,10,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,1.072,0.001,0.001
28642892,28642891,11,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1,1,1.069,0.001,0.001
28642893,28642892,12,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,1,1,1.062,0.001,0.001
