record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
28450381,28449912,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,1688.226,0.001,0.0
28450382,28450381,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1688.225,0.068,0.068
28450433,28450382,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1657.153,0.009,0.009
28450434,28450433,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0.capture-snapshot-balances-optimizer,1,1,1657.121,0.302,0.303
28450435,28450434,4,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,1,1,1.581,0.001,0.0
28450436,28450435,5,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,2,2,1.58,0.001,0.001
28450437,28450436,6,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,2,2,1.579,0.0,0.001
28450438,28450437,7,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,2,2,1.579,0.002,0.001
28450439,28450438,8,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,2,2,1.567,0.002,0.002
28450456,28450434,4,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,1,1,1.031,0.012,0.012
28450488,28450434,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-snapshot-balances-optimizer,1,1,1654.207,0.014,0.014
28450490,28450488,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1654.193,0.014,0.013
28450493,28450490,6,get-stacks-block-info?,clarity::builtin,clarity/src/vm/mod.rs:380,special_get_stacks_block_info,1,1,1.687,0.004,0.004
28450495,28450493,7,var-get,clarity::builtin,clarity/src/vm/mod.rs:380,special_var-get,1,1,1.299,0.001,0.001
28450496,28450495,8,lookup_variable_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1652,,1,1,1.298,0.001,0.001
28450497,28450496,9,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,1.297,0.0,0.0
28450498,28450497,10,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,1.297,0.001,0.001
28450499,28450498,11,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1,1,1.296,0.001,0.001
28450500,28450499,12,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,1,1,1.288,0.0,0.0
28450501,28450500,13,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,1,1,1.288,0.0,0.0
28450502,28450501,14,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,1,1,1.288,0.001,0.001
28450503,28450502,15,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,1,1,1.287,0.59,0.028
28450519,28450490,6,asserts!,clarity::builtin,clarity/src/vm/mod.rs:380,special_asserts,2,2,2.818,0.005,0.006
28450521,28450519,7,var-get,clarity::builtin,clarity/src/vm/mod.rs:380,special_var-get,1,1,1.139,0.002,0.001
28450522,28450521,8,lookup_variable_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1652,,1,1,1.137,0.001,0.002
28450523,28450522,9,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,1.136,0.0,0.0
28450524,28450523,10,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,1.136,0.001,0.001
28450525,28450524,11,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1,1,1.135,0.001,0.001
28450526,28450525,12,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,1,1,1.127,0.0,0.0
28450527,28450526,13,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,1,1,1.127,0.001,0.001
28450528,28450527,14,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,1,1,1.126,0.0,0.0
28450529,28450528,15,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,1,1,1.126,0.004,0.004
28450530,28450529,16,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,2,2,1.122,0.001,0.001
28450531,28450530,17,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,2,2,1.121,1.121,0.046
28450536,28450519,7,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,1,1,1.673,0.003,0.003
28450539,28450536,8,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,1,1,1.669,0.004,0.003
28450552,28450539,9,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,1,1,1.621,0.0,0.0
28450553,28450552,10,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,1,1,1.621,0.001,0.002
28450554,28450553,11,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1,1,1.619,0.001,0.001
28450555,28450554,12,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,1,1,1.611,0.001,0.0
28450556,28450555,13,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,1,1,1.61,0.0,0.001
28450557,28450556,14,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,1,1,1.61,0.001,0.001
28450558,28450557,15,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,1,1,1.609,0.005,0.005
28450559,28450558,16,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,3,3,1.604,0.001,0.0
28450560,28450559,17,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,3,3,1.603,1.603,0.077
28450580,28450490,6,map,clarity::builtin,clarity/src/vm/mod.rs:380,special_map,1,1,1649.612,0.029,0.03
28450583,28450580,7,capture-participant-balances-optimizer,clarity::user::private,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-participant-balances-optimizer,12,12,1649.574,0.048,0.047
28450585,28450583,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,1649.519,0.306,0.306
28450590,28450585,9,var-get,clarity::builtin,clarity/src/vm/mod.rs:380,special_var-get,24,24,2.668,0.023,0.023
28450591,28450590,10,lookup_variable_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1652,,24,24,2.645,0.019,0.019
28450592,28450591,11,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,24,24,2.626,0.005,0.005
28450593,28450592,12,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,24,24,2.621,0.011,0.011
28450594,28450593,13,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,24,24,2.605,0.012,0.012
28450595,28450594,14,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,24,24,2.47,0.005,0.005
28450596,28450595,15,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,24,24,2.465,0.009,0.009
28450597,28450596,16,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,24,24,2.456,0.014,0.015
28450598,28450597,17,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,24,24,2.442,0.578,0.252
28450599,28450598,18,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,60,60,1.864,0.014,0.012
28450600,28450599,19,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,60,60,1.85,1.85,0.546
28450604,28450585,9,and,clarity::builtin,clarity/src/vm/mod.rs:380,special_and,72,72,2.411,0.102,0.102
28450612,28450604,10,is-defi-protocol-healthy,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:is-defi-protocol-healthy,12,12,2.08,0.004,0.004
28450613,28450612,11,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:is-defi-protocol-healthy,12,12,2.076,0.029,0.029
28450615,28450613,12,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,2.042,0.022,0.022
28450617,28450615,13,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,12,12,1.96,0.02,0.02
28450621,28450617,14,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,12,12,1.911,0.023,0.022
28450634,28450621,15,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,12,12,1.331,0.002,0.003
28450635,28450634,16,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,12,12,1.329,0.004,0.003
28450636,28450635,17,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,1.325,0.002,0.003
28450637,28450636,18,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,12,12,1.323,0.003,0.002
28450638,28450637,19,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,12,12,1.32,0.005,0.006
28450639,28450638,20,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,12,12,1.315,0.003,0.002
28450640,28450639,21,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,12,12,1.312,0.019,0.019
28450641,28450640,22,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,36,36,1.293,0.008,0.008
28450642,28450641,23,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,36,36,1.285,1.285,0.234
28450656,28450585,9,capture-participant-snapshot,clarity::user::private,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-participant-snapshot,12,12,1643.659,0.053,0.053
28450658,28450656,10,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,1643.601,0.268,0.267
28450660,28450658,11,var-get,clarity::builtin,clarity/src/vm/mod.rs:380,special_var-get,36,36,1.655,0.03,0.03
28450661,28450660,12,lookup_variable_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1652,,36,36,1.625,0.028,0.027
28450662,28450661,13,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,36,36,1.597,0.007,0.008
28450663,28450662,14,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,36,36,1.59,0.017,0.017
28450664,28450663,15,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,36,36,1.567,0.015,0.015
28450665,28450664,16,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,36,36,1.445,0.008,0.008
28450666,28450665,17,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,36,36,1.437,0.012,0.012
28450667,28450666,18,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,36,36,1.425,0.02,0.02
28450668,28450667,19,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,36,36,1.405,0.254,0.254
28450669,28450668,20,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,96,96,1.151,0.02,0.019
28450670,28450669,21,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,96,96,1.131,1.131,0.733
28450674,28450658,11,at-block,clarity::builtin,clarity/src/vm/mod.rs:380,special_at_block,36,36,544.667,0.049,0.05
28450689,28450674,12,evaluate_at_block,clarity::vm::contexts::ExecutionState,clarity/src/vm/contexts.rs:1318,,36,36,543.863,0.086,0.087
28450690,28450689,13,set_block_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:816,,72,72,5.001,0.041,0.04
28450691,28450690,14,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,36,36,3.099,0.014,0.015
28450692,28450691,15,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,36,36,3.085,0.021,0.02
28450693,28450692,16,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,36,36,3.064,0.124,0.125
28450694,28450693,17,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,108,108,2.94,0.025,0.024
28450695,28450694,18,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,108,108,2.915,2.915,0.772
28450696,28450690,14,get_block_at_height,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1362,,36,36,1.861,0.026,0.026
28450697,28450696,15,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,72,72,1.835,0.026,0.026
28450698,28450697,16,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,72,72,1.809,0.033,0.032
28450699,28450698,17,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,72,72,1.776,0.174,0.176
28450700,28450699,18,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,84,84,1.602,0.019,0.017
28450701,28450700,19,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,84,84,1.583,1.583,0.645
28450703,28450689,13,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,12,12,33.246,0.023,0.023
28450707,28450703,14,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,12,12,33.194,0.027,0.025
28450708,28450707,15,get_data,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:517,,12,12,5.838,0.003,0.003
28450709,28450708,16,get_data,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:388,,12,12,5.835,0.004,0.004
28450710,28450709,17,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,5.831,0.008,0.008
28450711,28450710,18,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,12,12,5.79,0.003,0.003
28450712,28450711,19,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,12,12,5.787,0.005,0.005
28450713,28450712,20,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,12,12,5.782,0.009,0.009
28450714,28450713,21,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,12,12,5.773,3.448,2.683
28450715,28450714,22,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,36,36,2.325,0.008,0.007
28450716,28450715,23,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,36,36,2.317,2.317,0.652
28450720,28450707,15,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,12,12,27.324,0.003,0.003
28450721,28450720,16,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,12,12,27.321,0.009,0.009
28450722,28450721,17,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,27.285,0.017,0.016
28450723,28450722,18,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,12,12,23.456,0.003,0.004
28450724,28450723,19,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,12,12,23.453,0.006,0.005
28450725,28450724,20,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,12,12,23.447,0.01,0.01
