record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
28725389,28724480,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,1627.729,0.001,0.0
28725390,28725389,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1627.728,0.067,0.066
28725441,28725390,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1598.348,0.008,0.008
28725442,28725441,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0.capture-snapshot-balances-optimizer,1,1,1598.316,0.257,0.257
28725496,28725442,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-snapshot-balances-optimizer,1,1,1597.129,0.013,0.014
28725498,28725496,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1597.116,0.013,0.012
28725501,28725498,6,get-stacks-block-info?,clarity::builtin,clarity/src/vm/mod.rs:380,special_get_stacks_block_info,1,1,1.355,0.003,0.003
28725588,28725498,6,map,clarity::builtin,clarity/src/vm/mod.rs:380,special_map,1,1,1595.295,0.027,0.027
28725591,28725588,7,capture-participant-balances-optimizer,clarity::user::private,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-participant-balances-optimizer,12,12,1595.263,0.043,0.042
28725593,28725591,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,1595.214,0.267,0.268
28725598,28725593,9,var-get,clarity::builtin,clarity/src/vm/mod.rs:380,special_var-get,24,24,2.87,0.019,0.02
28725599,28725598,10,lookup_variable_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1652,,24,24,2.851,0.018,0.017
28725600,28725599,11,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,24,24,2.833,0.005,0.005
28725601,28725600,12,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,24,24,2.828,0.011,0.011
28725602,28725601,13,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,24,24,2.813,0.011,0.011
28725603,28725602,14,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,24,24,2.693,0.005,0.005
28725604,28725603,15,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,24,24,2.688,0.009,0.008
28725605,28725604,16,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,24,24,2.679,0.015,0.015
28725606,28725605,17,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,24,24,2.664,0.572,0.239
28725607,28725606,18,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,60,60,2.092,0.013,0.012
28725608,28725607,19,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,60,60,2.079,2.079,0.818
28725612,28725593,9,and,clarity::builtin,clarity/src/vm/mod.rs:380,special_and,72,72,2.089,0.093,0.094
28725620,28725612,10,is-defi-protocol-healthy,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:is-defi-protocol-healthy,12,12,1.79,0.004,0.004
28725621,28725620,11,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:is-defi-protocol-healthy,12,12,1.786,0.026,0.027
28725623,28725621,12,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,1.755,0.022,0.022
28725625,28725623,13,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,12,12,1.68,0.017,0.016
28725629,28725625,14,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,12,12,1.638,0.021,0.021
28725642,28725629,15,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,12,12,1.158,0.003,0.003
28725643,28725642,16,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,12,12,1.155,0.003,0.003
28725644,28725643,17,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,1.152,0.002,0.003
28725645,28725644,18,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,12,12,1.15,0.003,0.002
28725646,28725645,19,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,12,12,1.147,0.005,0.006
