synthetic_block_id,stacks_block_height,stacks_block_hash,self_wall_ms,wall_ms,call_count,sample_count,avg_self_wall_us
9346,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,4457.745,15329.087,1299,1299,3431.6744
9364,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,3104.324,10624.439,1603,1603,1936.5714
9377,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,2386.753,8191.681,1619,1619,1474.2143
12179,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,1358.211,4645.485,1664,1664,816.2326
9056,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,1169.588,3979.258,2125,2125,550.3944
9381,7300330,807c641e736a16a04ec67d2ca422e4319bbc2f2f031b1078cb6cbd7be966f070,1110.245,3807.731,1231,1231,901.905
16241,7307190,213fc932befad7278fa3f9cbf2ce5b13c8ec31681912135e7b3ee178c36ce865,1079.974,3700.621,2723,2723,396.6118
13959,7304908,ba3d7126b79cc2a97877a5e14fa37f2a4af198b60164fa17bdc9e97308bbaf79,1035.809,3546.455,988,988,1048.3897
11663,7302612,e3ded0f695fa31c91dc5e31c226abb822a80d6fe911c1d8565823a2135253939,930.396,3184.579,836,836,1112.9139
21353,7312302,7d3145f5da74e6e4cb44210d440bf4e934a64a5113d0088d779ec098e9011659,624.965,2121.361,691,691,904.4356
21710,7312659,00514b4d96dc90b3455b0e13c0e3478821d5c5e14774268be5045deec8bde91e,577.668,1957.353,841,841,686.8823
16284,7307233,0f87375a592a6113b81d3d4549f9a51bd270391f7e54f3a5e408bd24abf3b688,522.116,1768.543,1620,1620,322.2938
20727,7311676,3791a801ed7e35ef286692eab091b2a25c4c396e9f39ec405c2e14463b641774,423.379,1438.477,1609,1609,263.1318
11700,7302649,8de0391eaa5a91dba43a82f61b098c0c99377886386220a75e15eee96583f367,413.025,1412.917,700,700,590.0357
12176,7303125,6a74b96ff94c9c5b1e4a8feb5226ce0ad00dc084024f1d7c2e1ac66efd4e2180,400.682,1356.935,475,475,843.5411
20209,7311158,19afaf5e508cddcab9c92e7bca084a5b81d70ac1e7b56e603c687ee6ea29f2b6,362.038,1226.478,915,915,395.6699
23740,7314689,e29b206a2ff82f598b7e47017067db9a064e9ff2c1a0f180115e8f92e6565235,337.44,1180.103,468,468,721.0256
14756,7305705,24ccab72b3995421a4586161eac900a146a7f7eeef40f7945d807c5830b665ec,310.621,1058.806,1033,1033,300.698
9120,7300069,e1ce93939359f74c18ca42245406de8c6be4d7d5c7a524180f35ba29d79b04e7,310.237,1063.653,220,220,1410.1682
21225,7312174,030d8ee40b523d47ff09735941c4d09f745e2874df76df5a36f32484470eff3c,308.29,1052.529,1612,1612,191.2469
