span_id,context,name,wall_ms,self_wall_ms,total_calls,distinct_blocks,pct_blocks,distinct_txs,pct_txs
13,blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,935426.91,932669.18,48440451,15000,100.0,30901,100.0
84,blockstack_lib::chainstate::stacks::index::storage::TrieRAM,calculate_node_hashes,1272836.45,381328.36,2132356,15000,100.0,0,0.0
16,clarity::vm::database::clarity_db::ClarityDatabase,fetch_metadata,657164.44,352025.16,3792413,15000,100.0,15513,50.2
60,clarity::vm::database::sqlite::SqliteConnection,put,297586.64,297586.64,1038880,15000,100.0,30901,100.0
10,blockstack_lib::chainstate::stacks::index::marf::MARF,walk,999944.13,151420.84,20524177,15000,100.0,30901,100.0
96,blockstack_lib::chainstate::stacks::index::file::TrieFile,append_trie_blob,129163.99,129136.38,30000,15000,100.0,0,0.0
93,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,commit_to,198695.87,92728.18,15000,15000,100.0,0,0.0
62,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_hash,49185.11,49185.11,973529,15000,100.0,556,1.8
14,clarity::vm::database::sqlite::SqliteConnection,get,42445.87,42445.87,11256501,15000,100.0,30901,100.0
110,clarity::vm,lookup_variable,36918.12,36918.12,47062823,8110,54.1,14801,47.9
105,clarity::dispatch,execute-contract,3079077.99,35194.96,839689,8416,56.1,15492,50.1
102,blockstack_lib::chainstate::nakamoto::NakamotoChainState,advance_tip,426161.51,26944.23,15000,15000,100.0,0,0.0
22,clarity::vm::database::sqlite::SqliteConnection,get_metadata,25393.26,25393.26,3792731,15000,100.0,15504,50.2
24,clarity::vm,lookup_function,22840.77,22840.77,52253962,15000,100.0,15505,50.2
136,clarity::builtin,let,4296076.98,22203.42,2578820,6130,40.9,11214,36.3
1,stacks_bench::replay,Segment,2865003.75,22056.96,15000,15000,100.0,0,0.0
121,clarity::builtin,contract-call?,2082237.06,18163.89,824198,5491,36.6,8746,28.3
99,blockstack_lib::chainstate::stacks::index::trie_sql,inner_write_external_trie_blob,16482.36,16482.36,30000,15000,100.0,0,0.0
9,blockstack_lib::chainstate::stacks::index::marf::MARF,get_path,1016379.47,15649.74,20524177,15000,100.0,30901,100.0
27,"clarity_types::types::serialization::<impl clarity_types::types::Value>",serialize_write,29676.27,14379.95,72790720,15000,100.0,15617,50.5
11,blockstack_lib::chainstate::stacks::index::trie_sql,get_external_trie_offset_length,12026.07,12026.07,887133,15000,100.0,6729,21.8
12,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,946592.38,11165.47,48440451,15000,100.0,30901,100.0
23,clarity::vm::callables::DefinedFunction,canonicalize_types,11109.8,11109.8,70010062,15000,100.0,15492,50.1
15,clarity::vm::database::clarity_db::ClarityDatabase,get_contract,613176.14,8343.87,2038919,15000,100.0,15513,50.2
8,blockstack_lib::chainstate::stacks::index::marf::MARF,get_by_key,1024243.73,7833.39,20524177,15000,100.0,30901,100.0
114,clarity::builtin,get,96329.94,6922.53,9616884,5897,39.3,9780,31.6
85,blockstack_lib::chainstate::stacks::index::trie::Trie,inner_get_trie_ancestor_hashes_bytes,393945.45,5900.83,30000,15000,100.0,0,0.0
30,"clarity_types::types::serialization::<impl clarity_types::types::Value>",deserialize_read_count,5891.35,5891.35,2478299,15000,100.0,14113,45.7
33,blockstack_lib::chainstate::nakamoto::NakamotoChainState,inner_setup_block,89234.94,5810.96,15000,15000,100.0,0,0.0
63,blockstack_lib::chainstate::stacks::index::trie_sql,read_node_type,5688.68,5688.68,159030,15000,100.0,2,0.0
49,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_data,531004.89,5517.7,11318323,15000,100.0,30901,100.0
115,clarity::builtin,tuple,63139.99,5493.53,2439553,7563,50.4,13618,44.1
182,clarity::builtin,contract-of,96838.28,5251.58,429856,2842,18.9,3455,11.2
37,blockstack_lib::chainstate::stacks::index::marf::MARF,extend_trie,4641.12,3974.27,1341986,15000,100.0,30901,100.0
53,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_contract_hash,267131.59,3834.63,3777950,15000,100.0,15513,50.2
52,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_metadata,295927.04,3575.25,3777950,15000,100.0,15513,50.2
21,blockstack_lib::chainstate::stacks::index::marf::MARF,get_block_at_height,520035.41,3006.56,4508435,15000,100.0,15504,50.2
138,clarity::builtin,if,1101026.42,3004.24,2105982,3923,26.2,5218,16.9
29,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_value,184368.74,2979.66,2592785,15000,100.0,14228,46.0
175,clarity::dispatch,begin-read-only-tx,641173.33,2922.84,1002211,3914,26.1,6324,20.5
107,clarity::dispatch,begin-public-tx,2743702.66,2862.66,515621,8416,56.1,15492,50.1
46,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_cow,104695.02,2801.04,1311986,15000,100.0,30901,100.0
87,blockstack_lib::chainstate::stacks::index::file::TrieFile,get_node_hash_bytes,2748.73,2746.63,690000,15000,100.0,0,0.0
48,blockstack_lib::clarity_vm::clarity::ClarityInstance,get_epoch_of,2734.55,2734.55,15000,15000,100.0,0,0.0
45,blockstack_lib::chainstate::stacks::index::marf::MARF,do_insert_leaf,107383.12,2688.1,1311986,15000,100.0,30901,100.0
108,clarity::builtin,asserts!,80329.3,2674.23,2233900,7513,50.1,12588,40.7
7,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,get,507010.35,2622.17,11454892,15000,100.0,30901,100.0
38,blockstack_lib::chainstate::stacks::index::trie_sql,count_blocks,2579.44,2579.44,1341986,15000,100.0,30901,100.0
104,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,commit,43659.53,2316.98,15000,15000,100.0,0,0.0
68,clarity::vm::database::clarity_db::ClarityDatabase,get_current_burnchain_block_height,6511.16,2256.2,116068,15000,100.0,30901,100.0
31,blockstack_lib::chainstate::stacks::index::trie_sql,get_block_identifier,2145.6,2145.6,223423,15000,100.0,15,0.0
158,clarity::builtin,*,1999.2,1999.2,5283805,4088,27.3,5498,17.8
80,clarity::vm::database::clarity_db::ClarityDatabase,put_value_with_size,8919.85,1809.61,628834,15000,100.0,13238,42.8
5,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_data,225517.25,1808.74,5838744,15000,100.0,30901,100.0
111,clarity::builtin,is-eq,2148.95,1615.93,2406288,6693,44.6,10995,35.6
61,blockstack_lib::chainstate::stacks::index::trie_sql,read_node_type_nohash,1581.67,1581.67,282011,15000,100.0,13,0.0
66,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,try_mine_tx_with_len,1567846.17,1579.54,30901,15000,100.0,30901,100.0
4,clarity::vm::database::clarity_db::ClarityDatabase,get_data,226889.39,1372.14,5838744,15000,100.0,30901,100.0
131,clarity::builtin,+,1334.68,1334.68,3305404,7590,50.6,13366,43.3
26,clarity::vm::database::clarity_db::ClarityDatabase,fetch_entry_with_size,109605.53,1316.21,851815,15000,100.0,11030,35.7
197,clarity::builtin,fold,1080488.17,1274.73,46539,2509,16.7,2970,9.6
