record_id,parent_record_id,depth,span,context,location,tag,tx_hash,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
18775066,,0,Segment,stacks_bench::replay,stacks-bench/src/replay.rs:358,,"",1,1,6811.496,1.499,1.499
18775147,18775066,1,inner_setup_block,blockstack_lib::chainstate::nakamoto::NakamotoChainState,stackslib/src/chainstate/nakamoto/mod.rs:4112,,"",1,1,7.393,0.681,0.423
18775148,18775147,2,begin_block,blockstack_lib::clarity_vm::clarity::ClarityInstance,stackslib/src/clarity_vm/clarity.rs:416,,"",1,1,5.392,0.038,0.038
18775162,18775148,3,insert_batch,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,stackslib/src/chainstate/stacks/index/marf.rs:584,,"",1,1,4.061,0.002,0.002
18775163,18775162,4,insert_leaf_in_batch,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1206,,"",5,5,4.05,0.002,0.002
18775164,18775163,5,do_insert_leaf,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1160,,"",5,5,4.048,0.017,0.017
18775165,18775164,6,walk_cow,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:895,,"",5,5,4.031,0.018,0.018
18775168,18775165,7,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,"",18,18,3.989,0.004,0.004
18775169,18775168,8,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,"",18,18,3.985,3.697,0.36
18775318,18775066,1,"Segment: Tx Execution",stacks_bench::replay,stacks-bench/src/replay.rs:632,,"",1,1,1524.515,0.605,0.606
18775322,18775318,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,77.912,0.001,0.001
18775323,18775322,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,77.911,0.055,0.054
18775373,18775323,4,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,58.229,0.012,0.011
