record_id,parent_record_id,depth,span,context,location,tag,tx_hash,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
18796201,,0,Segment,stacks_bench::replay,stacks-bench/src/replay.rs:358,,"",1,1,5672.949,1.505,1.504
18796283,18796201,1,inner_setup_block,blockstack_lib::chainstate::nakamoto::NakamotoChainState,stackslib/src/chainstate/nakamoto/mod.rs:4112,,"",1,1,6.112,0.307,0.307
18796284,18796283,2,begin_block,blockstack_lib::clarity_vm::clarity::ClarityInstance,stackslib/src/clarity_vm/clarity.rs:416,,"",1,1,4.614,0.03,0.032
18796298,18796284,3,insert_batch,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,stackslib/src/chainstate/stacks/index/marf.rs:584,,"",1,1,3.888,0.002,0.002
18796299,18796298,4,insert_leaf_in_batch,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1206,,"",5,5,3.877,0.002,0.002
18796300,18796299,5,do_insert_leaf,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1160,,"",5,5,3.875,0.014,0.013
18796301,18796300,6,walk_cow,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:895,,"",5,5,3.861,0.014,0.014
18796304,18796301,7,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,"",18,18,3.834,0.004,0.004
18796305,18796304,8,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,"",18,18,3.83,3.552,0.271
18796306,18796305,9,get_external_trie_offset_length,blockstack_lib::chainstate::stacks::index::trie_sql,stackslib/src/chainstate/stacks/index/trie_sql.rs:538,,"",8,1,2.224,2.224,0.017
18796453,18796201,1,"Segment: Tx Execution",stacks_bench::replay,stacks-bench/src/replay.rs:632,,"",1,1,1899.784,0.681,0.681
18796457,18796453,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,83acc6ae806bfa3819f87ad64c68ab092d6ab40399ba832e481776b2b62ee30d,1,1,1895.676,0.002,0.002
18796458,18796457,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,83acc6ae806bfa3819f87ad64c68ab092d6ab40399ba832e481776b2b62ee30d,1,1,1895.674,0.626,0.625
18796509,18796458,4,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,83acc6ae806bfa3819f87ad64c68ab092d6ab40399ba832e481776b2b62ee30d,1,1,1310.261,0.071,0.071
18796510,18796509,5,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.add-liquidity-multi,83acc6ae806bfa3819f87ad64c68ab092d6ab40399ba832e481776b2b62ee30d,1,1,1309.816,0.63,0.631
18796564,18796510,6,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:add-liquidity-multi,83acc6ae806bfa3819f87ad64c68ab092d6ab40399ba832e481776b2b62ee30d,1,1,1308.465,0.142,0.141
