record_id,parent_record_id,depth,span,context,location,tag,tx_hash,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
23111304,,0,Segment,stacks_bench::replay,stacks-bench/src/replay.rs:358,,"",1,1,2902.955,1.564,1.566
23111313,23111304,1,eval_read_only,blockstack_lib::clarity_vm::clarity::ClarityInstance,stackslib/src/clarity_vm/clarity.rs:790,,"",1,1,5.723,0.026,0.026
23111324,23111313,2,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,"",1,1,4.315,0.003,0.002
23111325,23111324,3,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,"",1,1,4.246,0.047,0.047
23111326,23111325,4,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,"",1,1,4.199,0.0,0.001
23111327,23111326,5,get_metadata,blockstack_lib::clarity_vm::database::marf::ReadOnlyMarfStore,stackslib/src/clarity_vm/database/marf.rs:787,,"",1,1,4.199,0.002,0.002
23111328,23111327,6,get_contract_hash,blockstack_lib::clarity_vm::database::marf::ReadOnlyMarfStore,stackslib/src/clarity_vm/database/marf.rs:769,,"",1,1,4.181,0.003,0.003
23111337,23111328,7,get_block_at_height,blockstack_lib::clarity_vm::database::marf::ReadOnlyMarfStore,stackslib/src/clarity_vm/database/marf.rs:614,,"",1,1,3.008,0.001,0.0
23111338,23111337,8,get_block_at_height,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1362,,"",1,1,3.007,0.001,0.001
23111339,23111338,9,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,"",2,2,3.006,0.001,0.001
23111340,23111339,10,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,"",2,2,3.005,0.001,0.001
23111341,23111340,11,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,"",2,2,3.004,1.489,0.142
23111392,23111304,1,inner_setup_block,blockstack_lib::chainstate::nakamoto::NakamotoChainState,stackslib/src/chainstate/nakamoto/mod.rs:4112,,"",1,1,15.004,0.386,0.387
23111393,23111392,2,begin_block,blockstack_lib::clarity_vm::clarity::ClarityInstance,stackslib/src/clarity_vm/clarity.rs:416,,"",1,1,12.216,0.03,0.03
23111407,23111393,3,insert_batch,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,stackslib/src/chainstate/stacks/index/marf.rs:584,,"",1,1,3.556,0.002,0.002
23111408,23111407,4,insert_leaf_in_batch,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1206,,"",5,5,3.547,0.001,0.001
23111409,23111408,5,do_insert_leaf,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1160,,"",5,5,3.546,0.017,0.017
23111410,23111409,6,walk_cow,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:895,,"",5,5,3.529,0.017,0.017
23111413,23111410,7,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,"",18,18,3.49,0.005,0.004
23111414,23111413,8,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,"",18,18,3.485,3.485,0.264
23111441,23111393,3,lookup_variable_unknown_descriptor,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1617,,"",1,1,4.035,0.002,0.001
23111442,23111441,4,load_variable,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1551,,"",1,1,2.429,0.0,0.001
23111443,23111442,5,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,"",1,1,2.429,0.002,0.001
23111444,23111443,6,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,"",1,1,2.427,0.0,0.001
23111445,23111444,7,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,"",1,1,2.427,0.002,0.002
23111446,23111445,8,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,"",1,1,2.416,0.003,0.002
23111447,23111446,9,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,"",1,1,2.374,0.001,0.001
23111448,23111447,10,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,"",1,1,2.362,0.0,0.001
23111449,23111448,11,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,"",1,1,2.362,0.001,0.0
23111450,23111449,12,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,"",1,1,2.361,0.001,0.001
23111451,23111450,13,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,"",1,1,2.36,0.002,0.003
23111452,23111451,14,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,"",4,4,2.358,0.001,0.001
23111453,23111452,15,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,"",4,4,2.357,2.357,0.084
23111475,23111393,3,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,"",1,1,2.646,0.015,0.014
23111476,23111475,4,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,"",1,1,2.589,0.237,0.238
23111477,23111476,5,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,"",1,1,2.352,0.001,0.001
23111478,23111477,6,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,"",1,1,2.351,0.003,0.003
23111479,23111478,7,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,"",1,1,2.325,0.002,0.001
23111563,23111304,1,"Segment: Tx Execution",stacks_bench::replay,stacks-bench/src/replay.rs:632,,"",1,1,1137.888,0.074,0.073
23111631,23111563,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,6bbef89f83d850ea5f8ccfd5b19ab9fa7d214e2e0fe3a2889e1a1b5018894805,1,1,58.082,0.0,0.0
23111632,23111631,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,6bbef89f83d850ea5f8ccfd5b19ab9fa7d214e2e0fe3a2889e1a1b5018894805,1,1,58.082,0.041,0.04
