record_id,parent_record_id,depth,span,context,location,tag,tx_hash,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
18808840,,0,Segment,stacks_bench::replay,stacks-bench/src/replay.rs:358,,"",1,1,4743.635,1.404,1.407
18808929,18808840,1,inner_setup_block,blockstack_lib::chainstate::nakamoto::NakamotoChainState,stackslib/src/chainstate/nakamoto/mod.rs:4112,,"",1,1,8.258,0.317,0.317
18808930,18808929,2,begin_block,blockstack_lib::clarity_vm::clarity::ClarityInstance,stackslib/src/clarity_vm/clarity.rs:416,,"",1,1,6.817,0.031,0.031
18808944,18808930,3,insert_batch,blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,stackslib/src/chainstate/stacks/index/marf.rs:584,,"",1,1,5.806,0.002,0.003
18808945,18808944,4,insert_leaf_in_batch,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1206,,"",5,5,5.794,0.002,0.001
18808946,18808945,5,do_insert_leaf,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1160,,"",5,5,5.792,0.013,0.013
18808947,18808946,6,walk_cow,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:895,,"",5,5,5.779,0.015,0.016
18808950,18808947,7,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,"",18,18,5.749,0.005,0.004
18808951,18808950,8,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,"",18,18,5.744,5.742,0.384
18809100,18808840,1,"Segment: Tx Execution",stacks_bench::replay,stacks-bench/src/replay.rs:632,,"",1,1,1827.641,0.679,0.68
18809168,18809100,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,1,1,1821.185,0.001,0.001
18809169,18809168,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,1,1,1821.184,0.616,0.616
18809220,18809169,4,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,1,1,1288.599,0.072,0.072
18809221,18809220,5,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.add-liquidity-multi,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,1,1,1288.196,0.582,0.583
18809222,18809221,6,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,1,1,3.505,0.001,0.001
18809223,18809222,7,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,2,2,3.504,0.0,0.0
18809224,18809223,8,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,2,2,3.504,0.001,0.001
18809225,18809224,9,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,2,2,3.503,0.003,0.003
18809226,18809225,10,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,2,2,3.486,0.002,0.002
18809275,18809221,6,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:add-liquidity-multi,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,1,1,1283.755,0.141,0.141
18809277,18809275,7,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,1,1,1283.613,0.01,0.01
