context,name,baseline_self_wall_us,candidate_self_wall_us,self_wall_delta_us,self_wall_improvement_pct,baseline_total_wall_us,candidate_total_wall_us,total_wall_delta_us,total_wall_improvement_pct,baseline_calls,candidate_calls,call_delta
clarity::vm::database::clarity_db::ClarityDatabase,fetch_metadata,18519624,18289987,-229637,1.24,30721880,30200078,-521802,1.698,189750,189750,0
clarity::vm::database::sqlite::SqliteConnection,get_metadata,1191911,1029277,-162634,13.645,1191911,1029277,-162634,13.645,189750,189750,0
clarity::dispatch,execute-contract,1785699,1667299,-118400,6.63,130464044,127865233,-2598811,1.992,41090,41090,0
clarity::vm::database::sqlite::SqliteConnection,get,2163486,2055683,-107803,4.983,2163486,2055683,-107803,4.983,556570,556570,0
blockstack_lib::chainstate::stacks::index::storage::TrieRAM,calculate_node_hashes,1927177,1827456,-99721,5.174,5936738,1961064,-3975674,66.967,83094,100,-82994
clarity::vm::database::sqlite::SqliteConnection,put,3213569,3124835,-88734,2.761,3213569,3124835,-88734,2.761,72790,72790,0
blockstack_lib::chainstate::nakamoto::NakamotoChainState,advance_tip,130108,102131,-27977,21.503,393059,406946,13887,-3.533,50,50,0
clarity::vm,lookup_variable,1139382,1115302,-24080,2.113,1139382,1115302,-24080,2.113,1361030,1361030,0
clarity::vm,lookup_function,785140,761656,-23484,2.991,785140,761656,-23484,2.991,1732410,1732410,0
blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,16592889,16569737,-23152,0.14,16596030,16572974,-23056,0.139,2278946,2278946,0
"clarity_types::types::serialization::<impl clarity_types::types::Value>",serialize_write,883349,863955,-19394,2.196,1730118,1693770,-36348,2.101,4390650,4390650,0
clarity::builtin,contract-call?,979530,961006,-18524,1.891,89734923,87987913,-1747010,1.947,40940,40940,0
blockstack_lib::chainstate::stacks::index::marf::MARF,walk,2824274,2808625,-15649,0.554,18829177,18704414,-124763,0.663,941520,941520,0
blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,524235,508866,-15369,2.932,17120265,17081840,-38425,0.224,2278946,2278946,0
clarity::builtin,let,546377,532470,-13907,2.545,164621868,161283068,-3338800,2.028,58840,58840,0
clarity::builtin,tuple,261719,247871,-13848,5.291,1695594,1651298,-44296,2.612,120590,120590,0
clarity::vm::callables::DefinedFunction,canonicalize_types,572171,562201,-9970,1.742,572171,562201,-9970,1.742,3561290,3561290,0
blockstack_lib::chainstate::stacks::index::file::TrieFile,append_trie_blob,300879,292690,-8189,2.722,301085,292863,-8222,2.731,100,100,0
clarity::vm::database::clarity_db::ClarityDatabase,get_contract,418036,410036,-8000,1.914,29557616,29057947,-499669,1.69,104290,104290,0
clarity::builtin,get,204136,197216,-6920,3.39,1083048,1062990,-20058,1.852,264240,264240,0
clarity::vm::database::clarity_db::ClarityDatabase,put_value_with_size,116771,110216,-6555,5.614,517435,503573,-13862,2.679,47220,47220,0
blockstack_lib::chainstate::stacks::index::trie::Trie,inner_get_trie_ancestor_hashes_bytes,41689,47597,5908,-14.172,237406,319071,81665,-34.399,100,100,0
blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_contract_hash,181795,175897,-5898,3.244,10764170,10632391,-131779,1.224,189700,189700,0
blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_data,247627,241834,-5793,2.339,17208927,16934555,-274372,1.594,556660,556660,0
blockstack_lib::chainstate::stacks::index::file::TrieFile,get_node_hash_bytes,22935,28695,5760,-25.114,22949,28716,5767,-25.13,2300,2300,0
blockstack_lib::chainstate::stacks::index::trie_sql,inner_write_external_trie_blob,58985,53388,-5597,9.489,58985,53388,-5597,9.489,100,100,0
blockstack_lib::chainstate::stacks::index::storage::TrieStorageConnection,read_node_hash_bytes,-20637,-25882,-5245,-25.416,2312,2834,522,-22.578,2300,2300,0
blockstack_lib::chainstate::stacks::index::trie_sql,get_block_hash,138910,134065,-4845,3.488,138910,134065,-4845,3.488,36980,37401,421
clarity::vm::database::clarity_db::ClarityDatabase,get_current_burnchain_block_height,41209,36767,-4442,10.779,92757,88781,-3976,4.286,1860,1860,0
"clarity_types::types::serialization::<impl clarity_types::types::Value>",deserialize_read_count,292950,297113,4163,-1.421,292950,297113,4163,-1.421,110900,110900,0
clarity::dispatch,begin-public-tx,135315,131318,-3997,2.954,107608996,105471856,-2137140,1.986,28550,28550,0
stacks_bench::replay,Segment,80049,76055,-3994,4.989,63079105,61914779,-1164326,1.846,50,50,0
clarity::builtin,fold,27406,23461,-3945,14.395,52093524,50998109,-1095415,2.103,130,130,0
clarity::builtin,contract-of,266225,262341,-3884,1.459,4501512,4424322,-77190,1.715,22120,22120,0
blockstack_lib::chainstate::stacks::index::marf::MarfConnection,get,124562,120740,-3822,3.068,14862338,14705389,-156949,1.056,557110,557110,0
clarity::builtin,asserts!,138636,135036,-3600,2.597,3106629,3045429,-61200,1.97,128150,128150,0
clarity::vm::database::key_value_wrapper::RollbackWrapper,get_value,138796,135491,-3305,2.381,4043644,3954856,-88788,2.196,111180,111180,0
blockstack_lib::chainstate::stacks::index::marf::MarfTransaction,commit_to,2482982,2479993,-2989,0.12,2742314,2731351,-10963,0.4,50,50,0
clarity::vm::database::clarity_db::ClarityDatabase,fetch_entry_with_size,66208,63407,-2801,4.231,3485104,3397044,-88060,2.527,47710,47710,0
clarity::vm::database::key_value_wrapper::RollbackWrapper,get_data,92665,90195,-2470,2.666,7968390,7853537,-114853,1.441,313400,313400,0
