synthetic_block_id,height,block_hash_hex,baseline_commit_us,candidate_commit_us,commit_delta_us,commit_improvement_pct,baseline_execution_us,candidate_execution_us,execution_delta_us,execution_improvement_pct,baseline_total_us,candidate_total_us,total_delta_us,total_improvement_pct
9377,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,355035,304035,-51000,14.365,1912608,1701017,-211591,11.063,2279770,2015960,-263810,11.572
24271,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,107964,150254,42290,-39.17,1756093,1734983,-21110,1.202,1868708,1890321,21613,-1.157
9364,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,396212,423093,26881,-6.784,1946923,1963026,16103,-0.827,2357378,2400937,43559,-1.848
24274,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,115038,129699,14661,-12.744,1750532,1733102,-17430,0.996,1870339,1869243,-1096,0.059
12179,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,381035,395125,14090,-3.698,1276682,1372743,96061,-7.524,1677254,1787366,110112,-6.565
24270,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,107215,116787,9572,-8.928,1752007,1704719,-47288,2.699,1864407,1826780,-37627,2.018
24232,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,71264,62763,-8501,11.929,1076339,1059615,-16724,1.554,1152782,1127161,-25621,2.223
24273,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,112350,104371,-7979,7.102,1757199,1718783,-38416,2.186,1874432,1827904,-46528,2.482
24244,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,88526,80814,-7712,8.712,1122266,1093328,-28938,2.579,1215150,1178697,-36453,3.0
24240,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,92194,84842,-7352,7.974,1106460,1092733,-13727,1.241,1203262,1181946,-21316,1.772
24239,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,94754,87925,-6829,7.207,1120059,1088098,-31961,2.854,1235061,1181390,-53671,4.346
24267,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,114011,107429,-6582,5.773,1743056,1706859,-36197,2.077,1861809,1818965,-42844,2.301
24246,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,90071,84480,-5591,6.207,1119020,1083800,-35220,3.147,1213666,1173146,-40520,3.339
24247,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,90964,85667,-5297,5.823,1122977,1095113,-27864,2.481,1218981,1185672,-33309,2.733
24231,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,66610,62266,-4344,6.522,1081642,1062811,-18831,1.741,1153260,1130037,-23223,2.014
24254,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,91715,87604,-4111,4.482,1175223,1148564,-26659,2.268,1272100,1240776,-31324,2.462
24249,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,87613,83656,-3957,4.516,1173298,1146158,-27140,2.313,1265322,1234527,-30795,2.434
24257,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,36006,32059,-3947,10.962,176819,170893,-5926,3.351,216790,206769,-10021,4.622
24242,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,85062,89001,3939,-4.631,1111203,1101514,-9689,0.872,1200940,1194878,-6062,0.505
24253,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,88540,84692,-3848,4.346,1167768,1147354,-20414,1.748,1261788,1236931,-24857,1.97
24248,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,87734,84149,-3585,4.086,1176505,1149645,-26860,2.283,1269265,1237834,-31431,2.476
24272,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,109883,106339,-3544,3.225,1745213,1731218,-13995,0.802,1860048,1854967,-5081,0.273
24251,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,89588,86057,-3531,3.941,1196319,1145929,-50390,4.212,1290339,1236540,-53799,4.169
24250,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,87806,84299,-3507,3.994,1176995,1152076,-24919,2.117,1268942,1240143,-28799,2.27
24265,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,35884,32447,-3437,9.578,176591,164536,-12055,6.827,217114,201513,-15601,7.186
24269,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,114788,111357,-3431,2.989,1762301,1712325,-49976,2.836,1882162,1831734,-50428,2.679
24245,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,86070,89455,3385,-3.933,1111539,1093914,-17625,1.586,1203162,1188246,-14916,1.24
24252,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,88135,84765,-3370,3.824,1168484,1152128,-16356,1.4,1260754,1240926,-19828,1.573
24236,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,64502,61412,-3090,4.791,1092821,1064834,-27987,2.561,1162751,1131989,-30762,2.646
24264,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,37033,34153,-2880,7.777,171684,165129,-6555,3.818,213937,204273,-9664,4.517
24241,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,87919,85562,-2357,2.681,1119529,1095821,-23708,2.118,1211988,1186322,-25666,2.118
9346,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,323197,325439,2242,-0.694,1700211,1721059,20848,-1.226,2054084,2076221,22137,-1.078
24258,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,35856,33683,-2173,6.06,171941,168071,-3870,2.251,211953,206292,-5661,2.671
24260,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,35175,33257,-1918,5.453,169787,163551,-6236,3.673,209983,201633,-8350,3.977
24268,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,116892,115031,-1861,1.592,1746338,1723844,-22494,1.288,1869046,1844207,-24839,1.329
24256,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,94183,92512,-1671,1.774,1170944,1149048,-21896,1.87,1269661,1245756,-23905,1.883
24262,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,34583,33083,-1500,4.337,174129,164597,-9532,5.474,213143,202133,-11010,5.166
24266,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,111221,109749,-1472,1.323,1746933,1707809,-39124,2.24,1864584,1833881,-30703,1.647
24230,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,65862,64678,-1184,1.798,1078082,1070735,-7347,0.681,1148988,1144734,-4254,0.37
24261,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,34891,33734,-1157,3.316,172709,163865,-8844,5.121,213062,202485,-10577,4.964
24237,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,61880,62974,1094,-1.768,1082598,1063415,-19183,1.772,1149176,1131200,-17976,1.564
24243,7300313,35c1c0ee7fe2def3b6f3f8cebd733439ae71950d267185888467b629e4fd0bdb,86860,85830,-1030,1.186,1118495,1091238,-27257,2.437,1214006,1181823,-32183,2.651
24234,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,64247,65176,929,-1.446,1086004,1063533,-22471,2.069,1155295,1133456,-21839,1.89
24263,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,34853,33964,-889,2.551,169735,164960,-4775,2.813,209197,203369,-5828,2.786
24233,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,62563,63449,886,-1.416,1086335,1063819,-22516,2.073,1153864,1131836,-22028,1.909
24255,7300326,9407bf9e1bbe701776f97ffcdf9f2d36f5f786d03b78c61d0af832a9d556e722,90427,91276,849,-0.939,1182905,1147755,-35150,2.971,1278383,1243992,-34391,2.69
24235,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,62651,61882,-769,1.227,1083707,1085725,2018,-0.186,1152524,1152840,316,-0.027
24259,7303128,615df05829a3d8184b3001020c2b9a969277d9a40c8556c167d150a2554e942c,34927,35528,601,-1.721,168558,165155,-3403,2.019,208074,205610,-2464,1.184
9056,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,462641,462296,-345,0.075,2743940,2678878,-65062,2.371,3239359,3174408,-64951,2.005
24238,7300295,06f1987a4a34a5f1ab301b9291700ffd6edfd9b555b357c30446c62621a8b547,67267,66991,-276,0.41,1087335,1061134,-26201,2.41,1159273,1133393,-25880,2.232
