context,name,baseline_records,candidate_records,baseline_calls,candidate_calls,call_delta,baseline_total_wall_us,candidate_total_wall_us,total_wall_delta_us,total_wall_improvement_pct,baseline_self_wall_us,candidate_self_wall_us,self_wall_delta_us,self_wall_improvement_pct
clarity::builtin,at-block,400,400,7200,7200,0,124085229.0,88330114.0,-35755115.0,28.815,12631.0,9873.0,-2758.0,21.835
clarity::vm::contexts::ExecutionState,evaluate_at_block,400,400,7200,7200,0,123898002.0,88190296.0,-35707706.0,28.82,17281.0,13691.0,-3590.0,20.774
blockstack_lib::chainstate::stacks::index::marf::MARF,get_by_key,44720,37040,1044980,706720,-338260,75111246.0,46818590.0,-28292656.0,37.668,416093.0,265690.0,-150403.0,36.146
blockstack_lib::chainstate::stacks::index::marf::MARF,get_path,44720,37040,1044980,706720,-338260,74695153.0,46552900.0,-28142253.0,37.676,629496.0,386654.0,-242842.0,38.577
blockstack_lib::chainstate::stacks::index::marf::MARF,walk,44720,37040,1044980,706720,-338260,74065657.0,46166246.0,-27899411.0,37.668,37131260.0,23126939.0,-14004321.0,37.716
blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_data,32420,26240,641920,436580,-205340,54713447.0,34625585.0,-20087862.0,36.715,320923.0,206991.0,-113932.0,35.501
blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_metadata,10300,8800,180220,113760,-66460,36929252.0,21536776.0,-15392476.0,41.681,178357.0,103291.0,-75066.0,42.087
clarity::vm::database::key_value_wrapper::RollbackWrapper,get_metadata,10300,10300,180220,180220,0,36985075.0,21634730.0,-15350345.0,41.504,55823.0,97954.0,42131.0,-75.472
blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,43120,35640,2439611,1664771,-774840,37423800.0,23362958.0,-14060842.0,37.572,590123.0,379749.0,-210374.0,35.649
blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,43120,35640,2439611,1664771,-774840,36833677.0,22983209.0,-13850468.0,37.603,36830922.0,22973882.0,-13857040.0,37.623
clarity::vm::database::clarity_db::ClarityDatabase,get_value,10020,10020,297160,297160,0,25912132.0,16985051.0,-8927081.0,34.451,65003.0,61635.0,-3368.0,5.181
clarity::vm::database::key_value_wrapper::RollbackWrapper,get_value,10020,10020,297160,297160,0,25847129.0,16923416.0,-8923713.0,34.525,144633.0,133771.0,-10862.0,7.51
clarity::vm::database::clarity_db::ClarityDatabase,get_data,12100,12100,171440,171440,0,16357050.0,10500929.0,-5856121.0,35.802,42879.0,40219.0,-2660.0,6.204
clarity::vm::database::key_value_wrapper::RollbackWrapper,get_data,12100,12100,171440,171440,0,16314171.0,10460710.0,-5853461.0,35.88,61997.0,53311.0,-8686.0,14.01
clarity::vm::database::sqlite::SqliteConnection,get_metadata,10300,8800,180220,113760,-66460,1260152.0,646109.0,-614043.0,48.728,1260152.0,646109.0,-614043.0,48.728
