stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24170,7306278,1792.863,141919879,5468,10067623,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24150,7306299,1792.61,143941213,5599,10524808,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24210,7306215,1729.323,143007670,5545,10376463,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24190,7306288,1704.523,154589779,5522,9533942,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24178,7306278,1689.764,141919879,5468,10067623,97,10370
30692,9728154c1239b04662827d03388ded4608eb53f42f24f36c7a0c9f05d5478a23,24130,7306224,1639.329,143382074,5595,10346428,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24218,7306215,1620.345,143007670,5545,10376463,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24174,7306278,1612.646,141919879,5468,10067623,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24214,7306215,1577.564,143007670,5545,10376463,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24154,7306299,1544.191,143941213,5599,10524808,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24222,7306215,1523.783,143007670,5545,10376463,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24181,7306278,1458.229,141919879,5468,10067623,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24228,7306215,1456.603,143007670,5545,10376463,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24182,7306278,1450.411,141919879,5468,10067623,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24159,7306299,1436.055,143941213,5599,10524808,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24163,7306299,1420.697,143941213,5599,10524808,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24217,7306215,1404.585,143007670,5545,10376463,97,10370
30692,9728154c1239b04662827d03388ded4608eb53f42f24f36c7a0c9f05d5478a23,24145,7306224,1395.326,143382074,5595,10346428,97,10370
30692,9728154c1239b04662827d03388ded4608eb53f42f24f36c7a0c9f05d5478a23,24135,7306224,1393.143,143382074,5595,10346428,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24200,7306288,1392.289,154589779,5522,9533942,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24216,7306215,1389.366,143007670,5545,10376463,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24227,7306215,1366.204,143007670,5545,10376463,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24179,7306278,1349.878,141919879,5468,10067623,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24162,7306299,1344.477,143941213,5599,10524808,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24180,7306278,1335.897,141919879,5468,10067623,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24205,7306288,1331.135,154589779,5522,9533942,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24194,7306288,1326.374,154589779,5522,9533942,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24215,7306215,1299.614,143007670,5545,10376463,97,10370
30692,9728154c1239b04662827d03388ded4608eb53f42f24f36c7a0c9f05d5478a23,24140,7306224,1291.255,143382074,5595,10346428,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24167,7306299,1289.765,143941213,5599,10524808,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24209,7306288,1284.225,154589779,5522,9533942,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24195,7306288,1275.611,154589779,5522,9533942,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24213,7306215,1274.492,143007670,5545,10376463,97,10370
