stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24210,7306215,1493.819,143007670,5545,10376463,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24190,7306288,1402.423,154589779,5522,9533942,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24170,7306278,1401.804,141919879,5468,10067623,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24150,7306299,1370.48,143941213,5599,10524808,97,10370
30692,9728154c1239b04662827d03388ded4608eb53f42f24f36c7a0c9f05d5478a23,24130,7306224,1264.345,143382074,5595,10346428,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24228,7306215,1220.205,143007670,5545,10376463,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24216,7306215,1216.616,143007670,5545,10376463,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24156,7306299,1209.033,143941213,5599,10524808,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24222,7306215,1200.065,143007670,5545,10376463,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24162,7306299,1191.658,143941213,5599,10524808,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24168,7306299,1167.715,143941213,5599,10524808,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24202,7306288,1143.359,154589779,5522,9533942,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24196,7306288,1142.583,154589779,5522,9533942,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24208,7306288,1140.176,154589779,5522,9533942,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24176,7306278,1019.43,141919879,5468,10067623,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24183,7306278,985.567,141919879,5468,10067623,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24189,7306278,975.267,141919879,5468,10067623,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24188,7306278,970.693,141919879,5468,10067623,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24175,7306278,961.426,141919879,5468,10067623,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24181,7306278,953.31,141919879,5468,10067623,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24151,7306299,948.08,143941213,5599,10524808,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24187,7306278,938.715,141919879,5468,10067623,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24221,7306215,936.66,143007670,5545,10376463,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24195,7306288,933.217,154589779,5522,9533942,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24198,7306288,924.093,154589779,5522,9533942,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24215,7306215,919.856,143007670,5545,10376463,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,24205,7306288,919.232,154589779,5522,9533942,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,24226,7306215,915.647,143007670,5545,10376463,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,24182,7306278,915.633,141919879,5468,10067623,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,24157,7306299,911.439,143941213,5599,10524808,97,10370
