synthetic_block_id,stacks_block_height,stacks_block_hash,self_wall_ms,wall_ms,call_count,sample_count,avg_self_wall_us
11575,7302524,5cff3d25598fae187883ff73a77cc57408a3f99685081dbec977e07561d9917c,978.535,978.535,3100,3100,315.6565
22698,7313647,6f1847695489955a906790938490ac4140fec0b1e5309f9e4abb18d43e51486c,964.5,964.5,3292,3292,292.983
9728,7300677,b28aea141d3fe1ede6e19a333ebb7e6b69b48fd11001296899747f0f214ca978,893.819,893.819,3020,3020,295.9666
22078,7313027,d58a81d9940b46b1e097105d4e64ae61abac0d2cce8e6ad4e7abf462932f8100,892.711,892.711,3006,3006,296.9764
22069,7313018,27f73006b4727a3e13a3d5d33ac32d24c48ad7603bc7a63760b4d137c9ca1696,878.843,878.843,3010,3010,291.9744
22681,7313630,358135d3fac2750e9c3cb37022e7d1aeab27cc09783faa290d06e84633520d1d,872.454,872.454,3026,3026,288.3192
9056,7300005,a2ebb236804dcf78a43de7db54afea63c0ee145adde25b50c02e1c658fd08b7a,857.085,857.085,2058,2058,416.465
9802,7300751,d7a21465b9df2efc1a8b632abe9336daa59d93c53267b6baf2b6639e61e8bfb5,854.656,854.656,3006,3006,284.3167
22930,7313879,d602332d6a1054e463a3d2560c1e361f9ef0136786f542d7339d1c8491a60e57,852.843,852.843,3006,3006,283.7136
22970,7313919,c7b6ec986b796c6cfdb2c8138b2eb712e3c76d1d5cdaaee040fcddc9b3cc80f6,851.34,851.34,3016,3016,282.2745
22979,7313928,7d492cbf06c1cb3470e718d51ef391d15fd3ce7f966bfdda66b8340cf33918d5,850.826,850.826,3368,3368,252.6205
13612,7304561,f363198da1419b655bc84e223381f60f561cd214552242549b21879c13fd63c1,827.782,827.782,3012,3012,274.828
23226,7314175,3c918ba208c4fd597f7bbbc8b50d15b750e06826ebf973c559c12447b4af3ab0,805.284,805.284,3014,3014,267.1812
23083,7314032,4dd6157f1b46043e2ba0682ac16b9fb8d14bab415d001f0ca316a17402f86a8d,779.464,779.464,3006,3006,259.3027
13362,7304311,3d898dae972337a6a7ca043fd16b741e610835e5ac1e40ce3f20aaae3cefa42a,778.572,778.572,3006,3006,259.006
16241,7307190,213fc932befad7278fa3f9cbf2ce5b13c8ec31681912135e7b3ee178c36ce865,778.311,778.311,2748,2748,283.2282
9163,7300112,a15fffd41bdaef68bed34c31668b8f3e8688c149e5d676c3a47d9b4e3e41aab7,777.467,777.467,2038,2038,381.4853
9074,7300023,124d03009e7e0fd139a757e7c718abd23992eb222d728f4ce276681bf6c1a711,771.956,771.956,1508,1508,511.9072
23227,7314176,c4a1cc117c35c59affe27a1ee5b235b52320efb2e82d4b3202acad7f83b6ad9f,771.683,771.683,2758,2758,279.798
23285,7314234,6b3141464d8f25082541f5d84f4f05758aa13fb57c29697c1ae1b0237840646f,767.724,767.724,3010,3010,255.0578
10470,7301419,ad127b76d5963af47e03e53d0520d8513e56b454e543b4b4b8aca180218f9ed6,764.633,764.633,3018,3018,253.3575
10506,7301455,b426ad90c70d02e8195dc073d7e6e81fdfcdffe88ea4542ac0e0ded5aea2da3e,763.351,763.351,3012,3012,253.4366
9257,7300206,91a8ef443f6f15981031b87cb88ce31939624ea26e2f6e1f3978523d0b6e5d9d,754.719,754.719,2038,2038,370.3234
14699,7305648,c3afe838a27c832c3ad38ddb707b704092c2546f8a1278d1f0a73410d67235bb,748.515,748.515,3004,3004,249.1728
14807,7305756,9f5d2cd8b09407fd1bb9b5e41aa68c60b4a68b94dbc7e5051248958ff1f7b0b5,744.326,744.326,3020,3020,246.4656
23097,7314046,956f8a03758cc7e621843873ae686176ca28499373f85e30285a1fe4fdde39ab,738.21,738.21,2716,2716,271.8004
9339,7300288,5d79e272f8b02f2bb1d08656951f95818ed9739b9e2bda227cc88e6ff6761510,738.109,738.109,2058,2058,358.6535
11373,7302322,095af6886153192e1631af2cc696067f20d07f6fdd77e7af31215f3abeab68bc,730.968,730.968,3033,3033,241.0049
14322,7305271,989465c2560bb706160b0732b5441d4a36ff1659159372af7aab85f930bdc558,726.138,726.138,3008,3008,241.4023
14193,7305142,dc575852f1d08cccfd092a8cdf4fa4a37df4bf5696cb736f6dcba5f7d5f7c0e3,722.766,722.766,3019,3019,239.4058
