issuer,contract,function,span,self_ms,calls,txs
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,walk_backptr,134204.431,31044968,592
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,walk_backptr,127496.077,31355284,765
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,put,125047.057,410182,592
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,put,99766.842,386418,765
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,walk_backptr,43852.796,9546062,158
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v2_1_0,capture-snapshot-balances-optimizer,walk_backptr,37983.709,2668462,59
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,get,13926.331,9675376,592
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,get,13198.027,8743929,765
SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2,blocksurvey-proof-of-submission,proof-of-submission,walk_backptr,9988.598,619520,2373
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,lookup_variable,9390.609,11354473,592
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,walk_backptr,8233.329,1441416,85
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,buy-option,walk_backptr,8213.393,1327378,1898
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,lookup_variable,6985.159,7543246,765
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,serialize_write,6730.402,33343841,765
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,add-liquidity-multi,serialize_write,5928.808,29667375,592
SP21EK0KSQG7HEHBGCVRJGPGFMV8SCA2B85X01DK2,blocksurvey-proof-of-submission,proof-of-submission,put,5746.792,16611,2373
SP387HJN7F2HR9KQ4250YGFCA4815T1F9X7N74C5W,options-market-v5,buy-option,put,5189.736,22776,1898
SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9,dual-stacking-v2_1_0,capture-snapshot-balances-optimizer,get,4457.943,1604153,59
SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,put,4080.549,11398,85
