record_id,parent_record_id,depth,span,context,location,tag,tx_hash,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
18775066,,0,Segment,stacks_bench::replay,stacks-bench/src/replay.rs:358,,"",1,1,6811.496,1.499,1.499
18775318,18775066,1,"Segment: Tx Execution",stacks_bench::replay,stacks-bench/src/replay.rs:632,,"",1,1,1524.515,0.605,0.606
18775322,18775318,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,77.912,0.001,0.001
18775323,18775322,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,77.911,0.055,0.054
18775373,18775323,4,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,58.229,0.012,0.011
18775374,18775373,5,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2.swap-y-for-x-simple-multi,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,58.216,0.058,0.059
18775428,18775374,6,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:swap-y-for-x-simple-multi,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,53.789,0.022,0.023
18775437,18775428,7,swap-y-for-x-simple-range-multi,clarity::user::public,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:swap-y-for-x-simple-range-multi,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,53.759,0.0,0.001
18775438,18775437,8,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:swap-y-for-x-simple-range-multi,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,53.759,0.009,0.009
18775440,18775438,9,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,53.75,0.022,0.022
18775485,18775440,10,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,1,1,53.646,0.219,0.219
18775496,18775485,11,fold-swap-y-for-x-simple-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:fold-swap-y-for-x-simple-multi,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,319,319,53.413,0.78,0.78
18775498,18775496,12,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,319,319,52.503,1.415,1.417
18775507,18775498,13,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,319,319,47.586,0.449,0.449
18775512,18775507,14,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,4,4,46.088,0.039,0.038
18775515,18775512,15,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,8,8,45.973,0.144,0.142
18775624,18775515,16,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.swap-y-for-x,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,4,4,42.571,0.545,0.546
18775678,18775624,17,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1:swap-y-for-x,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,4,4,38.132,0.023,0.023
18775680,18775678,18,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,a929337bbdb31d19b536c9fb5974ffac93fb4d8141fbc117e1761d3bb617ec49,4,4,38.107,0.237,0.235
18777042,18775318,2,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,1,1,1443.68,0.001,0.001
18777043,18777042,3,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,1,1,1443.679,0.458,0.458
18777094,18777043,4,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,1,1,1011.486,0.053,0.053
18777095,18777094,5,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.withdraw-liquidity-multi,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,1,1,1011.224,0.357,0.356
18777149,18777095,6,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:withdraw-liquidity-multi,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,1,1,1010.316,0.086,0.086
18777151,18777149,7,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,1,1,1010.229,0.014,0.014
18777154,18777151,8,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,1,1,1010.121,0.492,0.494
18777161,18777154,9,fold-withdraw-liquidity-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:fold-withdraw-liquidity-multi,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,1009.592,1.224,1.227
18777163,18777161,10,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,1008.31,1.206,1.203
18777185,18777163,11,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,1003.103,0.631,0.621
18777190,18777185,12,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.withdraw-liquidity,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,1001.023,13.434,13.445
18777212,18777190,13,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,93.685,0.765,0.757
18777213,18777212,14,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,88.118,78.618,78.626
18777244,18777190,13,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1:withdraw-liquidity,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,880.551,0.719,0.717
18777246,18777244,14,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,113,113,879.777,2.777,2.776
18777249,18777246,15,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,452,452,571.94,13.784,13.785
18777250,18777249,16,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,452,452,147.804,2.144,2.111
18777251,18777250,17,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,452,452,128.641,92.493,92.517
18777252,18777251,18,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,452,452,36.148,0.134,0.134
18777253,18777252,19,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,fd7c02d5451e145131d5df6fb92b67479e6101dcf096911727df28b21b54106b,452,452,36.014,0.421,0.393
