record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
37637813,37636114,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,2243.021,0.001,0.001
37637814,37637813,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,2243.02,0.298,0.298
37637865,37637814,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,2241.08,0.038,0.037
37637866,37637865,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.add-liquidity-multi,1,1,2240.721,0.619,0.619
37637920,37637866,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:add-liquidity-multi,1,1,2239.464,1.085,1.086
37637922,37637920,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,2238.378,0.008,0.007
37637925,37637922,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,2238.242,0.293,0.295
37637932,37637925,7,fold-add-liquidity-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:fold-add-liquidity-multi,150,150,2237.879,0.895,0.895
37637934,37637932,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,150,150,2236.916,1.259,1.102
37637956,37637934,9,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,150,150,2231.865,0.853,0.842
37637961,37637956,10,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.add-liquidity,150,150,2228.434,23.422,23.435
37637983,37637961,11,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,150,150,124.911,1.01,0.993
37637984,37637983,12,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,150,150,115.691,103.032,103.048
37638015,37637961,11,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1:add-liquidity,150,150,2063.342,1.026,1.021
37638017,37638015,12,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,150,150,2062.236,7.008,6.985
37638020,37638017,13,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,600,600,1390.858,19.167,19.17
37638021,37638020,14,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,600,600,193.068,2.857,2.794
37638022,37638021,15,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,600,600,160.077,122.638,122.689
37638023,37638022,16,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,600,600,37.439,0.181,0.181
37638024,37638023,17,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,600,600,37.258,0.561,0.526
