record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
27452857,27452790,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,3666.896,0.0,0.0
27452858,27452857,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,3666.896,0.377,0.377
27452908,27452858,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,3040.605,0.017,0.018
27452909,27452908,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2.swap-x-for-y-simple-multi,1,1,3040.587,0.072,0.072
27452963,27452909,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:swap-x-for-y-simple-multi,1,1,3035.984,0.03,0.029
27452972,27452963,5,swap-x-for-y-simple-range-multi,clarity::user::public,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:swap-x-for-y-simple-range-multi,1,1,3035.941,0.0,0.001
27452973,27452972,6,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:swap-x-for-y-simple-range-multi,1,1,3035.941,0.025,0.025
27452975,27452973,7,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,3035.916,0.022,0.023
27453020,27452975,8,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,3035.81,0.455,0.455
27453031,27453020,9,fold-swap-x-for-y-simple-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-swap-router-v-1-2:fold-swap-x-for-y-simple-multi,319,319,3035.341,1.079,1.08
27453033,27453031,10,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,319,319,3034.097,1.749,1.75
27453042,27453033,11,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,319,319,3028.522,0.405,0.404
27453047,27453042,12,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,319,319,3027.43,2.478,2.473
27453050,27453047,13,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,638,638,3018.176,11.381,11.363
27453051,27453050,14,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,319,319,109.746,1.529,1.497
27453052,27453051,15,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,319,319,93.282,68.936,68.964
27453053,27453052,16,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,319,319,24.346,0.099,0.101
27453054,27453053,17,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,319,319,24.247,0.306,0.286
27453055,27453054,18,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,319,319,20.818,0.332,0.331
27453083,27453050,14,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-pool-sbtc-usdcx-v-1-bps-10.get-active-bin-id,319,319,158.983,9.682,9.685
27453084,27453083,15,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,319,319,42.814,0.168,0.168
27453085,27453084,16,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,638,638,42.646,0.17,0.17
27453086,27453085,17,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,638,638,42.476,0.183,0.182
27453087,27453086,18,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,638,638,42.293,0.558,0.547
27453088,27453087,19,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,638,638,39.974,0.606,0.608
27453089,27453088,20,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,638,638,24.654,0.281,0.273
27453090,27453089,21,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,638,638,22.891,0.142,0.144
27453091,27453090,22,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,638,638,22.749,0.229,0.228
27453092,27453091,23,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,638,638,22.52,0.367,0.363
27453093,27453092,24,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,638,638,22.153,2.049,2.055
27453094,27453093,25,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,1914,1914,20.104,0.436,0.412
27453105,27453083,15,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,319,319,104.646,1.526,1.49
27453106,27453105,16,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,319,319,88.17,65.119,65.141
27453107,27453106,17,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,319,319,23.051,0.092,0.091
27453108,27453107,18,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,319,319,22.959,0.295,0.279
27453159,27453050,14,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.swap-x-for-y,319,319,2736.82,46.675,46.064
27453160,27453159,15,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,319,319,45.197,0.169,0.167
