record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
30460517,30460513,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,4016.931,0.002,0.003
30460518,30460517,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,4016.929,1.003,1.003
30460569,30460518,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,3183.553,0.111,0.111
30460570,30460569,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2.withdraw-liquidity-multi,1,1,3182.983,0.849,0.849
30460624,30460570,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:withdraw-liquidity-multi,1,1,3178.565,0.205,0.205
30460626,30460624,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,3178.359,0.019,0.019
30460629,30460626,6,fold,clarity::builtin,clarity/src/vm/mod.rs:380,special_fold,1,1,3178.182,1.668,1.669
30460636,30460629,7,fold-withdraw-liquidity-multi,clarity::user::private,clarity/src/vm/mod.rs:344,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD.dlmm-liquidity-router-v-1-2:fold-withdraw-liquidity-multi,274,274,3176.417,4.777,4.777
30460638,30460636,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,274,274,3171.508,4.11,4.087
30460660,30460638,9,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,274,274,3155.318,1.415,1.394
30460665,30460660,10,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1.withdraw-liquidity,274,274,3150.595,28.831,28.856
30460666,30460665,11,get_contract_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:774,,274,274,25.136,0.137,0.136
30460667,30460666,12,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,548,548,24.999,0.142,0.143
30460668,30460667,13,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,548,548,24.857,0.154,0.154
30460669,30460668,14,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,548,548,24.703,0.471,0.464
30460670,30460669,15,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,548,548,22.707,0.503,0.501
30460687,30460665,11,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,274,274,216.798,1.853,1.762
30460688,30460687,12,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,274,274,201.274,183.513,183.604
30460719,30460665,11,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1PFR4V08H1RAZXREBGFFQ59WB739XM8VVGTFSEA.dlmm-core-v-1-1:withdraw-liquidity,274,274,2879.83,1.706,1.701
30460721,30460719,12,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,274,274,2877.997,6.533,6.46
30460724,30460721,13,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,1096,1096,2188.735,32.632,32.634
30460725,30460724,14,get_contract,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:856,,1096,1096,351.476,5.123,4.981
30460726,30460725,15,fetch_metadata,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:720,,1096,1096,296.311,218.435,218.578
30460727,30460726,16,get_metadata,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:532,,1096,1096,77.876,0.316,0.315
30460728,30460727,17,get_metadata,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1066,,1096,1096,77.56,0.989,0.928
30460729,30460728,18,get_contract_hash,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:1048,,1096,1096,66.749,1.078,1.081
30460730,30460729,19,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,1096,1096,32.882,0.46,0.45
30460731,30460730,20,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,1096,1096,29.75,0.23,0.227
30460732,30460731,21,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,1096,1096,29.52,0.381,0.386
30460733,30460732,22,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,1096,1096,29.139,0.584,0.576
30460734,30460733,23,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,1096,1096,28.555,3.631,3.664
30460735,30460734,24,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,3288,3288,24.924,0.779,0.695
30460736,30460735,25,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,3288,3288,24.145,24.145,24.2
30460738,30460729,19,get_block_at_height,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:970,,1096,1096,32.789,0.244,0.242
30460739,30460738,20,get_block_at_height,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1362,,1096,1096,32.545,0.702,0.703
30460740,30460739,21,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,2192,2192,31.843,0.733,0.739
30460741,30460740,22,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,2192,2192,31.11,1.013,0.991
