record_id,parent_record_id,depth,span,context,location,tag,call_count,sample_count,wall_ms,self_wall_ms,self_cpu_ms
28450381,28449912,0,Transaction,stacks_bench::replay,stacks-bench/src/replay.rs:652,,1,1,1688.226,0.001,0.0
28450382,28450381,1,try_mine_tx_with_len,blockstack_lib::chainstate::nakamoto::miner::NakamotoBlockBuilder,stackslib/src/chainstate/nakamoto/miner.rs:805,,1,1,1688.225,0.068,0.068
28450433,28450382,2,with_abort_callback,blockstack_lib::clarity_vm::clarity::ClarityTransactionConnection,stackslib/src/clarity_vm/clarity.rs:2101,,1,1,1657.153,0.009,0.009
28450434,28450433,3,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0.capture-snapshot-balances-optimizer,1,1,1657.121,0.302,0.303
28450488,28450434,4,begin-public-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-snapshot-balances-optimizer,1,1,1654.207,0.014,0.014
28450490,28450488,5,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,1,1,1654.193,0.014,0.013
28450580,28450490,6,map,clarity::builtin,clarity/src/vm/mod.rs:380,special_map,1,1,1649.612,0.029,0.03
28450583,28450580,7,capture-participant-balances-optimizer,clarity::user::private,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-participant-balances-optimizer,12,12,1649.574,0.048,0.047
28450585,28450583,8,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,1649.519,0.306,0.306
28450656,28450585,9,capture-participant-snapshot,clarity::user::private,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:capture-participant-snapshot,12,12,1643.659,0.053,0.053
28450658,28450656,10,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,1643.601,0.268,0.267
28450674,28450658,11,at-block,clarity::builtin,clarity/src/vm/mod.rs:380,special_at_block,36,36,544.667,0.049,0.05
28450689,28450674,12,evaluate_at_block,clarity::vm::contexts::ExecutionState,clarity/src/vm/contexts.rs:1318,,36,36,543.863,0.086,0.087
28450703,28450689,13,map-get?,clarity::builtin,clarity/src/vm/mod.rs:380,special_map-get?,12,12,33.246,0.023,0.023
28450707,28450703,14,fetch_entry_with_size,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:1782,,12,12,33.194,0.027,0.025
28450720,28450707,15,get_value,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:583,,12,12,27.324,0.003,0.003
28450721,28450720,16,get_value,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:444,,12,12,27.321,0.009,0.009
28450722,28450721,17,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,27.285,0.017,0.016
28450723,28450722,18,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,12,12,23.456,0.003,0.004
28450724,28450723,19,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,12,12,23.453,0.006,0.005
28450725,28450724,20,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,12,12,23.447,0.01,0.01
28450726,28450725,21,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,12,12,23.437,5.195,2.696
28450735,28450689,13,get-wallet-sbtc-balance,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:get-wallet-sbtc-balance,12,12,30.643,0.005,0.004
28450736,28450735,14,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:get-wallet-sbtc-balance,12,12,30.638,0.031,0.032
28450739,28450736,15,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,12,12,30.586,0.037,0.036
28450741,28450739,16,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SM3VDXK3WZZSA84XXFKAFAF15NNZX32CTSG82JFQ4.sbtc-token.get-balance-available,12,12,30.539,0.127,0.13
28450795,28450741,17,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SM3VDXK3WZZSA84XXFKAFAF15NNZX32CTSG82JFQ4.sbtc-token:get-balance-available,12,12,22.531,0.036,0.035
28450798,28450795,18,ft-get-balance,clarity::builtin,clarity/src/vm/mod.rs:380,special_get_balance,12,12,22.472,0.017,0.018
28450800,28450798,19,get_ft_balance,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:2164,,12,12,22.444,0.017,0.016
28450801,28450800,20,get_data,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:517,,12,12,22.427,0.002,0.003
28450802,28450801,21,get_data,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:388,,12,12,22.425,0.005,0.005
28450803,28450802,22,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,22.42,0.009,0.008
28450824,28450689,13,get-defi-sbtc-balance,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:get-defi-sbtc-balance,12,12,474.71,0.006,0.006
28450825,28450824,14,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.dual-stacking-v2_1_0:get-defi-sbtc-balance,12,12,474.704,0.035,0.035
28450827,28450825,15,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,12,12,474.662,0.059,0.059
28450829,28450827,16,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3.get-user-individual-sBTC-in-DeFIs,12,12,474.59,0.279,0.28
28450883,28450829,17,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3:get-user-individual-sBTC-in-DeFIs,12,12,462.231,0.033,0.033
28450885,28450883,18,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,462.191,0.103,0.102
28450890,28450885,19,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,72,72,461.838,0.082,0.084
28450896,28450890,20,get-user-sBTC-zest,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3:get-user-sBTC-zest,12,12,461.605,0.004,0.004
28450897,28450896,21,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3:get-user-sBTC-zest,12,12,461.601,0.064,0.063
28450901,28450897,22,get-user-sBTC-zest-v1,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3:get-user-sBTC-zest-v1,12,12,131.74,0.003,0.004
28450902,28450901,23,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3:get-user-sBTC-zest-v1,12,12,131.737,0.026,0.026
28450905,28450902,24,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,12,12,131.695,0.028,0.028
28450907,28450905,25,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0.get-balance,12,12,131.657,0.18,0.181
28450961,28450907,26,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:get-balance,12,12,121.3,0.023,0.023
28450963,28450961,27,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,121.271,0.047,0.046
28450967,28450963,28,get-principal-balance,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:get-principal-balance,12,12,37.906,0.004,0.005
28450968,28450967,29,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:get-principal-balance,12,12,37.902,0.027,0.026
28450971,28450968,30,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,12,12,37.856,0.026,0.027
28450973,28450971,31,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-token.get-balance,12,12,37.821,0.089,0.089
28451027,28450973,32,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-token:get-balance,12,12,27.951,0.022,0.022
28451029,28451027,33,ft-get-balance,clarity::builtin,clarity/src/vm/mod.rs:380,special_get_balance,12,12,27.923,0.016,0.015
28451031,28451029,34,get_ft_balance,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:2164,,12,12,27.898,0.014,0.015
28451032,28451031,35,get_data,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:517,,12,12,27.884,0.003,0.002
28451033,28451032,36,get_data,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:388,,12,12,27.881,0.004,0.005
28451034,28451033,37,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,27.877,0.008,0.007
28451035,28451034,38,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,12,12,22.885,0.002,0.003
28451036,28451035,39,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,12,12,22.883,0.006,0.006
28451037,28451036,40,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,12,12,22.877,0.009,0.008
28451038,28451037,41,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,12,12,22.868,0.955,0.365
28451039,28451038,42,walk_backptr,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:723,,37,37,21.913,0.009,0.009
28451040,28451039,43,walk_backptr,blockstack_lib::chainstate::stacks::index::trie::Trie,stackslib/src/chainstate/stacks/index/trie.rs:189,,37,37,21.904,20.962,1.174
28451047,28450963,28,if,clarity::builtin,clarity/src/vm/mod.rs:380,special_if,12,12,83.277,0.026,0.026
28451055,28451047,29,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,7,7,83.203,0.047,0.047
28451061,28451055,30,calculate-cumulated-balance,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:calculate-cumulated-balance,7,7,83.097,0.002,0.002
28451062,28451061,31,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:calculate-cumulated-balance,7,7,83.095,0.03,0.03
28451064,28451062,32,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,7,7,83.062,0.101,0.1
28451101,28451064,33,get-reserve-state,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:get-reserve-state,7,7,22.099,0.002,0.002
28451102,28451101,34,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:get-reserve-state,7,7,22.097,0.018,0.018
28451105,28451102,35,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,7,7,22.07,0.073,0.073
28451107,28451105,36,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-0-reserve-v2-0.get-reserve-state,7,7,21.985,0.554,0.554
28451466,28451064,33,get-user-index,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:get-user-index,7,7,33.572,0.002,0.002
28451467,28451466,34,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.zsbtc-v2-0:get-user-index,7,7,33.57,0.018,0.018
28451470,28451467,35,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,7,7,33.544,0.019,0.019
28451473,28451470,36,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-0-reserve-v2-0.get-user-index,7,7,33.517,0.533,0.533
28451527,28451473,37,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP2VCQJGH7PHP2DJK7Z0V48AGBHQAW3R3ZW1QF4N.pool-0-reserve-v2-0:get-user-index,7,7,25.155,0.029,0.029
28451889,28450897,22,get-user-sBTC-zest-v2,clarity::user::read-only,clarity/src/vm/mod.rs:344,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3:get-user-sBTC-zest-v2,12,12,329.744,0.005,0.005
28451890,28451889,23,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1HFCRKEJ8BYW4D0E3FAWHFDX8A25PPAA83HWWZ9.sbtc-holdings-defi-v2_3:get-user-sBTC-zest-v2,12,12,329.739,0.019,0.018
28451892,28451890,24,get,clarity::builtin,clarity/src/vm/mod.rs:380,special_get-tuple,12,12,329.714,0.024,0.024
28451895,28451892,25,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,12,12,329.672,0.049,0.049
28451897,28451895,26,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-1-data.get-user-sbtc-balances,12,12,329.614,0.967,0.968
28451951,28451897,27,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-1-data:get-user-sbtc-balances,12,12,313.053,0.023,0.023
28451953,28451951,28,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,12,12,313.024,0.138,0.139
28451956,28451953,29,contract-call?,clarity::builtin,clarity/src/vm/mod.rs:380,special_contract-call,48,48,210.132,0.113,0.11
28451958,28451956,30,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc.get-balance,12,12,37.797,0.602,0.603
28452012,28451958,31,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc:get-balance,12,12,21.217,0.048,0.048
28452016,28452012,32,get-balance-internal,clarity::user::private,clarity/src/vm/mod.rs:344,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc:get-balance-internal,12,12,21.131,0.019,0.019
28452018,28452016,33,ft-get-balance,clarity::builtin,clarity/src/vm/mod.rs:380,special_get_balance,12,12,21.103,0.017,0.017
28452020,28452018,34,get_ft_balance,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:2164,,12,12,21.076,0.014,0.015
28452021,28452020,35,get_data,clarity::vm::database::clarity_db::ClarityDatabase,clarity/src/vm/database/clarity_db.rs:517,,12,12,21.062,0.003,0.002
28452022,28452021,36,get_data,clarity::vm::database::key_value_wrapper::RollbackWrapper,clarity/src/vm/database/key_value_wrapper.rs:388,,12,12,21.059,0.004,0.004
28452023,28452022,37,get_data,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,stackslib/src/clarity_vm/database/marf.rs:852,,12,12,21.055,0.005,0.005
28452024,28452023,38,get,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,stackslib/src/chainstate/stacks/index/marf.rs:194,,12,12,20.167,0.003,0.003
28452025,28452024,39,get_by_key,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1270,,12,12,20.164,0.006,0.006
28452026,28452025,40,get_path,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1115,,12,12,20.158,0.005,0.005
28452027,28452026,41,walk,blockstack_lib::chainstate::stacks::index::marf::MARF,stackslib/src/chainstate/stacks/index/marf.rs:1006,,12,12,20.153,0.348,0.348
28452035,28451956,30,execute-contract,clarity::dispatch,clarity/src/vm/contexts.rs:1208,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc.convert-to-assets,24,24,158.767,1.201,1.203
28452089,28452035,31,begin-read-only-tx,clarity::dispatch,clarity/src/vm/contexts.rs:1290,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc:convert-to-assets,24,24,134.035,0.089,0.089
28452093,28452089,32,convert-to-assets-preview,clarity::user::private,clarity/src/vm/mod.rs:344,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc:convert-to-assets-preview,24,24,133.869,0.039,0.04
28452095,28452093,33,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,24,24,133.819,0.09,0.09
28452097,28452095,34,total-assets-preview,clarity::user::private,clarity/src/vm/mod.rs:344,SP1A27KFY4XERQCCRCARCYD1CC5N7M6688BSYADJ7.v0-vault-sbtc:total-assets-preview,24,24,45.723,0.029,0.029
28452099,28452097,35,let,clarity::builtin,clarity/src/vm/mod.rs:380,special_let,24,24,45.684,0.107,0.109
