tx_hash,duration_ms,issuer,contract,function,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
bb3d6fe0e91fb9f44a3b43ab6d150022e1106ed227786f7879260244c2f2c1e4,4016.932,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,223659294,11947,59921077,2901,2120075
0045e2452cdd948266b898c392c6c81368aa94089678ba36d747757dcd559636,3964.656,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,239067431,13096,64170443,3192,1423650
5b0217486302c97f9b86c7686b92898228c5fc2a73b7e60f347b2e09862c4c4d,3714.502,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,248916983,12940,64934623,3029,2290651
02f698b0934cad742ef76dd425de7af2d94340520cca63e1c164272c8831b6ad,3711.337,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,183647296,14156,75499647,1856,47618
172e987c4db84a1ce279ab7ccd857062b3227a2e33ef08ea6e45fd9e04c00a11,3701.255,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,248857307,13054,65650073,3150,2484450
6f29300850969d159db209b73b7fc9eb75c12f14d053fe87969ca1924b9cbaf2,3666.897,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,184597036,14152,75499647,1852,47338
abbaa22c98ab135ce31f9ccadacc3f2fdacdc3b575589f508ed9072657a1df42,3632.932,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,235840577,13047,63982916,3136,857551
f3cd586e122ab9c6088d2b9a8067b8397b4b1b7f7313a43e364202e6bc8f3130,3561.098,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,235006291,13060,63557183,3156,857550
c03b935f77875253f73f9e14a6fe73e5f06eaa0da078d144a5e32651cd689c25,3512.047,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238331499,13140,64222983,3236,1418550
f49baa759c7f9ab2bc47e702ffd56747b4d6f1f842e2bb1cc66abdc02e954641,3507.793,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238315721,13141,64224293,3237,1418550
bf6d0b80f218c13471ff1e5bb0b0d0abb2827e1e869ff8c1d95c35d6f4124c9a,3504.133,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,245076707,13204,66095423,3300,2254950
f78088dac7095416ab5908f726b7c8b03d8da557111a4634dfeb9bb766ce0b11,3502.117,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,240024255,13038,64099563,3134,1428750
352a12048657f08938819a6e3ebdc9200e9a91ddbb8c46603a769dca3e5f44a3,3499.852,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,245076707,13204,66095423,3300,2254950
17110f37925358951209c0be293603e8514838f3ff508180ee4cea03a97b5d31,3479.368,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,245201807,13204,66110723,3300,2270250
4760a1fee52154616816fadfa5f95615507177175a08e895da8774f073d21844,3468.111,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,179471939,13697,73346785,1769,44642
744e147d6ed7a22a60e7471dcc187b0390377de282435a67143692bea992b1a8,3461.1,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238357421,13141,64229393,3237,1423650
0ef8fc31c09c058b773c7545c9b78dcc20420aeace391310b648e447f70d2f84,3456.012,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,239215067,13084,64149623,3180,1418550
2d855418fec506323b8f185660eedefcf56d1fdaa6324a958e7e4b022873d7fc,3450.252,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,245118407,13204,66100523,3300,2260050
74efa498ba881f8c2cbb4ff998700a95890397aa8279f900871d410fbb1400ea,3434.171,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,244951607,13204,66080123,3300,2239650
8bb097044a24f7cfebf5d4f721d13cf052e640bdf410f8fa2a057369a91d5e16,3433.766,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238516132,13145,64251386,3234,1423651
3b7f0a39f3a8bc76c4cc1153b18662063fae9bc8aeae7dcef8476930702a929e,3427.247,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238321355,13138,64215263,3234,1413450
9ff17a2556b896cda6cd177929da10bc64f116cd953233d0a3eeef0b900c34c0,3405.542,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238331499,13140,64222983,3236,1418550
e79ab2bd80f739292e6b26717da31c5ab3ab92c727f737f8a00d24e41c2938ae,3403.862,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238331499,13140,64222983,3236,1418550
92f783eeaccd41ee2bfae1197e23fdf91c1e93739eb8a330eb1435784549f16b,3395.152,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238373199,13140,64228083,3236,1423650
18880283738e61dec4e41adced72db395f12a9123e2857662285e8fbc5f2836e,3385.952,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,215058132,11837,58048540,2758,727650
b582ae705d61bc2aef09763690054c98a599217b8196b056eed86bf360118063,3381.403,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238373199,13140,64228083,3236,1423650
03f1c23591a46ffd359e89ce46e664a07c2e648b602fa9bb936cb245db3685e7,3357.121,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,238388977,13139,64226773,3235,1423650
da74fc83585cbd216a6dc32d6318ebc6eec2bfd948aa2ab471e9bedecc719825,3326.627,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,239293957,13079,64143073,3175,1418550
426c1b3aedac5ee2624da112e13d96c36b352ebefeddc4b7d525f10ae205cd3f,3325.151,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,245076707,13204,66095423,3300,2254950
