stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
17686,74a98eeda29cc840fc888fcc3f7657fcef48048d649640297025b49195f600d6,21709,7312658,2243.021,129783789,7583,34609013,1614,2778244
44299,9263904171da1a1a3d3b7e538b12b7c8984d0aa221a6588567f933ffa6a995e7,9074,7300023,2016.34,102546224,6904,31070993,1650,240075
18694,9f0416becf87bb90dcb0bcb2c6e9641efc97342c159b0d6d6937fe1e93f9f610,21093,7312042,2005.66,103066058,6653,31138035,1399,315346
18296,37ad67a35e440ee7bb3f35620c3ccb26937103eb446b6a15f9b7814fedef9637,21338,7312287,1991.634,107284679,6904,31980998,1650,1005075
38624,408f81be04c3bbf1cf0593233fa75334536c68251e851153322db976d3085898,11592,7302541,1937.085,102546224,6904,31070993,1650,240075
19345,d09308e57a440248d33ed157aa2e4d61343c074ecb9c39dd4c53f8d90ed39827,20727,7311676,1927.736,100791446,6805,31893125,1551,327321
18493,b88bc09ec42769e2ebae394171fe4a083c0ecdaeb678725ac831f5030253775a,21225,7312174,1917.381,107284679,6904,31980998,1650,1005075
42695,49cd9215ccbc1b84febf3cee9d9215849b0aeaba18d097605d4bf1807500264d,9821,7300770,1911.455,102221279,6904,30739148,1650,240075
27946,f9b0216efce55ca2a00e0d6f53bef49c96589f47750bcfcd502b06f6b482ac03,16284,7307233,1911.326,101239934,6609,31493743,1355,81680
18276,865da4ef9b4b15b4182898b3f91a2ead3cb56b8e2685bfaa3236a92497b2a493,21349,7312298,1906.667,106616829,6684,31554263,1430,712600
43861,83acc6ae806bfa3819f87ad64c68ab092d6ab40399ba832e481776b2b62ee30d,9364,7300313,1895.676,99435709,6792,31365139,1538,250699
43440,952881f40459793e26cc06f64de5a34509f8fbb2506f5ad177e4b4a583351dee,9556,7300505,1886.791,106973155,6837,31217478,1583,806175
39950,e4a45d0fe3341c3a8f259d0badc90e445043fd245f803ac8d33b11c812d2a86c,10952,7301901,1885.399,102546224,6904,31070993,1650,240075
16907,b9352988ae141b8b209ea241175b843dcddfe9926e0aea29d99dfe8468b11a43,22113,7313062,1884.766,104989679,6904,31598498,1650,622575
16062,da2b517ee821c5393cfe409a8cb8ee868c507dc9ecfda9cb6426d7b46ca39454,22729,7313678,1883.602,109704217,6762,31342140,1508,1005075
15442,5e5887d1e4002138ca778bf85e232241681e799e346f6f96d4110705ac5e4039,23118,7314067,1875.196,109738295,6760,31333142,1506,1005075
39944,54a5f60f47ef188e5181bdf1660890256bb828590fc9900b493f0955b4ff845b,10953,7301902,1865.143,102221279,6904,30739148,1650,240075
15766,648635a073b6ffcff9a2829614fab2194208bf3d2d97a1697a07d6b5eb3344da,22944,7313893,1863.607,109227779,6904,32304848,1650,1328925
18406,e09e94e181081735b35f2af551b6f4741c60b315bfd7b5965cc89c270e9622a0,21271,7312220,1860.057,107284679,6904,31980998,1650,1005075
16912,92304a391818c183839686331fa6cbbfebf4e292aed802ea01adcd9143f45cbe,22109,7313058,1859.26,102694679,6904,31215998,1650,240075
27977,1ace3addef764ee9246e4072d2ddb10c77156838fed0ae762bbcf786c8ebc288,16273,7307222,1842.934,107150423,6902,31980981,1648,989734
17059,0bc670e958f0598a1a49e8acb1f0ea08f69476eb13475874ba7c1f7f6e2c0569,22051,7313000,1842.705,102546224,6904,31070993,1650,240075
16901,88f85144f3b0711927cb154284656767d636ba13f1b429210e21136b2d458550,22117,7313066,1834.617,109704217,6762,31342140,1508,1005075
42416,1e7876b1161d11d8e5d724f2196dc016213b2bdfc33c0cf4e483bec1ef753b2a,9960,7300909,1830.886,108043923,6806,31250818,1552,880125
44004,f7d4e47ac897a4468c0edb06384ddedeac8244ba460bfa7a2c481e3a8e4338cd,9272,7300221,1828.119,102546224,6904,31070993,1650,240075
43838,78c28092778354861184b321f5ec084a1e0a35bd806ff4d5a9fde5ffb6e00ce1,9377,7300326,1821.185,100254460,6718,31345458,1464,205551
43474,191030d3271a90069eec58ea4a84d4911be973ddc806426ca02a26907304ab77,9552,7300501,1820.063,104759067,6833,30829738,1579,423675
16148,27a00c1175fe41b57281aef3dcbb39df4838b38d5b05eebc0aca34ed67c46750,22686,7313635,1813.543,102539846,6904,31064615,1650,240075
43762,4544fb756b538065e9f1c5ba2e4189cbb804a2f22309cc8a139171eb79e2431a,9426,7300375,1813.17,102546224,6904,31070993,1650,240075
38583,dfb17440eaf6070b5f9dd620d60fb72935c3c0ab51581bcde80a8e557112e125,11612,7302561,1810.201,102221279,6904,30739148,1650,240075
