stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
31775,6f29300850969d159db209b73b7fc9eb75c12f14d053fe87969ca1924b9cbaf2,14784,7305733,3666.897,184597036,14152,75499647,1852,47338
38309,4760a1fee52154616816fadfa5f95615507177175a08e895da8774f073d21844,11665,7302614,3468.111,179471939,13697,73346785,1769,44642
21883,a48f62d204e8a88fd6152ef4f696cd2c17b4822218a36ce35322ed37dbeee511,19501,7310450,3320.978,179460331,13417,73383932,1642,41108
19950,175b5d34256083baabbfdc9c79590added247d98d1e931201ee44ff3d8a2c523,20409,7311358,2580.751,154972560,9913,63288949,643,11592
31761,6b7c320bc6b93dcccbda436b23c6ac5d8ba3222debc8b781ef82dece44206b5f,14787,7305736,2447.877,152816910,9423,61627079,503,9072
21835,2340cbfa213ef0cfb9fc8bd0f1597a7cd8add79899af640902ce629bf2d8bbbd,19525,7310474,2309.383,151739085,9178,60796144,433,7812
18312,dd84ae8571807f3e2c847d05a3bca50101fcd062af7e0c7c9cdcb701964529ae,21324,7312273,2091.148,145003130,7660,55655121,0,0
18006,bde9045456ddf8c65e78214ed6b50252efe88bd79626c53be2f11bb7a568c893,21503,7312452,1858.637,145003130,7660,55655121,0,0
17943,c635f56981ff765c6542fd0114fe155449e830fe92e880a358a107dc58e47ed8,21547,7312496,1844.072,145003130,7660,55655121,0,0
18445,8c8ef2477ee76a096058704736bdbfb7ee000ff0b88fb1a08bc85554646dfe39,21243,7312192,1839.763,145003130,7660,55655121,0,0
17562,61ac6899ca3e66a4fa4ba7e227201401760a7162db953902621745c16f035374,21774,7312723,1835.535,145003130,7660,55655121,0,0
18577,1e7ac2d207ed94603bc8eb2d0bc6a4eb7410d54e0f4f94cd46f55beceb2755d4,21172,7312121,1828.096,145003130,7660,55655121,0,0
18719,60a61c3b1f6389754f4686aa5e87ac07f54f159dffe45be4f3c1984f0f9ef36b,21073,7312022,1826.344,145003130,7660,55655121,0,0
17987,89cd964d942ab8ef8beb71df478f79cfccfdf854d502200a4f55406764317bea,21518,7312467,1820.902,145003130,7660,55655121,0,0
19190,46233623d0b480be3e4f139aec16311a0629aabc6221da6159a1fa48c2cdacf0,20812,7311761,1819.473,145003130,7660,55655121,0,0
17840,a8cd31124bc1964d17ef7c5f4afd877fc51d15e8acdfab1892ae7e2ecff4e308,21606,7312555,1819.22,145003130,7660,55655121,0,0
17611,5486ce35c7957b2f5f7459321a26f30557921852f746e2e2ed2297953206be28,21749,7312698,1815.021,145003130,7660,55655121,0,0
17489,1ce1309bf49ac69510e474a1d4ea9a88b0a53860d3a6c66b2210b59210a8d07a,21821,7312770,1813.813,145003130,7660,55655121,0,0
17705,fc7e4b9cd42f6fe6a763d2d3a7951680e66741f23ac586c0b6590c9adabfc1ec,21686,7312635,1813.15,145003130,7660,55655121,0,0
17642,fb9a4b80871b29b5bee28d8d035d5ec59e6a9a810a2f6509376a44b0c20322df,21725,7312674,1804.418,145003130,7660,55655121,0,0
18753,b452f4ad0200824eb332d02698e0ee2599d6df617351da2071451fad74364e41,21049,7311998,1803.23,145003130,7660,55655121,0,0
17932,fafd34e62b2dfcef403af4bf6ae2d19b23979c09471a8cf88a0584a34b6570ca,21555,7312504,1801.72,145003130,7660,55655121,0,0
17964,11d4c137fd7a0904aacffe3718c32664f218715345a0edda6c48c517b2d22b94,21533,7312482,1798.499,145003130,7660,55655121,0,0
19343,dba65a30f0703b3a5e0aa483e73970b148d2b606ecc9f04cbb4d9a0fb81fe52a,20723,7311672,1795.254,145003130,7660,55655121,0,0
18876,2c7897472df359a0fb3ba5dfd29f49eb4de0ded251069b7ae14ebdff80430530,20986,7311935,1788.467,145003130,7660,55655121,0,0
21697,fd33347e45aa927b7eba26079a27986851e15817a79400125637dfab226103e2,19614,7310563,1786.617,145003130,7660,55655121,0,0
17377,3ac50b0fed5ba0e39a544e898bf08ebfaea69e684cdf2099331c402affd5d21f,21892,7312841,1785.507,145003130,7660,55655121,0,0
31066,8450daad4aea92851d68e506a28bb6f9766780fc99473a53356493e507b6d285,15101,7306050,1778.456,145003130,7660,55655121,0,0
30694,b87764c72deb69b943ab203a3a9d3207fdd13e90c6b14c97c36e97b89c7608fa,15273,7306222,1778.33,145003130,7660,55655121,0,0
18027,07089164fa4000762347744b0ce76fd140f95b34833fbdc5d3d5a5887d51c118,21494,7312443,1776.715,145002660,7660,55655121,0,0
