stacks_tx_id,tx_hash,synthetic_block_id,stacks_block_height,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
30692,9728154c1239b04662827d03388ded4608eb53f42f24f36c7a0c9f05d5478a23,15275,7306224,1688.226,143382074,5595,10346428,97,10370
30439,ac4eaf264a66347202d171f77b1e88dde72e1aff48000e83b343ef62e15e235a,15350,7306299,1627.729,143941213,5599,10524808,97,10370
30573,bd001e976f03206f10e6404abe289f73e8a3c4da8db5ac7d035763c0bee65171,15329,7306278,1615.264,141919879,5468,10067623,97,10370
30498,7b5f49a4fdc3164fc923982d7619608831c0847c476d4761708d75fc5df1f3fa,15339,7306288,1610.986,154589779,5522,9533942,97,10370
30716,695be269b728d5d55e07191115d513658a05dd97e266e59506cc38e3f733c11a,15266,7306215,1605.459,143007670,5545,10376463,97,10370
30490,0bac9d799c1a25889c851abf4ab07ae3e22280de047252af235d1bc3319d7131,15342,7306291,1591.521,143081818,5494,9894187,97,10370
30652,31df4b8accaeb9a887b4e724f8c5e6bbd168f76b59929dd647160c7960fd2f17,15292,7306241,1589.505,119515683,5423,9673838,97,10370
30647,144ca0c06b6c34f60449ed5e9bc931ee83036c33c182fda7e77cc9cde2222790,15294,7306243,1569.098,153310614,5517,10102297,97,10370
30404,589a76a881ee9f16b3c490251009c6f3d262ffe813ba65ca179146accfbe9c2a,15368,7306317,1562.348,108756310,5510,10307195,97,10370
30604,c6c864f0cb3677b31b2f44a3377008e6be9696b3cbd1118d7b84b11470d5d5f3,15311,7306260,1552.735,108307726,5496,10485584,97,10370
30569,f3ce875a9980fb940474cc191937a8ff3ec59cc27f3aebdfb924ce47fa95009b,15330,7306279,1546.598,165165127,5485,9509509,97,10370
30595,3aca8bdd0377c3a9bac7e1c45cb8cadd8a8e8771a39afa191109c0a790dee106,15312,7306261,1545.819,176710422,5466,9471379,97,10370
30558,129597a3dba0d9abf71feeb64c30321fd65326f6d69782ecdc9fafb02126d419,15334,7306283,1537.647,108417070,5504,10305911,97,10370
30754,4b2cb4ab0ec0c09734f500167301230b405841a2af64db7d1def01d8c9ab9df4,15257,7306206,1531.817,85611806,4147,7369562,57,6065
30359,2c57d00b5b0526ef82ee4e2291725c4428b61a9632495b70e4bb90e00364776c,15391,7306340,1529.504,101688620,5076,8022301,121,12953
30721,b83b58e1714d044460af60ca5f1b4f43f34b4b9adf0fd40e00a5843802963c3e,15267,7306216,1506.766,108229846,5411,9674765,97,10370
30463,44bbcf3be17829534b0e16eafd1b28957dfc9cac9777e7c44dfa220827fd4035,15346,7306295,1505.307,131392092,5505,10099375,97,10494
30397,f6272b2fe1dfc4de26ea83e5e5a8e356a7c4a6f70d87cdb40e89bd7e49293b08,15369,7306318,1505.043,153863639,5473,9505001,97,10462
30675,91152f84d6e654e16b03cd2b991693e7c72ee9f2b248c56e6e751f077129f08a,15291,7306240,1501.033,142763394,5554,10139044,97,10370
30220,6b808f528859dbe0ae2b6a54e216a6eea182d50ac1b8d88daece3e9699febcfc,15422,7306371,1496.732,98527988,5306,8062942,129,13814
30505,ae366e39364cc35db92d1aadd70e15cf26e4d050329b54e5f1e242481e68a108,15338,7306287,1488.177,146459043,5199,8994985,105,11231
30329,986e8efd4ea25dbea92521eb8bfc3c21b8f6e83e2a21c2aa6882e6acbfe9bae7,15393,7306342,1487.061,83480273,5290,8059141,129,13814
30207,c8d411227ef30f67b24c0a0cdfc9d9c202a1a24934e263e4155612407d7424c1,15425,7306374,1478.69,83716971,5294,8061749,129,13814
30550,4ae72cf1f851a5cf2a6250ae4eac3178f2d094a541cd8bb06edda2daf6832e07,15340,7306289,1477.955,119259443,5454,9710947,97,10370
30540,ea89a8941489505c4ef6bf38274e89da407dbd503a8b936c6957b70e47040373,15335,7306284,1473.556,86878466,5612,11328836,97,10370
30458,5ce855d204fcbd6dfd8896be38265d529aa455d720308325d2d1b1f9a459bd91,15351,7306300,1473.316,119751036,5553,10340508,97,10370
30428,a2e2b8ccf2bffdb1dfdca2e1e83d232fcca70b2bb251b4d59199a60db0d244f9,15354,7306303,1471.859,142657468,5517,10100533,97,10458
30270,5372bb80078291c7247d2253c076fd14941acf7358a462b27dac6fab1370f454,15401,7306350,1466.483,75829411,5208,7995465,129,13878
30308,54bd30e302f3133fbd4898dd7a631552a265f943447ea34c58370bc0be1f4ac8,15397,7306346,1462.295,75828970,5208,7995280,129,13814
30712,d2f68eac0091ed9bf035da74438794a86739407f8007cff415db54d8fa64a804,15268,7306217,1462.158,119649028,5479,10276088,97,10370
