span_id,context,name,call_count,sample_count,sampling_rate,wall_ms,self_wall_ms,self_cpu_ms,avg_self_wall_us,avg_self_cpu_us
27,"clarity_types::types::serialization::<impl clarity_types::types::Value>",serialize_write,72790720,72790720,1.0,29676.27,14379.95,14372.34,0.1976,0.1974
23,clarity::vm::callables::DefinedFunction,canonicalize_types,70010062,70010062,1.0,11109.8,11109.8,11109.68,0.1587,0.1587
24,clarity::vm,lookup_function,52253962,52253962,1.0,22840.77,22840.77,22807.94,0.4371,0.4365
12,blockstack_lib::chainstate::stacks::index::marf::MARF,walk_backptr,48440451,48440451,1.0,946592.38,11165.47,10536.78,0.2305,0.2175
13,blockstack_lib::chainstate::stacks::index::trie::Trie,walk_backptr,48440451,48440451,1.0,935426.91,932669.18,409601.02,19.2539,8.4558
110,clarity::vm,lookup_variable,47062823,47062823,1.0,36918.12,36918.12,36848.12,0.7844,0.783
8,blockstack_lib::chainstate::stacks::index::marf::MARF,get_by_key,20524177,20524177,1.0,1024243.73,7833.39,7848.57,0.3817,0.3824
9,blockstack_lib::chainstate::stacks::index::marf::MARF,get_path,20524177,20524177,1.0,1016379.47,15649.74,10830.43,0.7625,0.5277
10,blockstack_lib::chainstate::stacks::index::marf::MARF,walk,20524177,20524177,1.0,999944.13,151420.84,87823.03,7.3777,4.279
7,blockstack_lib::chainstate::stacks::index::marf::MarfConnection,get,11454892,11454892,1.0,507010.35,2622.17,2616.3,0.2289,0.2284
49,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_data,11318323,11318323,1.0,531004.89,5517.7,5384.13,0.4875,0.4757
14,clarity::vm::database::sqlite::SqliteConnection,get,11256501,11256501,1.0,42445.87,42445.87,30504.64,3.7708,2.71
114,clarity::builtin,get,9616884,9616884,1.0,96329.94,6922.53,6908.73,0.7198,0.7184
4,clarity::vm::database::clarity_db::ClarityDatabase,get_data,5838744,5838744,1.0,226889.39,1372.14,1366.37,0.235,0.234
5,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_data,5838744,5838744,1.0,225517.25,1808.74,1803.4,0.3098,0.3089
158,clarity::builtin,*,5283805,5283805,1.0,1999.2,1999.2,1997.18,0.3784,0.378
21,blockstack_lib::chainstate::stacks::index::marf::MARF,get_block_at_height,4508435,4508435,1.0,520035.41,3006.56,3000.11,0.6669,0.6654
17,clarity::vm::database::key_value_wrapper::RollbackWrapper,get_metadata,3792964,3792964,1.0,305389.17,1142.81,1139.16,0.3013,0.3003
22,clarity::vm::database::sqlite::SqliteConnection,get_metadata,3792731,3792731,1.0,25393.26,25393.26,23740.79,6.6952,6.2596
16,clarity::vm::database::clarity_db::ClarityDatabase,fetch_metadata,3792413,3792413,1.0,657164.44,352025.16,352027.88,92.8235,92.8242
54,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_block_at_height,3781124,3781124,1.0,126070.04,886.43,887.6,0.2344,0.2347
52,blockstack_lib::clarity_vm::database::marf::PersistentWritableMarfStore,get_metadata,3777950,3777950,1.0,295927.04,3575.25,3440.87,0.9463,0.9108
