stacks_tx_id,tx_hash,tx_type,synthetic_block_id,stacks_block_height,contract_issuer,contract,function,duration_ms,clarity_runtime,clarity_read_count,clarity_read_length,clarity_write_count,clarity_write_length
28063,bb3d6fe0e91fb9f44a3b43ab6d150022e1106ed227786f7879260244c2f2c1e4,"Contract Call",16241,7307190,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,4016.932,223659294,11947,59921077,2901,2120075
38672,0045e2452cdd948266b898c392c6c81368aa94089678ba36d747757dcd559636,"Contract Call",11575,7302524,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3964.656,239067431,13096,64170443,3192,1423650
15739,5b0217486302c97f9b86c7686b92898228c5fc2a73b7e60f347b2e09862c4c4d,"Contract Call",22970,7313919,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3714.502,248916983,12940,64934623,3029,2290651
38319,02f698b0934cad742ef76dd425de7af2d94340520cca63e1c164272c8831b6ad,"Contract Call",11663,7302612,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-y-for-x-simple-multi,3711.337,183647296,14156,75499647,1856,47618
17009,172e987c4db84a1ce279ab7ccd857062b3227a2e33ef08ea6e45fd9e04c00a11,"Contract Call",22069,7313018,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3701.255,248857307,13054,65650073,3150,2484450
31775,6f29300850969d159db209b73b7fc9eb75c12f14d053fe87969ca1924b9cbaf2,"Contract Call",14784,7305733,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,3666.897,184597036,14152,75499647,1852,47338
16998,abbaa22c98ab135ce31f9ccadacc3f2fdacdc3b575589f508ed9072657a1df42,"Contract Call",22078,7313027,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3632.932,235840577,13047,63982916,3136,857551
43026,f3cd586e122ab9c6088d2b9a8067b8397b4b1b7f7313a43e364202e6bc8f3130,"Contract Call",9728,7300677,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3561.098,235006291,13060,63557183,3156,857550
33176,c03b935f77875253f73f9e14a6fe73e5f06eaa0da078d144a5e32651cd689c25,"Contract Call",14193,7305142,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3512.047,238331499,13140,64222983,3236,1418550
41138,f49baa759c7f9ab2bc47e702ffd56747b4d6f1f842e2bb1cc66abdc02e954641,"Contract Call",10506,7301455,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3507.793,238315721,13141,64224293,3237,1418550
15191,bf6d0b80f218c13471ff1e5bb0b0d0abb2827e1e869ff8c1d95c35d6f4124c9a,"Contract Call",23285,7314234,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3504.133,245076707,13204,66095423,3300,2254950
40048,f78088dac7095416ab5908f726b7c8b03d8da557111a4634dfeb9bb766ce0b11,"Contract Call",10929,7301878,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3502.117,240024255,13038,64099563,3134,1428750
15305,352a12048657f08938819a6e3ebdc9200e9a91ddbb8c46603a769dca3e5f44a3,"Contract Call",23226,7314175,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3499.852,245076707,13204,66095423,3300,2254950
15792,17110f37925358951209c0be293603e8514838f3ff508180ee4cea03a97b5d31,"Contract Call",22930,7313879,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3479.368,245201807,13204,66110723,3300,2270250
38309,4760a1fee52154616816fadfa5f95615507177175a08e895da8774f073d21844,"Contract Call",11665,7302614,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-swap-router-v-1-2,swap-x-for-y-simple-multi,3468.111,179471939,13697,73346785,1769,44642
34400,744e147d6ed7a22a60e7471dcc187b0390377de282435a67143692bea992b1a8,"Contract Call",13547,7304496,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3461.1,238357421,13141,64229393,3237,1423650
32904,0ef8fc31c09c058b773c7545c9b78dcc20420aeace391310b648e447f70d2f84,"Contract Call",14322,7305271,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3456.012,239215067,13084,64149623,3180,1418550
16168,2d855418fec506323b8f185660eedefcf56d1fdaa6324a958e7e4b022873d7fc,"Contract Call",22681,7313630,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3450.252,245118407,13204,66100523,3300,2260050
15538,74efa498ba881f8c2cbb4ff998700a95890397aa8279f900871d410fbb1400ea,"Contract Call",23083,7314032,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3434.171,244951607,13204,66080123,3300,2239650
42759,8bb097044a24f7cfebf5d4f721d13cf052e640bdf410f8fa2a057369a91d5e16,"Contract Call",9802,7300751,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3433.766,238516132,13145,64251386,3234,1423651
34248,3b7f0a39f3a8bc76c4cc1153b18662063fae9bc8aeae7dcef8476930702a929e,"Contract Call",13612,7304561,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3427.247,238321355,13138,64215263,3234,1413450
32177,9ff17a2556b896cda6cd177929da10bc64f116cd953233d0a3eeef0b900c34c0,"Contract Call",14699,7305648,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3405.542,238331499,13140,64222983,3236,1418550
38345,e79ab2bd80f739292e6b26717da31c5ab3ab92c727f737f8a00d24e41c2938ae,"Contract Call",11664,7302613,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3403.862,238331499,13140,64222983,3236,1418550
31738,92f783eeaccd41ee2bfae1197e23fdf91c1e93739eb8a330eb1435784549f16b,"Contract Call",14807,7305756,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3395.152,238373199,13140,64228083,3236,1423650
16136,18880283738e61dec4e41adced72db395f12a9123e2857662285e8fbc5f2836e,"Contract Call",22698,7313647,SM1FKXGNZJWSTWDWXQZJNF7B5TV5ZB235JTCXYXKD,dlmm-liquidity-router-v-1-2,withdraw-liquidity-multi,3385.952,215058132,11837,58048540,2758,727650
